Date,Region,Currency,Year,GDP
2000-01-01,United States,USD,2000,10252345464000.0
2001-01-01,United States,USD,2001,10581821399000.0
2002-01-01,United States,USD,2002,10936419054000.0
2003-01-01,United States,USD,2003,11458243878000.0
2004-01-01,United States,USD,2004,12213729147000.0
2005-01-01,United States,USD,2005,13036640230000.0
2006-01-01,United States,USD,2006,13814611414000.0
2007-01-01,United States,USD,2007,14451858656000.0
2008-01-01,United States,USD,2008,14712844084000.0
2009-01-01,United States,USD,2009,14448933025000.0
2010-01-01,United States,USD,2010,14992052727000.0
2011-01-01,United States,USD,2011,15542581104000.0
2012-01-01,United States,USD,2012,16197007349000.0
2013-01-01,United States,USD,2013,16784849196000.0
2014-01-01,United States,USD,2014,17527163695000.0
2015-01-01,United States,USD,2015,18238300569000.0
2016-01-01,United States,USD,2016,18745075687000.0
2017-01-01,United States,USD,2017,19542979183000.0
2018-01-01,United States,USD,2018,20611860934000.0
2019-01-01,United States,USD,2019,21433224697000.0
2020-01-01,United States,USD,2020,20893746000000.0
