subcategory,morningstar_category_id,benchmark,benchmark_finametrix_id,category
Mixtos Flexibles EUR,EUCA000864,EQUILIBRADO,5c4f24e25a1a3f2383f3f51c,Mixtos
Mixtos Moderadamente Defensivos GBP,EUCA000917,EQUILIBRADO,5c4f24e25a1a3f2383f3f51c,Mixtos
Mixtos Moderados GBP,EUCA000796,EQUILIBRADO,5c4f24e25a1a3f2383f3f51c,Mixtos
Mixtos Flexibles USD,EUCA000746,EQUILIBRADO,5c4f24e25a1a3f2383f3f51c,Mixtos
Mixtos Moderados SEK,EUCA000898,EQUILIBRADO,5c4f24e25a1a3f2383f3f51c,Mixtos
Mixtos Moderados CHF,EUCA000738,EQUILIBRADO,5c4f24e25a1a3f2383f3f51c,Mixtos
Mixtos Moderados EUR,EUCA000865,EQUILIBRADO,5c4f24e25a1a3f2383f3f51c,Mixtos
Mixtos Flexibles GBP,EUCA000740,EQUILIBRADO,5c4f24e25a1a3f2383f3f51c,Mixtos
Mixtos Gran China,EUCA000919,EQUILIBRADO,5c4f24e25a1a3f2383f3f51c,Mixtos
Mixtos Flexibles EUR - Global,EUCA000739,EQUILIBRADO,5c4f24e25a1a3f2383f3f51c,Mixtos
Mixtos Flexibles SEK,EUCA000745,EQUILIBRADO,5c4f24e25a1a3f2383f3f51c,Mixtos
Mixtos Global Emergentes,EUCA000741,EQUILIBRADO,5c4f24e25a1a3f2383f3f51c,Mixtos
Mixtos Moderados NOK,EUCA000566,EQUILIBRADO,5c4f24e25a1a3f2383f3f51c,Mixtos
Mixtos Moderados EUR - Global,EUCA000565,EQUILIBRADO,5c4f24e25a1a3f2383f3f51c,Mixtos
Mixtos Moderadamente Agresivos GBP,EUCA000916,EQUILIBRADO,5c4f24e25a1a3f2383f3f51c,Mixtos
Mixtos Moderados USD,EUCA000694,EQUILIBRADO,5c4f24e25a1a3f2383f3f51c,Mixtos
Mixtos Defensivos EUR,EUCA000863,MODERADO,5c4f2aa85a1a3f2383f3f53c,Mixtos
Mixtos Defensivos USD,EUCA000695,MODERADO,5c4f2aa85a1a3f2383f3f53c,Mixtos
Mixtos Defensivos GBP,EUCA000621,MODERADO,5c4f2aa85a1a3f2383f3f53c,Mixtos
Mixtos Defensivos EUR - Global,EUCA000564,MODERADO,5c4f2aa85a1a3f2383f3f53c,Mixtos
Mixtos Defensivos CHF,EUCA000619,MODERADO,5c4f2aa85a1a3f2383f3f53c,Mixtos
Mixtos Defensivos SEK,EUCA000617,MODERADO,5c4f2aa85a1a3f2383f3f53c,Mixtos
Mixtos Agresivos SEK,EUCA000616,AGRESIVO,5c4f2b3e5a1a3f2383f3f54c,Mixtos
Mixtos Agresivos GBP,EUCA000620,AGRESIVO,5c4f2b3e5a1a3f2383f3f54c,Mixtos
Mixtos Agresivos CHF,EUCA000618,AGRESIVO,5c4f2b3e5a1a3f2383f3f54c,Mixtos
Mixtos Agresivos EUR - Global,EUCA000563,AGRESIVO,5c4f2b3e5a1a3f2383f3f54c,Mixtos
Mixtos Agresivos EUR,EUCA000862,AGRESIVO,5c4f2b3e5a1a3f2383f3f54c,Mixtos
Mixtos Asia,EUCA000559,AGRESIVO,5c4f2b3e5a1a3f2383f3f54c,Mixtos
Mixtos Agresivos USD,EUCA000693,AGRESIVO,5c4f2b3e5a1a3f2383f3f54c,Mixtos
Mixtos Otros,EUCA000743,MSCI ACWI Net Total Return USD Index,5e80996bbb592c4d830f3cd3,Mixtos
RF Bonos Alto Rendimiento Global,EUCA000766,Bloomberg Barclays Global High Yield Total Return Index Value Unhedge,593817a715c9967ff557705a,Renta Fija
RF Bonos Alto Rendimiento Global - EUR Cubierto,EUCA000854,Bloomberg Barclays Global High Yield Total Return Index Value Unhedge,593817a715c9967ff557705a,Renta Fija
RF Bonos Alto Rendimiento Global - GBP Cubierto,EUCA000855,Bloomberg Barclays Global High Yield Total Return Index Value Unhedge,593817a715c9967ff557705a,Renta Fija
RF Global - EUR Cubierto,EUCA000624,Bloomberg Barclays Global-Aggregate Total Return Index Value Hedged EUR,5addb770ff442d74888305e1,Renta Fija
RF Diversificada EUR,EUCA000587,Bloomberg Barclays Global-Aggregate Total Return Index Value Hedged EUR,5addb770ff442d74888305e1,Renta Fija
RF Flexible Global-EUR Cubierto,EUCA000901,Bloomberg Barclays Global-Aggregate Total Return Index Value Hedged EUR,5addb770ff442d74888305e1,Renta Fija
RF Deuda Corporativa EUR,EUCA000690,Bloomberg Barclays Euro Aggregate Corporate Total Return Index Value Unhedged EU,5c41ef3d62d151772de0801b,Renta Fija
RF Deuda Corporativa Global,EUCA000889,Bloomberg Barclays Global Agg Corporate Total Return Index Value Unhedged USD,5c41f0fd62d151772de08029,Renta Fija
RF Global Emergente - Moneda Local,EUCA000765,Bloomberg Barclays EM Local Currency Government TR Index Unhedged USD,5e80e63a9ef6b65332cf887a,Renta Fija
RF Global Emergente,EUCA000586,J.P. Morgan EMBI Global Diversified Composite,5e80e6639ef6b65332cf887c,Renta Fija
RF Deuda Corporativa Global Emergente,EUCA000878,J.P. Morgan EMBI Global Diversified Composite,5e80e6639ef6b65332cf887c,Renta Fija
RF Flexible Global-USD Cubierto,EUCA000902,Bloomberg Barclays Global-Aggregate Total Return Index Value Hedged USD,5e80e68eee0c714d9dbf8622,Renta Fija
RF Global - USD Cubierto,EUCA000763,Bloomberg Barclays Global-Aggregate Total Return Index Value Hedged USD,5e80e68eee0c714d9dbf8622,Renta Fija
RF Diversificada USD,EUCA000580,Bloomberg Barclays Global-Aggregate Total Return Index Value Unhedged USD,5e80ea686de77f531ae1a6af,Renta Fija
RF Global,EUCA000759,Bloomberg Barclays Global-Aggregate Total Return Index Value Unhedged USD,5e80ea686de77f531ae1a6af,Renta Fija
RF Flexible USD,EUCA000775,Bloomberg Barclays Global-Aggregate Total Return Index Value Unhedged USD,5e80ea686de77f531ae1a6af,Renta Fija
RF Flexible Global,EUCA000899,Bloomberg Barclays Global-Aggregate Total Return Index Value Unhedged USD,5e80ea686de77f531ae1a6af,Renta Fija
RF Deuda Corporativa Global - USD Cubierto,EUCA000893,Bloomberg Barclays Global Aggregate Corporate Total Return Index   Hedged USD,5e80ea8b6de77f531ae1a6b1,Renta Fija
RF Deuda Corporativa Global - EUR Cubierto,EUCA000891,Bloomberg Barclays Global Aggregate Corporate Total Return Index   Hedged EUR,5e80eaab6de77f531ae1a6b3,Renta Fija
RF Convertibles Global - USD Cubierto,EUCA000823,Bloomberg Barclays Global Convertibles: Composite Total Return Index Hedged USD,5e80eac76de77f531ae1a6b5,Renta Fija
RF Convertibles Global - EUR Cubierto,EUCA000750,Bloomberg Barclays Global Convertibles EUR Total Return Hedged EUR,5e80ff667755e65314e0de00,Renta Fija
RF Convertibles - Otros,EUCA000751,Bloomberg Barclays Global Convertibles Composite Total Return Unhedged USD,5e80ff8dbb592c4d830f3cdf,Renta Fija
RF Convertibles Global,EUCA000749,Bloomberg Barclays Global Convertibles Composite Total Return Unhedged USD,5e80ff8dbb592c4d830f3cdf,Renta Fija
RF Convertibles Europa,EUCA000748,Bloomberg Barclays EMEA Convertibles Europe Total Return Hedged EUR,5e80ffb46de77f531ae1a6b7,Renta Fija
RF Bonos Alto Rendimiento USD,EUCA000583,Bloomberg Barclays US Corporate High Yield Total Return Index Value Unhedged USD,5e80ffd66de77f531ae1a6b9,Renta Fija
RF Bonos Alto Rendimiento EUR,EUCA000590,Bloomberg Barclays Pan-European High Yield Total Return Index Value U,5e810403ee0c714d9dbf8624,Renta Fija
RF Asia - Moneda Local,EUCA000897,Bloomberg Barclays EM Asia USD Credit Total Return Index Value Unhedged USD,5e810428ee0c714d9dbf8626,Renta Fija
RF Asia,EUCA000570,Bloomberg Barclays EM Asia USD Credit Total Return Index Value Unhedged USD,5e810428ee0c714d9dbf8626,Renta Fija
RF Flexible EUR,EUCA000754,BB EuroAgg Total Return Index Value Unhedged EUR,5f5f84040e4901860189f4e7,Renta Fija
RF Diversificada Corto Plazo USD,EUCA000585,BB US Agg 1-3 Year TR Value Unhedged USD,5f60ab1036ade5cdfeac1745,Renta Fija
RF Diversificada Corto Plazo EUR,EUCA000593,BB EuroAgg 1-3 Year TR Index Value Unhedged EUR,5f60abeea2871d8612946896,Renta Fija
RF Deuda Pública USD,EUCA000582,BB US Agency Intermediate TR Unhedged USD,5f60ac9ebb5f1ece0cdf5bfb,Renta Fija
RF Deuda Pública EUR,EUCA000589,BB EuroAgg Treasury TR Index Value Unhedged EUR,5f60ad7736ade5cdfeac1749,Renta Fija
RF Deuda Corporativa USD,EUCA000691,BB US Corporate TR Value Unhedged USD,5f60ae1f36ade5cdfeac174b,Renta Fija
EUR Deuda Subordinada,EUCA000922,Markit iBoxx EUR Liquid High Yield Subordinated TRI,5f60e56a36ade5cdfeac1752,Renta Fija
RF Global Bonos Ligados Inflación - EUR Cubierto,EUCA000859,BBarclays Global Inflation Linked TR Hedged EUR,6001c90266c43c2dbd85c5b7,Renta Fija
RF Bonos Ligados Inflación EUR,EUCA000625,BBarclays Euro Govt Infl Linked Bond TR Index,6001ca937826282dd172a7df,Renta Fija
