Date,Open,High,Low,Close,Average
2000-01-04,6.318,6.318,6.318,6.318,6.318
2000-01-05,6.417,6.417,6.417,6.417,6.417
2000-01-06,6.352,6.352,6.352,6.352,6.352
2000-01-07,6.347,6.347,6.347,6.347,6.347
2000-01-10,6.353,6.353,6.353,6.353,6.353
2000-01-11,6.417,6.417,6.417,6.417,6.417
2000-01-12,6.438,6.438,6.438,6.438,6.438
2000-01-13,6.377,6.377,6.377,6.377,6.377
2000-01-14,6.414,6.414,6.414,6.414,6.414
2000-01-17,6.419,6.419,6.419,6.419,6.419
2000-01-18,6.475,6.475,6.475,6.475,6.475
2000-01-19,6.505,6.505,6.505,6.505,6.505
2000-01-20,6.537,6.537,6.537,6.537,6.537
2000-01-21,6.51,6.51,6.51,6.51,6.51
2000-01-24,6.408,6.408,6.408,6.408,6.408
2000-01-25,6.42,6.42,6.42,6.42,6.42
2000-01-26,6.376,6.376,6.376,6.376,6.376
2000-01-27,6.484,6.484,6.484,6.484,6.484
2000-01-28,6.518,6.518,6.518,6.518,6.518
2000-01-31,6.549,6.549,6.549,6.549,6.549
2000-02-01,6.47,6.47,6.47,6.47,6.47
2000-02-02,6.468,6.468,6.468,6.468,6.468
2000-02-03,6.397,6.397,6.397,6.397,6.397
2000-02-04,6.477,6.477,6.477,6.477,6.477
2000-02-07,6.526,6.526,6.526,6.526,6.526
2000-02-08,6.495,6.495,6.495,6.495,6.495
2000-02-09,6.496,6.496,6.496,6.496,6.496
2000-02-10,6.536,6.536,6.536,6.536,6.536
2000-02-11,6.47,6.47,6.47,6.47,6.47
2000-02-14,6.446,6.446,6.446,6.446,6.446
2000-02-15,6.479,6.479,6.479,6.479,6.479
2000-02-16,6.472,6.472,6.472,6.472,6.472
2000-02-17,6.507,6.507,6.507,6.507,6.507
2000-02-18,6.411,6.411,6.411,6.411,6.411
2000-02-21,6.37,6.37,6.37,6.37,6.37
2000-02-22,6.243,6.243,6.243,6.243,6.243
2000-02-23,6.289,6.289,6.289,6.289,6.289
2000-02-24,6.124,6.124,6.124,6.124,6.124
2000-02-25,6.069,6.069,6.069,6.069,6.069
2000-02-28,6.183,6.183,6.183,6.183,6.183
2000-02-29,6.184,6.184,6.184,6.184,6.184
2000-03-01,6.155,6.155,6.155,6.155,6.155
2000-03-02,6.176,6.176,6.176,6.176,6.176
2000-03-03,6.139,6.139,6.139,6.139,6.139
2000-03-06,6.19,6.19,6.19,6.19,6.19
2000-03-07,6.151,6.151,6.151,6.151,6.151
2000-03-08,6.117,6.117,6.117,6.117,6.117
2000-03-09,6.168,6.168,6.168,6.168,6.168
2000-03-10,6.198,6.198,6.198,6.198,6.198
2000-03-13,6.133,6.133,6.133,6.133,6.133
2000-03-14,6.123,6.123,6.123,6.123,6.123
2000-03-15,6.17,6.17,6.17,6.17,6.17
2000-03-16,6.151,6.151,6.151,6.151,6.151
2000-03-17,6.091,6.091,6.091,6.091,6.091
2000-03-20,6.083,6.083,6.083,6.083,6.083
2000-03-21,6.041,6.041,6.041,6.041,6.041
2000-03-22,6.014,6.014,6.014,6.014,6.014
2000-03-23,6.013,6.013,6.013,6.013,6.013
2000-03-24,6.097,6.097,6.097,6.097,6.097
2000-03-27,6.093,6.093,6.093,6.093,6.093
2000-03-28,6.077,6.077,6.077,6.077,6.077
2000-03-29,6.121,6.121,6.121,6.121,6.121
2000-03-30,6.051,6.051,6.051,6.051,6.051
2000-03-31,6.021,6.021,6.021,6.021,6.021
2000-04-03,5.992,5.992,5.992,5.992,5.992
2000-04-04,5.886,5.886,5.886,5.886,5.886
2000-04-05,5.905,5.905,5.905,5.905,5.905
2000-04-06,5.912,5.912,5.912,5.912,5.912
2000-04-07,5.853,5.853,5.853,5.853,5.853
2000-04-10,5.854,5.854,5.854,5.854,5.854
2000-04-11,5.902,5.902,5.902,5.902,5.902
2000-04-12,5.916,5.916,5.916,5.916,5.916
2000-04-13,5.899,5.899,5.899,5.899,5.899
