Date,Open,High,Low,Close,Average
2000-01-03,4.97,4.97,4.97,4.97,4.97
2000-01-04,5.043,5.043,5.043,5.043,5.043
2000-01-06,5.002,5.002,5.002,5.002,5.002
2000-01-07,4.965,4.965,4.965,4.965,4.965
2000-01-10,4.844,4.844,4.844,4.844,4.844
2000-01-11,4.865,4.865,4.865,4.865,4.865
2000-01-12,5.015,5.015,5.015,5.015,5.015
2000-01-13,5.005,5.005,5.005,5.005,5.005
2000-01-14,4.979,4.979,4.979,4.979,4.979
2000-01-17,5.03,5.03,5.03,5.03,5.03
2000-01-18,5.074,5.074,5.074,5.074,5.074
2000-01-19,5.1,5.1,5.1,5.1,5.1
2000-01-20,5.12,5.12,5.12,5.12,5.12
2000-01-21,5.075,5.075,5.075,5.075,5.075
2000-01-24,5.075,5.075,5.075,5.075,5.075
2000-01-25,5.01,5.01,5.01,5.01,5.01
2000-01-26,5.05,5.05,5.05,5.05,5.05
2000-01-27,5.15,5.15,5.15,5.15,5.15
2000-01-28,5.17,5.17,5.17,5.17,5.17
2000-01-31,5.116,5.116,5.116,5.116,5.116
2000-02-01,5.004,5.004,5.004,5.004,5.004
2000-02-02,4.999,4.999,4.999,4.999,4.999
2000-02-03,5.045,5.045,5.045,5.045,5.045
2000-02-04,4.984,4.984,4.984,4.984,4.984
2000-02-07,5.097,5.097,5.097,5.097,5.097
2000-02-08,5.074,5.074,5.074,5.074,5.074
2000-02-09,5.14,5.14,5.14,5.14,5.14
2000-02-10,5.145,5.145,5.145,5.145,5.145
2000-02-11,5.18,5.18,5.18,5.18,5.18
2000-02-14,5.195,5.195,5.195,5.195,5.195
2000-02-15,5.15,5.15,5.15,5.15,5.15
2000-02-16,5.175,5.175,5.175,5.175,5.175
2000-02-17,5.126,5.126,5.126,5.126,5.126
2000-02-18,5.257,5.257,5.257,5.257,5.257
2000-02-21,5.231,5.231,5.231,5.231,5.231
2000-02-22,5.102,5.102,5.102,5.102,5.102
2000-02-23,5.131,5.131,5.131,5.131,5.131
2000-02-24,5.061,5.061,5.061,5.061,5.061
2000-02-25,5.068,5.068,5.068,5.068,5.068
2000-02-28,5.129,5.129,5.129,5.129,5.129
2000-02-29,5.157,5.157,5.157,5.157,5.157
2000-03-01,5.146,5.146,5.146,5.146,5.146
2000-03-02,5.179,5.179,5.179,5.179,5.179
2000-03-03,5.164,5.164,5.164,5.164,5.164
2000-03-06,5.147,5.147,5.147,5.147,5.147
2000-03-10,5.031,5.031,5.031,5.031,5.031
2000-03-13,5.042,5.042,5.042,5.042,5.042
2000-03-20,4.975,4.975,4.975,4.975,4.975
2000-03-21,4.977,4.977,4.977,4.977,4.977
2000-03-22,4.972,4.972,4.972,4.972,4.972
2000-03-23,4.975,4.975,4.975,4.975,4.975
2000-03-24,4.997,4.997,4.997,4.997,4.997
2000-03-27,5.036,5.036,5.036,5.036,5.036
2000-03-30,4.997,4.997,4.997,4.997,4.997
2000-03-31,4.946,4.946,4.946,4.946,4.946
2000-04-03,4.933,4.933,4.933,4.933,4.933
2000-04-04,4.922,4.922,4.922,4.922,4.922
2000-04-05,4.841,4.841,4.841,4.841,4.841
2000-04-06,4.911,4.911,4.911,4.911,4.911
2000-04-07,4.946,4.946,4.946,4.946,4.946
2000-04-10,4.916,4.916,4.916,4.916,4.916
2000-04-11,4.865,4.865,4.865,4.865,4.865
2000-04-13,4.975,4.975,4.975,4.975,4.975
2000-04-14,4.993,4.993,4.993,4.993,4.993
2000-04-17,4.962,4.962,4.962,4.962,4.962
2000-04-18,4.991,4.991,4.991,4.991,4.991
2000-04-19,5.017,5.017,5.017,5.017,5.017
2000-04-20,5.036,5.036,5.036,5.036,5.036
2000-04-21,5.087,5.087,5.087,5.087,5.087
2000-04-24,5.089,5.089,5.089,5.089,5.089
2000-04-25,5.085,5.085,5.085,5.085,5.085
2000-04-26,5.053,5.053,5.053,5.053,5.053
2000-04-27,5.022,5.022,5.022,5.022,5.022
2000-04-28,5.078,5.078,5.078,5.078,5.078
2000-05-01,5.083,5.083,5.083,5.083,5.083
2000-05-02,5.146,5.146,5.146,5.146,5.146
2000-05-03,5.25,5.25,5.25,5.25,5.25
2000-05-04,5.298,5.298,5.298,5.298,5.298
2000-05-05,5.289,5.289,5.289,5.289,5.289
2000-05-08,5.299,5.299,5.299,5.299,5.299
2000-05-09,5.267,5.267,5.267,5.267,5.267
2000-05-10,5.233,5.233,5.233,5.233,5.233
2000-05-11,5.201,5.201,5.201,5.201,5.201
2000-05-12,5.352,5.352,5.352,5.352,5.352
2000-05-15,5.289,5.289,5.289,5.289,5.289
2000-05-16,5.296,5.296,5.296,5.296,5.296
2000-05-17,5.401,5.401,5.401,5.401,5.401
2000-05-18,5.415,5.415,5.415,5.415,5.415
2000-05-19,5.425,5.425,5.425,5.425,5.425
2000-05-22,5.373,5.373,5.373,5.373,5.373
2000-05-23,5.338,5.338,5.338,5.338,5.338
2000-05-24,5.251,5.251,5.251,5.251,5.251
2000-05-25,5.19,5.19,5.19,5.19,5.19
2000-05-26,5.113,5.113,5.113,5.113,5.113
2000-05-29,5.177,5.177,5.177,5.177,5.177
2000-05-30,5.156,5.156,5.156,5.156,5.156
2000-05-31,5.186,5.186,5.186,5.186,5.186
2000-06-01,5.113,5.113,5.113,5.113,5.113
2000-06-02,5.086,5.086,5.086,5.086,5.086
2000-06-05,4.966,4.966,4.966,4.966,4.966
2000-06-06,4.979,4.979,4.979,4.979,4.979
2000-06-07,4.993,4.993,4.993,4.993,4.993
2000-06-08,5.011,5.011,5.011,5.011,5.011
2000-06-09,5.144,5.144,5.144,5.144,5.144
2000-06-12,5.124,5.124,5.124,5.124,5.124
2000-06-13,5.078,5.078,5.078,5.078,5.078
