Date,Open,High,Low,Close,Average
2000-01-01,4.793,4.793,4.793,4.793,4.793
2000-01-02,4.774,4.774,4.774,4.774,4.774
2000-01-03,4.924,4.924,4.924,4.924,4.924
2000-01-04,4.929,4.929,4.929,4.929,4.929
2000-01-05,4.956,4.956,4.956,4.956,4.956
2000-01-06,4.956,4.956,4.956,4.956,4.956
2000-01-07,4.837,4.837,4.837,4.837,4.837
2000-01-08,4.825,4.825,4.825,4.825,4.825
2000-01-09,4.823,4.823,4.823,4.823,4.823
2000-01-10,4.818,4.818,4.818,4.818,4.818
2000-01-11,4.936,4.936,4.936,4.936,4.936
2000-01-12,4.963,4.963,4.963,4.963,4.963
2000-01-13,4.952,4.952,4.952,4.952,4.952
2000-01-14,4.991,4.991,4.991,4.991,4.991
2000-01-15,4.991,4.991,4.991,4.991,4.991
2000-01-17,4.991,4.991,4.991,4.991,4.991
2000-01-18,5.044,5.044,5.044,5.044,5.044
2000-01-19,5.026,5.026,5.026,5.026,5.026
2000-01-20,5.01,5.01,5.01,5.01,5.01
2000-01-21,5.068,5.068,5.068,5.068,5.068
2000-01-22,5.035,5.035,5.035,5.035,5.035
2000-01-23,5.069,5.069,5.069,5.069,5.069
2000-01-24,5.047,5.047,5.047,5.047,5.047
2000-01-25,4.999,4.999,4.999,4.999,4.999
2000-01-26,5.024,5.024,5.024,5.024,5.024
2000-01-27,5.105,5.105,5.105,5.105,5.105
2000-01-28,5.059,5.059,5.059,5.059,5.059
2000-01-31,5.052,5.052,5.052,5.052,5.052
2000-02-01,4.975,4.975,4.975,4.975,4.975
2000-02-02,5.002,5.002,5.002,5.002,5.002
2000-02-03,4.952,4.952,4.952,4.952,4.952
2000-02-04,5.106,5.106,5.106,5.106,5.106
2000-02-05,5.079,5.079,5.079,5.079,5.079
2000-02-06,5.101,5.101,5.101,5.101,5.101
2000-02-07,5.116,5.116,5.116,5.116,5.116
2000-02-08,5.065,5.065,5.065,5.065,5.065
2000-02-09,5.135,5.135,5.135,5.135,5.135
2000-02-10,5.173,5.173,5.173,5.173,5.173
2000-02-11,5.168,5.168,5.168,5.168,5.168
2000-02-12,5.164,5.164,5.164,5.164,5.164
2000-02-13,5.174,5.174,5.174,5.174,5.174
2000-02-14,5.114,5.114,5.114,5.114,5.114
2000-02-15,5.144,5.144,5.144,5.144,5.144
2000-02-16,5.153,5.153,5.153,5.153,5.153
2000-02-17,5.169,5.169,5.169,5.169,5.169
2000-02-18,5.134,5.134,5.134,5.134,5.134
2000-02-19,5.135,5.135,5.135,5.135,5.135
2000-02-21,5.113,5.113,5.113,5.113,5.113
2000-02-22,5.022,5.022,5.022,5.022,5.022
2000-02-23,5.063,5.063,5.063,5.063,5.063
2000-02-24,4.999,4.999,4.999,4.999,4.999
2000-02-25,5.106,5.106,5.106,5.106,5.106
2000-02-26,5.104,5.104,5.104,5.104,5.104
2000-02-27,5.104,5.104,5.104,5.104,5.104
2000-02-28,5.083,5.083,5.083,5.083,5.083
2000-02-29,5.086,5.086,5.086,5.086,5.086
2000-03-01,5.073,5.073,5.073,5.073,5.073
2000-03-02,5.095,5.095,5.095,5.095,5.095
2000-03-03,5.078,5.078,5.078,5.078,5.078
2000-03-04,5.071,5.071,5.071,5.071,5.071
2000-03-06,5.074,5.074,5.074,5.074,5.074
2000-03-07,5.067,5.067,5.067,5.067,5.067
2000-03-08,5.054,5.054,5.054,5.054,5.054
2000-03-09,4.933,4.933,4.933,4.933,4.933
2000-03-10,5.012,5.012,5.012,5.012,5.012
2000-03-11,4.986,4.986,4.986,4.986,4.986
2000-03-13,4.979,4.979,4.979,4.979,4.979
2000-03-14,5.0,5.0,5.0,5.0,5.0
2000-03-15,4.985,4.985,4.985,4.985,4.985
2000-03-16,4.914,4.914,4.914,4.914,4.914
2000-03-17,4.916,4.916,4.916,4.916,4.916
2000-03-18,4.895,4.895,4.895,4.895,4.895
2000-03-19,4.895,4.895,4.895,4.895,4.895
2000-03-20,4.905,4.905,4.905,4.905,4.905
2000-03-21,4.884,4.884,4.884,4.884,4.884
2000-03-22,4.875,4.875,4.875,4.875,4.875
2000-03-23,4.828,4.828,4.828,4.828,4.828
2000-03-24,4.89,4.89,4.89,4.89,4.89
2000-03-25,4.893,4.893,4.893,4.893,4.893
2000-03-26,4.902,4.902,4.902,4.902,4.902
2000-03-27,4.955,4.955,4.955,4.955,4.955
2000-03-28,4.907,4.907,4.907,4.907,4.907
2000-03-29,4.939,4.939,4.939,4.939,4.939
2000-03-30,4.877,4.877,4.877,4.877,4.877
2000-03-31,4.861,4.861,4.861,4.861,4.861
2000-04-01,4.857,4.857,4.857,4.857,4.857
2000-04-02,4.854,4.854,4.854,4.854,4.854
2000-04-03,4.837,4.837,4.837,4.837,4.837
2000-04-04,4.747,4.747,4.747,4.747,4.747
2000-04-05,4.779,4.779,4.779,4.779,4.779
2000-04-06,4.853,4.853,4.853,4.853,4.853
2000-04-07,4.825,4.825,4.825,4.825,4.825
2000-04-08,4.815,4.815,4.815,4.815,4.815
2000-04-10,4.825,4.825,4.825,4.825,4.825
2000-04-11,4.868,4.868,4.868,4.868,4.868
2000-04-12,4.85,4.85,4.85,4.85,4.85
2000-04-13,4.865,4.865,4.865,4.865,4.865
2000-04-14,4.913,4.913,4.913,4.913,4.913
2000-04-15,4.885,4.885,4.885,4.885,4.885
2000-04-16,4.906,4.906,4.906,4.906,4.906
2000-04-17,4.849,4.849,4.849,4.849,4.849
2000-04-18,4.894,4.894,4.894,4.894,4.894
2000-04-19,4.93,4.93,4.93,4.93,4.93
2000-04-20,4.974,4.974,4.974,4.974,4.974
2000-04-21,4.994,4.994,4.994,4.994,4.994
2000-04-24,4.989,4.989,4.989,4.989,4.989
2000-04-25,5.013,5.013,5.013,5.013,5.013
2000-04-26,4.966,4.966,4.966,4.966,4.966
2000-04-27,5.02,5.02,5.02,5.02,5.02
2000-04-28,5.013,5.013,5.013,5.013,5.013
2000-04-29,4.992,4.992,4.992,4.992,4.992
2000-04-30,5.009,5.009,5.009,5.009,5.009
2000-05-01,5.009,5.009,5.009,5.009,5.009
2000-05-02,5.095,5.095,5.095,5.095,5.095
2000-05-03,5.147,5.147,5.147,5.147,5.147
2000-05-04,5.217,5.217,5.217,5.217,5.217
2000-05-05,5.223,5.223,5.223,5.223,5.223
2000-05-06,5.223,5.223,5.223,5.223,5.223
2000-05-08,5.186,5.186,5.186,5.186,5.186
2000-05-09,5.139,5.139,5.139,5.139,5.139
2000-05-10,5.128,5.128,5.128,5.128,5.128
2000-05-11,5.238,5.238,5.238,5.238,5.238
2000-05-12,5.256,5.256,5.256,5.256,5.256
2000-05-13,5.256,5.256,5.256,5.256,5.256
2000-05-14,5.251,5.251,5.251,5.251,5.251
2000-05-15,5.194,5.194,5.194,5.194,5.194
2000-05-16,5.19,5.19,5.19,5.19,5.19
2000-05-17,5.289,5.289,5.289,5.289,5.289
2000-05-18,5.29,5.29,5.29,5.29,5.29
2000-05-19,5.258,5.258,5.258,5.258,5.258
2000-05-22,5.211,5.211,5.211,5.211,5.211
2000-05-23,5.19,5.19,5.19,5.19,5.19
2000-05-24,5.118,5.118,5.118,5.118,5.118
2000-05-25,5.057,5.057,5.057,5.057,5.057
2000-05-26,5.004,5.004,5.004,5.004,5.004
2000-05-28,5.009,5.009,5.009,5.009,5.009
2000-05-29,5.055,5.055,5.055,5.055,5.055
2000-05-30,5.069,5.069,5.069,5.069,5.069
2000-05-31,5.039,5.039,5.039,5.039,5.039
2000-06-01,4.997,4.997,4.997,4.997,4.997
2000-06-02,4.888,4.888,4.888,4.888,4.888
