Date,Open,High,Low,Close,Average
2000-01-03,5.177,5.177,5.177,5.177,5.177
2000-01-04,5.204,5.204,5.204,5.204,5.204
2000-01-05,5.169,5.169,5.169,5.169,5.169
2000-01-06,5.198,5.198,5.198,5.198,5.198
2000-01-07,5.125,5.125,5.125,5.125,5.125
2000-01-10,5.055,5.055,5.055,5.055,5.055
2000-01-11,5.148,5.148,5.148,5.148,5.148
2000-01-12,5.218,5.218,5.218,5.218,5.218
2000-01-13,5.2,5.2,5.2,5.2,5.2
2000-01-14,5.169,5.169,5.169,5.169,5.169
2000-01-17,5.218,5.218,5.218,5.218,5.218
2000-01-18,5.261,5.261,5.261,5.261,5.261
2000-01-19,5.273,5.273,5.273,5.273,5.273
2000-01-20,5.28,5.28,5.28,5.28,5.28
2000-01-21,5.243,5.243,5.243,5.243,5.243
2000-01-24,5.275,5.275,5.275,5.275,5.275
2000-01-25,5.241,5.241,5.241,5.241,5.241
2000-01-26,5.23,5.23,5.23,5.23,5.23
2000-01-27,5.295,5.295,5.295,5.295,5.295
2000-01-28,5.341,5.341,5.341,5.341,5.341
2000-01-31,5.329,5.329,5.329,5.329,5.329
2000-02-01,5.281,5.281,5.281,5.281,5.281
2000-02-02,5.221,5.221,5.221,5.221,5.221
2000-02-03,5.265,5.265,5.265,5.265,5.265
2000-02-04,5.22,5.22,5.22,5.22,5.22
2000-02-07,5.325,5.325,5.325,5.325,5.325
2000-02-08,5.305,5.305,5.305,5.305,5.305
2000-02-09,5.46,5.46,5.46,5.46,5.46
2000-02-10,5.47,5.47,5.47,5.47,5.47
2000-02-11,5.522,5.522,5.522,5.522,5.522
2000-02-14,5.491,5.491,5.491,5.491,5.491
2000-02-15,5.482,5.482,5.482,5.482,5.482
2000-02-16,5.505,5.505,5.505,5.505,5.505
2000-02-17,5.469,5.469,5.469,5.469,5.469
2000-02-18,5.511,5.511,5.511,5.511,5.511
2000-02-21,5.472,5.472,5.472,5.472,5.472
2000-02-22,5.382,5.382,5.382,5.382,5.382
2000-02-23,5.369,5.369,5.369,5.369,5.369
2000-02-24,5.344,5.344,5.344,5.344,5.344
2000-02-25,5.299,5.299,5.299,5.299,5.299
2000-02-28,5.376,5.376,5.376,5.376,5.376
2000-02-29,5.388,5.388,5.388,5.388,5.388
2000-03-01,5.382,5.382,5.382,5.382,5.382
2000-03-02,5.405,5.405,5.405,5.405,5.405
2000-03-03,5.385,5.385,5.385,5.385,5.385
2000-03-06,5.371,5.371,5.371,5.371,5.371
2000-03-07,5.356,5.356,5.356,5.356,5.356
2000-03-08,5.349,5.349,5.349,5.349,5.349
2000-03-09,5.286,5.286,5.286,5.286,5.286
2000-03-10,5.282,5.282,5.282,5.282,5.282
2000-03-13,5.248,5.248,5.248,5.248,5.248
2000-03-14,5.289,5.289,5.289,5.289,5.289
2000-03-15,5.296,5.296,5.296,5.296,5.296
2000-03-16,5.272,5.272,5.272,5.272,5.272
2000-03-17,5.213,5.213,5.213,5.213,5.213
2000-03-20,5.202,5.202,5.202,5.202,5.202
2000-03-21,5.17,5.17,5.17,5.17,5.17
2000-03-22,5.173,5.173,5.173,5.173,5.173
2000-03-23,5.148,5.148,5.148,5.148,5.148
2000-03-24,5.166,5.166,5.166,5.166,5.166
2000-03-27,5.237,5.237,5.237,5.237,5.237
2000-03-28,5.201,5.201,5.201,5.201,5.201
2000-03-29,5.224,5.224,5.224,5.224,5.224
2000-03-30,5.217,5.217,5.217,5.217,5.217
2000-03-31,5.174,5.174,5.174,5.174,5.174
2000-04-03,5.163,5.163,5.163,5.163,5.163
2000-04-04,5.156,5.156,5.156,5.156,5.156
2000-04-05,5.091,5.091,5.091,5.091,5.091
2000-04-06,5.139,5.139,5.139,5.139,5.139
2000-04-07,5.157,5.157,5.157,5.157,5.157
2000-04-10,5.121,5.121,5.121,5.121,5.121
2000-04-11,5.085,5.085,5.085,5.085,5.085
2000-04-12,5.13,5.13,5.13,5.13,5.13
2000-04-13,5.156,5.156,5.156,5.156,5.156
2000-04-14,5.177,5.177,5.177,5.177,5.177
2000-04-17,5.159,5.159,5.159,5.159,5.159
2000-04-18,5.196,5.196,5.196,5.196,5.196
2000-04-19,5.222,5.222,5.222,5.222,5.222
2000-04-20,5.243,5.243,5.243,5.243,5.243
2000-04-21,5.275,5.275,5.275,5.275,5.275
2000-04-24,5.275,5.275,5.275,5.275,5.275
2000-04-25,5.282,5.282,5.282,5.282,5.282
2000-04-26,5.3,5.3,5.3,5.3,5.3
2000-04-27,5.26,5.26,5.26,5.26,5.26
2000-04-28,5.307,5.307,5.307,5.307,5.307
2000-05-02,5.347,5.347,5.347,5.347,5.347
2000-05-03,5.42,5.42,5.42,5.42,5.42
2000-05-04,5.524,5.524,5.524,5.524,5.524
2000-05-05,5.529,5.529,5.529,5.529,5.529
2000-05-08,5.506,5.506,5.506,5.506,5.506
2000-05-09,5.494,5.494,5.494,5.494,5.494
2000-05-10,5.455,5.455,5.455,5.455,5.455
2000-05-11,5.491,5.491,5.491,5.491,5.491
2000-05-12,5.551,5.551,5.551,5.551,5.551
2000-05-15,5.534,5.534,5.534,5.534,5.534
2000-05-16,5.525,5.525,5.525,5.525,5.525
2000-05-17,5.602,5.602,5.602,5.602,5.602
2000-05-18,5.643,5.643,5.643,5.643,5.643
2000-05-19,5.677,5.677,5.677,5.677,5.677
2000-05-22,5.628,5.628,5.628,5.628,5.628
2000-05-23,5.58,5.58,5.58,5.58,5.58
2000-05-24,5.512,5.512,5.512,5.512,5.512
2000-05-25,5.498,5.498,5.498,5.498,5.498
2000-05-26,5.413,5.413,5.413,5.413,5.413
2000-05-29,5.385,5.385,5.385,5.385,5.385
2000-05-30,5.376,5.376,5.376,5.376,5.376
2000-05-31,5.439,5.439,5.439,5.439,5.439
2000-06-01,5.425,5.425,5.425,5.425,5.425
2000-06-02,5.344,5.344,5.344,5.344,5.344
2000-06-05,5.26,5.26,5.26,5.26,5.26
2000-06-06,5.262,5.262,5.262,5.262,5.262
2000-06-07,5.263,5.263,5.263,5.263,5.263
2000-06-08,5.31,5.31,5.31,5.31,5.31
2000-06-09,5.387,5.387,5.387,5.387,5.387
2000-06-12,5.375,5.375,5.375,5.375,5.375
2000-06-13,5.356,5.356,5.356,5.356,5.356
