Date,Open,High,Low,Close,Fx_Currency,Average,Base_Currency
2000-01-04,1.5207,1.5239,1.5207,1.5239,AUD,1.5223,USD
2000-01-05,1.5214,1.5202,1.5214,1.5202,AUD,1.5208,USD
2000-01-06,1.526,1.528,1.526,1.528,AUD,1.527,USD
2000-01-07,1.5253,1.5262,1.5253,1.5262,AUD,1.5257,USD
2000-01-10,1.5232,1.5238,1.5232,1.5238,AUD,1.5235,USD
2000-01-11,1.5214,1.5208,1.5214,1.5208,AUD,1.5211,USD
2000-01-12,1.5181,1.5187,1.5181,1.5187,AUD,1.5184,USD
2000-01-13,1.5002,1.4989,1.5002,1.4989,AUD,1.4995,USD
2000-01-14,1.4981,1.4998,1.4981,1.4998,AUD,1.499,USD
2000-01-17,1.5074,1.5056,1.5074,1.5056,AUD,1.5065,USD
2000-01-18,1.5053,1.5036,1.5053,1.5036,AUD,1.5045,USD
2000-01-19,1.5072,1.5073,1.5072,1.5073,AUD,1.5072,USD
2000-01-20,1.499,1.5008,1.499,1.5008,AUD,1.4999,USD
2000-01-21,1.5083,1.5089,1.5083,1.5089,AUD,1.5086,USD
2000-01-24,1.5277,1.5284,1.5277,1.5284,AUD,1.528,USD
2000-01-25,1.5284,1.5272,1.5284,1.5272,AUD,1.5278,USD
2000-01-26,1.5373,1.5358,1.5373,1.5358,AUD,1.5366,USD
2000-01-27,1.5279,1.5279,1.5279,1.5279,AUD,1.5279,USD
2000-01-28,1.5571,1.5694,1.5571,1.5694,AUD,1.5633,USD
2000-01-31,1.5679,1.5694,1.5679,1.5694,AUD,1.5686,USD
2000-02-01,1.5773,1.5798,1.5773,1.5798,AUD,1.5785,USD
2000-02-02,1.5701,1.5691,1.5701,1.5691,AUD,1.5696,USD
2000-02-03,1.5689,1.5702,1.5689,1.5702,AUD,1.5696,USD
2000-02-04,1.5813,1.5766,1.5813,1.5766,AUD,1.5789,USD
2000-02-07,1.5746,1.5782,1.5746,1.5782,AUD,1.5764,USD
2000-02-08,1.576,1.58,1.576,1.58,AUD,1.578,USD
2000-02-09,1.5746,1.5745,1.5746,1.5745,AUD,1.5745,USD
2000-02-10,1.583,1.5841,1.583,1.5841,AUD,1.5836,USD
2000-02-11,1.5886,1.5877,1.5886,1.5877,AUD,1.5881,USD
2000-02-14,1.5906,1.5934,1.5906,1.5934,AUD,1.592,USD
2000-02-15,1.5873,1.5896,1.5873,1.5896,AUD,1.5884,USD
2000-02-16,1.5868,1.5847,1.5868,1.5847,AUD,1.5857,USD
