Date,Open,High,Low,Close,Fx_Currency,Average,Base_Currency
2000-01-03,8.2798,8.2798,8.2798,8.2798,CNY,8.2798,USD
2000-01-04,8.2799,8.2799,8.2799,8.2799,CNY,8.2799,USD
2000-01-05,8.2798,8.2798,8.2798,8.2798,CNY,8.2798,USD
2000-01-06,8.2797,8.2797,8.2797,8.2797,CNY,8.2797,USD
2000-01-07,8.2794,8.2794,8.2794,8.2794,CNY,8.2794,USD
2000-01-10,8.2794,8.2794,8.2794,8.2794,CNY,8.2794,USD
2000-01-11,8.2795,8.2795,8.2795,8.2795,CNY,8.2795,USD
2000-01-12,8.2796,8.2796,8.2796,8.2796,CNY,8.2796,USD
2000-01-13,8.2798,8.2798,8.2798,8.2798,CNY,8.2798,USD
2000-01-14,8.2797,8.2797,8.2797,8.2797,CNY,8.2797,USD
2000-01-17,8.2793,8.2793,8.2793,8.2793,CNY,8.2793,USD
2000-01-18,8.2793,8.2793,8.2793,8.2793,CNY,8.2793,USD
2000-01-19,8.2797,8.2797,8.2797,8.2797,CNY,8.2797,USD
2000-01-20,8.2794,8.2794,8.2794,8.2794,CNY,8.2794,USD
2000-01-21,8.2795,8.2795,8.2795,8.2795,CNY,8.2795,USD
2000-01-24,8.2789,8.2789,8.2789,8.2789,CNY,8.2789,USD
2000-01-25,8.2786,8.2786,8.2786,8.2786,CNY,8.2786,USD
2000-01-26,8.2782,8.2782,8.2782,8.2782,CNY,8.2782,USD
2000-01-27,8.2783,8.2783,8.2783,8.2783,CNY,8.2783,USD
2000-01-28,8.2781,8.2781,8.2781,8.2781,CNY,8.2781,USD
2000-01-31,8.2777,8.2777,8.2777,8.2777,CNY,8.2777,USD
2000-02-01,8.2774,8.2774,8.2774,8.2774,CNY,8.2774,USD
2000-02-02,8.2773,8.2773,8.2773,8.2773,CNY,8.2773,USD
2000-02-03,8.2781,8.2781,8.2781,8.2781,CNY,8.2781,USD
2000-02-04,8.2788,8.2788,8.2788,8.2788,CNY,8.2788,USD
2000-02-07,8.2788,8.2788,8.2788,8.2788,CNY,8.2788,USD
2000-02-08,8.2788,8.2788,8.2788,8.2788,CNY,8.2788,USD
2000-02-09,8.2788,8.2788,8.2788,8.2788,CNY,8.2788,USD
2000-02-10,8.2788,8.2788,8.2788,8.2788,CNY,8.2788,USD
2000-02-11,8.2788,8.2788,8.2788,8.2788,CNY,8.2788,USD
2000-02-14,8.2779,8.2779,8.2779,8.2779,CNY,8.2779,USD
2000-02-15,8.2777,8.2777,8.2777,8.2777,CNY,8.2777,USD
2000-02-16,8.2777,8.2777,8.2777,8.2777,CNY,8.2777,USD
2000-02-17,8.2772,8.2772,8.2772,8.2772,CNY,8.2772,USD
2000-02-18,8.2772,8.2772,8.2772,8.2772,CNY,8.2772,USD
2000-02-21,8.2775,8.2775,8.2775,8.2775,CNY,8.2775,USD
2000-02-22,8.2773,8.2773,8.2773,8.2773,CNY,8.2773,USD
2000-02-23,8.278,8.278,8.278,8.278,CNY,8.278,USD
