Date,Open,High,Low,Close,Fx_Currency,Average,Base_Currency
2000-01-04,0.6115,0.6113,0.6115,0.6113,GBP,0.6114,USD
2000-01-05,0.6101,0.6096,0.6101,0.6096,GBP,0.6099,USD
2000-01-06,0.6069,0.6072,0.6069,0.6072,GBP,0.607,USD
2000-01-07,0.6108,0.6106,0.6108,0.6106,GBP,0.6107,USD
2000-01-10,0.6106,0.6108,0.6106,0.6108,GBP,0.6107,USD
2000-01-11,0.6072,0.607,0.6072,0.607,GBP,0.6071,USD
2000-01-12,0.6075,0.6073,0.6075,0.6073,GBP,0.6074,USD
2000-01-13,0.6064,0.6069,0.6064,0.6069,GBP,0.6067,USD
2000-01-14,0.6117,0.6119,0.6117,0.6119,GBP,0.6118,USD
2000-01-17,0.6129,0.6127,0.6129,0.6127,GBP,0.6128,USD
2000-01-18,0.6106,0.6108,0.6106,0.6108,GBP,0.6107,USD
2000-01-19,0.6096,0.609,0.6096,0.609,GBP,0.6093,USD
2000-01-20,0.6064,0.6055,0.6064,0.6055,GBP,0.6059,USD
2000-01-21,0.6058,0.6061,0.6058,0.6061,GBP,0.6059,USD
2000-01-24,0.6053,0.6055,0.6053,0.6055,GBP,0.6054,USD
2000-01-25,0.6061,0.6072,0.6061,0.6072,GBP,0.6066,USD
2000-01-26,0.6096,0.6101,0.6096,0.6101,GBP,0.6099,USD
2000-01-27,0.6108,0.6106,0.6108,0.6106,GBP,0.6107,USD
2000-01-28,0.6174,0.6176,0.6174,0.6176,GBP,0.6175,USD
2000-01-31,0.6169,0.618,0.6169,0.618,GBP,0.6175,USD
2000-02-01,0.6194,0.6195,0.6194,0.6195,GBP,0.6195,USD
2000-02-02,0.6233,0.6226,0.6233,0.6226,GBP,0.623,USD
2000-02-03,0.6239,0.6249,0.6239,0.6249,GBP,0.6244,USD
2000-02-04,0.6295,0.6288,0.6295,0.6288,GBP,0.6291,USD
2000-02-07,0.629,0.6274,0.629,0.6274,GBP,0.6282,USD
2000-02-08,0.6206,0.6206,0.6206,0.6206,GBP,0.6206,USD
2000-02-09,0.6209,0.6198,0.6209,0.6198,GBP,0.6203,USD
2000-02-10,0.6229,0.6222,0.6229,0.6222,GBP,0.6225,USD
2000-02-11,0.6271,0.6276,0.6271,0.6276,GBP,0.6274,USD
2000-02-14,0.6297,0.63,0.6297,0.63,GBP,0.6299,USD
2000-02-15,0.6261,0.6263,0.6261,0.6263,GBP,0.6262,USD
2000-02-16,0.6241,0.623,0.6241,0.623,GBP,0.6236,USD
2000-02-17,0.6224,0.6221,0.6224,0.6221,GBP,0.6222,USD
2000-02-18,0.6262,0.6253,0.6262,0.6253,GBP,0.6258,USD
2000-02-21,0.6258,0.6255,0.6258,0.6255,GBP,0.6257,USD
2000-02-22,0.6192,0.6197,0.6192,0.6197,GBP,0.6195,USD
2000-02-23,0.6231,0.6234,0.6231,0.6234,GBP,0.6232,USD
2000-02-24,0.6244,0.6247,0.6244,0.6247,GBP,0.6245,USD
2000-02-25,0.6272,0.6272,0.6272,0.6272,GBP,0.6272,USD
2000-02-28,0.6288,0.6278,0.6288,0.6278,GBP,0.6283,USD
2000-02-29,0.6333,0.6334,0.6333,0.6334,GBP,0.6333,USD
2000-03-01,0.6311,0.6307,0.6311,0.6307,GBP,0.6309,USD
2000-03-02,0.633,0.6338,0.633,0.6338,GBP,0.6334,USD
2000-03-03,0.6324,0.633,0.6324,0.633,GBP,0.6327,USD
2000-03-06,0.6356,0.6354,0.6356,0.6354,GBP,0.6355,USD
2000-03-07,0.6324,0.6328,0.6324,0.6328,GBP,0.6326,USD
2000-03-08,0.632,0.6324,0.632,0.6324,GBP,0.6322,USD
2000-03-09,0.632,0.6322,0.632,0.6322,GBP,0.6321,USD
2000-03-10,0.6334,0.634,0.6334,0.634,GBP,0.6337,USD
2000-03-13,0.6333,0.6333,0.6333,0.6333,GBP,0.6333,USD
