Date,Open,High,Low,Close,Fx_Currency,Average,Base_Currency
2000-01-03,102.11,102.18,101.31,101.59,JPY,101.745,USD
2000-01-04,101.46,103.28,101.4,103.27,JPY,102.34,USD
2000-01-05,103.28,104.4,102.76,104.29,JPY,103.58,USD
2000-01-06,104.32,105.55,103.97,105.33,JPY,104.76,USD
2000-01-07,105.27,105.91,104.85,105.36,JPY,105.38,USD
2000-01-10,105.12,105.39,104.3,105.11,JPY,104.845,USD
2000-01-11,105.02,106.33,105.02,106.08,JPY,105.675,USD
2000-01-12,105.95,106.27,105.51,105.95,JPY,105.89,USD
2000-01-13,105.86,106.27,105.4,106.09,JPY,105.835,USD
2000-01-14,106.05,106.4,105.37,105.81,JPY,105.885,USD
2000-01-17,105.8,105.91,104.59,104.84,JPY,105.25,USD
2000-01-18,104.87,105.76,104.75,105.69,JPY,105.255,USD
2000-01-19,105.7,106.13,105.11,105.33,JPY,105.62,USD
2000-01-20,105.27,105.72,105.15,105.34,JPY,105.435,USD
2000-01-21,105.4,105.57,104.4,104.73,JPY,104.985,USD
2000-01-24,105.2,105.86,104.62,105.67,JPY,105.24,USD
2000-01-25,105.56,106.09,105.46,106.02,JPY,105.775,USD
2000-01-26,106.0,106.31,105.5,105.7,JPY,105.905,USD
2000-01-27,105.64,105.92,104.65,105.17,JPY,105.285,USD
2000-01-28,105.09,107.3,104.53,107.12,JPY,105.915,USD
2000-01-31,106.9,107.55,106.57,107.4,JPY,107.06,USD
2000-02-01,107.39,107.97,107.1,107.81,JPY,107.535,USD
2000-02-02,107.85,109.05,107.69,108.16,JPY,108.37,USD
2000-02-03,108.13,108.8,107.11,107.6,JPY,107.955,USD
2000-02-04,107.49,108.08,107.09,107.2,JPY,107.585,USD
2000-02-07,107.28,108.83,107.15,108.69,JPY,107.99,USD
2000-02-08,108.61,109.7,108.55,109.5,JPY,109.125,USD
2000-02-09,109.47,109.66,108.51,108.75,JPY,109.085,USD
2000-02-10,108.82,109.28,108.28,109.22,JPY,108.78,USD
2000-02-11,109.17,109.81,108.7,108.8,JPY,109.255,USD
2000-02-14,109.05,109.07,107.97,108.9,JPY,108.52,USD
2000-02-15,108.9,109.34,108.44,109.17,JPY,108.89,USD
2000-02-16,109.16,109.7,108.85,109.4,JPY,109.275,USD
2000-02-17,109.47,110.69,109.28,110.66,JPY,109.985,USD
2000-02-18,110.51,111.3,110.25,110.96,JPY,110.775,USD
2000-02-21,110.91,111.47,110.35,111.3,JPY,110.91,USD
2000-02-22,111.25,111.77,110.53,110.86,JPY,111.15,USD
2000-02-23,110.82,111.36,110.07,111.23,JPY,110.715,USD
2000-02-24,111.15,111.54,110.53,111.31,JPY,111.035,USD
2000-02-25,111.3,111.5,110.05,110.34,JPY,110.775,USD
2000-02-28,110.18,110.42,108.35,109.5,JPY,109.385,USD
2000-02-29,109.46,110.44,109.35,110.23,JPY,109.895,USD
2000-03-01,110.18,110.33,106.54,107.14,JPY,108.435,USD
2000-03-02,107.21,108.0,106.57,107.78,JPY,107.285,USD
2000-03-03,107.72,108.04,107.29,107.76,JPY,107.665,USD
2000-03-06,107.85,107.96,106.69,107.43,JPY,107.325,USD
2000-03-07,107.57,108.19,105.73,106.11,JPY,106.96,USD
2000-03-08,106.15,107.47,106.0,107.22,JPY,106.735,USD
2000-03-09,107.15,107.3,106.14,106.65,JPY,106.72,USD
2000-03-10,106.6,106.74,106.03,106.27,JPY,106.385,USD
2000-03-13,106.3,106.62,104.76,105.63,JPY,105.69,USD
2000-03-14,105.51,105.88,104.55,105.22,JPY,105.215,USD
2000-03-15,105.2,106.22,104.68,105.66,JPY,105.45,USD
2000-03-16,105.65,105.84,105.07,105.54,JPY,105.455,USD
2000-03-17,105.43,106.8,105.32,106.72,JPY,106.06,USD
2000-03-20,106.9,107.12,106.22,106.43,JPY,106.67,USD
2000-03-21,106.38,107.19,106.25,106.86,JPY,106.72,USD
2000-03-22,106.75,107.19,106.46,107.06,JPY,106.825,USD
2000-03-23,107.09,107.81,106.93,107.36,JPY,107.37,USD
2000-03-24,107.23,107.7,106.67,106.88,JPY,107.185,USD
2000-03-27,106.86,107.19,106.55,106.73,JPY,106.87,USD
2000-03-28,106.75,106.79,105.65,105.8,JPY,106.22,USD
2000-03-29,105.79,106.34,104.96,105.73,JPY,105.65,USD
2000-03-30,105.74,105.98,104.78,105.39,JPY,105.38,USD
2000-03-31,105.42,106.11,101.99,102.8,JPY,104.05,USD
2000-04-03,103.3,105.61,102.79,104.86,JPY,104.2,USD
2000-04-04,104.91,105.78,104.12,105.22,JPY,104.95,USD
2000-04-05,105.19,105.53,104.71,104.92,JPY,105.12,USD
2000-04-06,104.85,105.17,104.53,104.76,JPY,104.85,USD
2000-04-07,104.75,105.51,104.67,105.4,JPY,105.09,USD
2000-04-10,105.42,106.83,105.25,106.42,JPY,106.04,USD
2000-04-11,106.46,107.14,106.3,106.92,JPY,106.72,USD
2000-04-12,106.89,106.99,105.22,105.78,JPY,106.105,USD
2000-04-13,105.8,106.11,105.57,105.86,JPY,105.84,USD
2000-04-14,105.83,106.2,104.72,104.8,JPY,105.46,USD
2000-04-17,104.23,105.44,103.18,104.54,JPY,104.31,USD
2000-04-18,104.47,104.86,104.01,104.69,JPY,104.435,USD
2000-04-19,104.65,105.07,104.18,104.8,JPY,104.625,USD
2000-04-20,104.87,105.84,104.46,105.7,JPY,105.15,USD
2000-04-21,105.69,105.92,105.4,105.77,JPY,105.66,USD
2000-04-24,105.78,106.02,105.04,105.78,JPY,105.53,USD
2000-04-25,105.66,106.39,105.18,106.34,JPY,105.785,USD
2000-04-26,106.27,106.78,105.5,106.27,JPY,106.14,USD
2000-04-27,106.23,106.65,105.8,106.41,JPY,106.225,USD
2000-04-28,106.36,108.3,106.3,108.2,JPY,107.3,USD
2000-05-01,107.84,109.05,107.65,108.76,JPY,108.35,USD
2000-05-02,108.74,108.95,108.21,108.42,JPY,108.58,USD
2000-05-03,108.47,109.51,108.29,109.01,JPY,108.9,USD
2000-05-04,109.09,109.65,107.61,107.99,JPY,108.63,USD
2000-05-05,107.95,108.71,107.21,108.56,JPY,107.96,USD
2000-05-08,108.72,109.22,108.27,108.98,JPY,108.745,USD
2000-05-09,108.89,109.67,108.53,109.24,JPY,109.1,USD
2000-05-10,109.18,109.62,108.58,109.55,JPY,109.1,USD
2000-05-11,109.51,110.09,108.04,108.47,JPY,109.065,USD
2000-05-12,108.44,109.09,107.65,108.38,JPY,108.37,USD
2000-05-15,108.66,109.61,108.54,109.29,JPY,109.075,USD
2000-05-16,109.14,109.92,108.73,109.62,JPY,109.325,USD
2000-05-17,109.66,110.06,108.98,109.3,JPY,109.52,USD
2000-05-18,109.22,109.49,108.42,108.69,JPY,108.955,USD
2000-05-19,108.42,108.89,106.3,107.02,JPY,107.595,USD
2000-05-22,107.08,107.49,106.75,107.13,JPY,107.12,USD
2000-05-23,107.12,107.32,106.37,106.45,JPY,106.845,USD
2000-05-24,106.44,107.97,106.37,107.81,JPY,107.17,USD
2000-05-25,107.72,108.01,107.24,107.34,JPY,107.625,USD
2000-05-26,107.33,107.86,106.53,107.15,JPY,107.195,USD
2000-05-29,107.03,107.38,106.65,107.02,JPY,107.015,USD
2000-05-30,107.0,107.06,106.01,106.54,JPY,106.535,USD
2000-05-31,106.55,107.96,106.15,107.65,JPY,107.055,USD
2000-06-01,107.63,109.01,107.58,108.52,JPY,108.295,USD
2000-06-02,108.52,109.1,107.62,108.05,JPY,108.36,USD
2000-06-05,108.04,108.3,107.22,107.33,JPY,107.76,USD
2000-06-06,107.32,107.62,105.15,105.79,JPY,106.385,USD
2000-06-07,105.8,106.21,104.98,105.34,JPY,105.595,USD
2000-06-08,105.37,106.23,105.37,106.06,JPY,105.8,USD
2000-06-09,105.86,107.06,105.82,106.9,JPY,106.44,USD
2000-06-12,106.78,107.17,106.3,106.83,JPY,106.735,USD
2000-06-13,106.84,107.04,106.16,106.92,JPY,106.6,USD
2000-06-14,106.89,107.15,106.25,106.62,JPY,106.7,USD
2000-06-15,106.6,106.75,105.83,106.47,JPY,106.29,USD
2000-06-16,106.45,106.62,105.97,106.41,JPY,106.295,USD
2000-06-19,106.44,106.53,105.57,105.92,JPY,106.05,USD
2000-06-20,105.84,105.91,105.17,105.57,JPY,105.54,USD
2000-06-21,105.45,105.69,105.12,105.57,JPY,105.405,USD
2000-06-22,105.48,105.64,104.08,104.57,JPY,104.86,USD
2000-06-23,104.55,104.94,103.88,104.78,JPY,104.41,USD
