Date,Region,Currency,Year,GDP
2000-01-01,Europe & Central Asia,USD,2000,10046655321168.5
2001-01-01,Europe & Central Asia,USD,2001,10157339692049.7
2002-01-01,Europe & Central Asia,USD,2002,11099688958575.4
2003-01-01,Europe & Central Asia,USD,2003,13518142445938.0
2004-01-01,Europe & Central Asia,USD,2004,15758398915716.1
2005-01-01,Europe & Central Asia,USD,2005,16780582777683.7
2006-01-01,Europe & Central Asia,USD,2006,18169171281351.1
2007-01-01,Europe & Central Asia,USD,2007,21229481021282.0
2008-01-01,Europe & Central Asia,USD,2008,23318309419163.9
2009-01-01,Europe & Central Asia,USD,2009,20510483521808.5
2010-01-01,Europe & Central Asia,USD,2010,21013558496066.7
2011-01-01,Europe & Central Asia,USD,2011,23296350638065.9
2012-01-01,Europe & Central Asia,USD,2012,22463014714476.1
2013-01-01,Europe & Central Asia,USD,2013,23477452103178.9
2014-01-01,Europe & Central Asia,USD,2014,23793962374648.4
2015-01-01,Europe & Central Asia,USD,2015,20508597009691.0
2016-01-01,Europe & Central Asia,USD,2016,20445552705800.9
2017-01-01,Europe & Central Asia,USD,2017,21648851652556.4
2018-01-01,Europe & Central Asia,USD,2018,23217309660002.3
2019-01-01,Europe & Central Asia,USD,2019,22934888163095.2
2020-01-01,Europe & Central Asia,USD,2020,22126825155477.8
