Date,Open,High,Low,Close,Currency,Average
2011-04-29,169.36,169.36,169.36,169.36,EUR,169.36
2011-05-02,169.31,169.31,169.31,169.31,EUR,169.31
2011-05-03,169.53,169.53,169.53,169.53,EUR,169.53
2011-05-04,169.34,169.34,169.34,169.34,EUR,169.34
2011-05-05,169.91,169.91,169.91,169.91,EUR,169.91
2011-05-06,170.28,170.28,170.28,170.28,EUR,170.28
2011-05-09,170.55,170.55,170.55,170.55,EUR,170.55
2011-05-10,170.59,170.59,170.59,170.59,EUR,170.59
2011-05-11,170.56,170.56,170.56,170.56,EUR,170.56
2011-05-12,171.1,171.1,171.1,171.1,EUR,171.1
2011-05-13,171.24,171.24,171.24,171.24,EUR,171.24
2011-05-16,171.06,171.06,171.06,171.06,EUR,171.06
2011-05-17,171.13,171.13,171.13,171.13,EUR,171.13
2011-05-18,170.98,170.98,170.98,170.98,EUR,170.98
2011-05-19,170.65,170.65,170.65,170.65,EUR,170.65
2011-05-20,170.89,170.89,170.89,170.89,EUR,170.89
2011-05-23,170.77,170.77,170.77,170.77,EUR,170.77
2011-05-24,170.68,170.68,170.68,170.68,EUR,170.68
2011-05-25,171.2,171.2,171.2,171.2,EUR,171.2
2011-05-26,171.63,171.63,171.63,171.63,EUR,171.63
2011-05-27,171.66,171.66,171.66,171.66,EUR,171.66
2011-05-30,171.35,171.35,171.35,171.35,EUR,171.35
2011-05-31,171.4,171.4,171.4,171.4,EUR,171.4
2011-06-01,171.8,171.8,171.8,171.8,EUR,171.8
2011-06-02,172.26,172.26,172.26,172.26,EUR,172.26
2011-06-03,172.06,172.06,172.06,172.06,EUR,172.06
2011-06-06,172.15,172.15,172.15,172.15,EUR,172.15
2011-06-07,171.38,171.38,171.38,171.38,EUR,171.38
2011-06-08,171.59,171.59,171.59,171.59,EUR,171.59
2011-06-09,171.4,171.4,171.4,171.4,EUR,171.4
2011-06-10,171.62,171.62,171.62,171.62,EUR,171.62
2011-06-13,171.51,171.51,171.51,171.51,EUR,171.51
2011-06-14,171.31,171.31,171.31,171.31,EUR,171.31
