Date,Open,High,Low,Close,Currency,Average
2013-05-30,6.72,6.75,6.04,6.11,USD,6.395
2013-05-31,5.99,6.64,5.79,6.25,USD,6.215
2013-06-03,6.56,11.46,4.87,6.64,USD,8.165
2013-06-04,6.54,6.69,6.45,6.51,USD,6.57
2013-06-05,6.54,6.54,5.33,6.36,USD,5.935
2013-06-06,6.35,6.53,6.09,6.29,USD,6.31
2013-06-07,6.39,6.45,5.55,6.02,USD,6.0
2013-06-10,5.95,6.25,5.95,6.0,USD,6.1
2013-06-11,6.31,6.32,5.96,6.0,USD,6.14
2013-06-12,6.08,6.18,5.64,6.07,USD,5.91
2013-06-13,6.12,18.57,5.78,5.96,USD,12.175
2013-06-14,5.99,6.01,5.13,5.9,USD,5.57
2013-06-17,5.92,6.02,5.78,5.99,USD,5.9
2013-06-18,6.13,6.33,6.06,6.1,USD,6.195
2013-06-19,6.04,9.08,5.43,6.48,USD,7.255
2013-06-20,6.97,12.51,6.58,6.86,USD,9.545
2013-06-21,6.78,7.78,6.75,7.78,USD,7.265
2013-06-24,10.15,10.62,8.54,8.62,USD,9.58
2013-06-25,8.06,9.11,8.05,8.35,USD,8.58
2013-06-26,8.08,8.25,7.15,7.77,USD,7.7
2013-06-27,7.54,11.12,7.11,7.22,USD,9.115
2013-06-28,7.44,8.81,7.17,7.35,USD,7.99
2013-07-01,7.84,7.85,7.2,7.39,USD,7.525
2013-07-02,7.42,7.51,7.32,7.5,USD,7.415
2013-07-03,7.61,8.0,6.47,8.0,USD,7.235
2013-07-05,8.19,8.62,5.79,8.18,USD,7.205
2013-07-08,8.41,8.41,7.65,7.66,USD,8.03
2013-07-09,7.62,7.63,7.09,7.12,USD,7.36
2013-07-10,7.19,7.35,6.95,7.28,USD,7.15
2013-07-11,6.82,7.2,6.49,6.51,USD,6.845
2013-07-12,6.27,6.66,6.15,6.63,USD,6.405
2013-07-15,6.97,6.97,6.48,6.58,USD,6.725
2013-07-16,6.57,7.19,6.46,6.51,USD,6.825
2013-07-17,6.67,7.37,5.89,5.95,USD,6.63
2013-07-18,5.64,6.09,4.0,5.6,USD,5.045
2013-07-19,5.39,5.44,5.16,5.44,USD,5.3
2013-07-22,5.47,5.78,5.23,5.4,USD,5.505
2013-07-23,5.71,5.73,5.49,5.67,USD,5.61
2013-07-24,6.09,6.79,6.09,6.39,USD,6.44
2013-07-25,6.25,6.5,5.99,6.21,USD,6.245
2013-07-26,5.99,6.2,5.87,6.18,USD,6.035
2013-07-29,6.35,8.6,6.35,6.59,USD,7.475
2013-07-30,6.56,6.62,6.38,6.61,USD,6.5
2013-07-31,7.15,8.58,6.34,6.52,USD,7.46
2013-08-01,6.7,18.42,6.39,7.27,USD,12.405
2013-08-02,7.47,7.47,5.63,5.72,USD,6.55
2013-08-05,6.13,7.14,6.03,6.03,USD,6.585
2013-08-06,5.98,6.0,5.3,5.82,USD,5.65
2013-08-07,5.78,7.02,5.63,5.66,USD,6.325
2013-08-08,5.74,7.02,5.53,5.57,USD,6.275
2013-08-09,5.55,5.58,5.45,5.48,USD,5.515
2013-08-12,5.76,5.76,5.59,5.74,USD,5.675
2013-08-13,6.25,6.65,3.43,6.6,USD,5.04
2013-08-14,6.57,7.12,3.89,6.64,USD,5.505
2013-08-15,7.04,7.44,5.35,7.09,USD,6.395
2013-08-16,7.72,8.35,7.41,7.8,USD,7.88
