Date,Open,High,Low,Close,Currency,Average
2000-01-03,4186.2,4192.2,3989.7,4131.1,USD,4090.95
2000-01-04,4020.0,4073.3,3898.2,3901.7,USD,3985.75
2000-01-05,3854.4,3924.2,3734.9,3877.5,USD,3829.55
2000-01-06,3834.4,3868.8,3715.6,3727.1,USD,3792.2
2000-01-07,3711.1,3882.7,3711.1,3882.6,USD,3796.9
2000-01-10,4002.2,4072.4,3882.6,4049.7,USD,3977.5
2000-01-11,4031.4,4066.7,3904.8,3921.2,USD,3985.75
2000-01-12,3950.9,3951.0,3834.5,3850.0,USD,3892.75
2000-01-13,3915.1,3957.5,3858.2,3957.2,USD,3907.85
2000-01-14,4045.7,4091.9,4045.7,4064.3,USD,4068.8
2000-01-18,4059.6,4148.0,4053.2,4130.8,USD,4100.6
2000-01-19,4116.3,4164.6,4084.7,4151.3,USD,4124.65
2000-01-20,4205.1,4227.4,4143.6,4189.5,USD,4185.5
2000-01-21,4236.6,4238.0,4168.3,4235.4,USD,4203.15
2000-01-24,4290.4,4303.1,4095.3,4096.1,USD,4199.2
2000-01-25,4124.8,4167.6,4028.5,4167.4,USD,4098.05
2000-01-26,4174.7,4174.7,4069.9,4069.9,USD,4122.3
2000-01-27,4120.5,4140.1,3973.6,4039.6,USD,4056.85
2000-01-28,4010.1,4048.3,3856.2,3887.1,USD,3952.25
2000-01-31,3873.8,3940.5,3748.0,3940.4,USD,3844.25
2000-02-01,3961.1,4053.2,3911.8,4052.0,USD,3982.5
2000-02-02,4059.0,4125.8,4051.4,4074.0,USD,4088.6
2000-02-03,4134.6,4211.1,4085.5,4211.0,USD,4148.3
2000-02-04,4242.1,4294.8,4211.0,4244.1,USD,4252.9
2000-02-07,4274.0,4322.0,4244.1,4321.8,USD,4283.05
2000-02-08,4370.0,4428.5,4370.0,4427.5,USD,4399.25
2000-02-09,4460.2,4460.8,4362.7,4363.2,USD,4411.75
2000-02-10,4390.2,4485.7,4357.7,4485.6,USD,4421.7
2000-02-11,4489.3,4489.8,4360.5,4395.5,USD,4425.15
2000-02-14,4434.4,4436.0,4355.5,4418.5,USD,4395.75
2000-02-15,4415.5,4440.6,4291.1,4420.8,USD,4365.85
2000-02-16,4427.2,4477.6,4413.7,4427.6,USD,4445.65
2000-02-17,4483.0,4553.1,4444.8,4548.9,USD,4498.95
2000-02-18,4563.7,4564.5,4404.6,4411.7,USD,4484.55
2000-02-22,4432.8,4443.9,4291.0,4382.1,USD,4367.45
2000-02-23,4406.9,4568.0,4382.1,4550.3,USD,4475.05
2000-02-24,4583.9,4620.0,4495.2,4617.6,USD,4557.6
2000-02-25,4618.8,4662.9,4576.2,4590.5,USD,4619.55
2000-02-28,4575.1,4626.7,4466.4,4577.9,USD,4546.55
2000-02-29,4646.6,4698.5,4637.2,4696.7,USD,4667.85
2000-03-01,4732.8,4796.9,4696.7,4784.1,USD,4746.8
2000-03-02,4816.8,4829.0,4705.5,4754.5,USD,4767.25
2000-03-03,4846.0,4914.8,4813.8,4914.8,USD,4864.3
2000-03-06,4935.6,4980.1,4887.9,4904.9,USD,4934.0
2000-03-07,4992.0,5006.8,4829.9,4847.8,USD,4918.35
2000-03-08,4920.9,4923.1,4722.1,4897.3,USD,4822.6
2000-03-09,4913.1,5048.0,4857.6,5046.9,USD,4952.8
2000-03-10,5060.3,5132.5,5039.4,5048.6,USD,5085.95
2000-03-13,4879.0,5027.7,4839.3,4907.2,USD,4933.5
2000-03-14,4997.3,5013.5,4706.6,4706.6,USD,4860.05
2000-03-15,4758.4,4758.4,4553.9,4582.6,USD,4656.15
2000-03-16,4658.4,4717.8,4455.1,4717.4,USD,4586.45
2000-03-17,4702.0,4805.9,4702.0,4798.1,USD,4753.95
2000-03-20,4812.1,4822.7,4610.0,4610.0,USD,4716.35
2000-03-21,4589.5,4712.2,4467.5,4711.7,USD,4589.85
2000-03-22,4750.5,4900.4,4736.9,4864.8,USD,4818.65
2000-03-23,4874.2,4975.7,4864.8,4940.6,USD,4920.25
2000-03-24,4986.5,5078.9,4902.8,4963.0,USD,4990.85
2000-03-27,4994.4,5022.2,4946.6,4958.6,USD,4984.4
2000-03-28,4939.0,4952.9,4833.9,4833.9,USD,4893.4
2000-03-29,4860.0,4860.0,4641.0,4644.7,USD,4750.5
2000-03-30,4540.4,4683.9,4355.7,4457.9,USD,4519.8
2000-03-31,4550.2,4606.5,4381.4,4572.8,USD,4493.95
2000-04-03,4494.9,4572.8,4193.1,4223.7,USD,4382.95
2000-04-04,4283.5,4283.5,3649.1,4148.9,USD,3966.3
2000-04-05,4025.9,4286.9,4009.1,4169.2,USD,4148.0
2000-04-06,4266.8,4324.1,4196.5,4267.6,USD,4260.3
2000-04-07,4354.1,4446.5,4323.2,4446.5,USD,4384.85
2000-04-10,4475.2,4475.2,4188.2,4188.2,USD,4331.7
2000-04-11,4094.6,4183.0,4009.5,4055.9,USD,4096.25
