Date,Open,High,Low,Close,Currency,Average
2000-01-03,47.092,47.092,47.092,47.092,USD,47.092
2000-01-04,44.583,44.583,44.583,44.583,USD,44.583
2000-01-05,44.523,44.523,44.523,44.523,USD,44.523
2000-01-06,45.251,45.251,45.251,45.251,USD,45.251
2000-01-07,44.927,44.927,44.927,44.927,USD,44.927
2000-01-10,45.575,45.575,45.575,45.575,USD,45.575
2000-01-11,46.323,46.323,46.323,46.323,USD,46.323
2000-01-12,46.181,46.181,46.181,46.181,USD,46.181
2000-01-13,46.323,46.323,46.323,46.323,USD,46.323
2000-01-14,47.618,47.618,47.618,47.618,USD,47.618
2000-01-18,48.67,48.67,48.67,48.67,USD,48.67
2000-01-19,49.357,49.357,49.357,49.357,USD,49.357
2000-01-20,51.987,51.987,51.987,51.987,USD,51.987
2000-01-21,50.207,50.207,50.207,50.207,USD,50.207
2000-01-24,50.733,50.733,50.733,50.733,USD,50.733
2000-01-25,52.25,52.25,52.25,52.25,USD,52.25
2000-01-26,50.389,50.389,50.389,50.389,USD,50.389
2000-01-27,51.562,51.562,51.562,51.562,USD,51.562
2000-01-28,51.218,51.218,51.218,51.218,USD,51.218
2000-01-31,53.848,53.848,53.848,53.848,USD,53.848
2000-02-01,54.596,54.596,54.596,54.596,USD,54.596
2000-02-02,55.81,55.81,55.81,55.81,USD,55.81
2000-02-03,53.787,53.787,53.787,53.787,USD,53.787
2000-02-04,55.466,55.466,55.466,55.466,USD,55.466
2000-02-07,51.825,51.825,51.825,51.825,USD,51.825
2000-02-08,50.585,50.585,50.585,50.585,USD,50.585
2000-02-09,51.462,51.462,51.462,51.462,USD,51.462
2000-02-10,52.71,52.71,52.71,52.71,USD,52.71
2000-02-11,52.767,52.767,52.767,52.767,USD,52.767
2000-02-14,52.46,52.46,52.46,52.46,USD,52.46
2000-02-15,53.894,53.894,53.894,53.894,USD,53.894
2000-02-16,53.279,53.279,53.279,53.279,USD,53.279
2000-02-17,55.021,55.021,55.021,55.021,USD,55.021
2000-02-18,54.386,54.386,54.386,54.386,USD,54.386
2000-02-22,52.542,52.542,52.542,52.542,USD,52.542
2000-02-23,52.542,52.542,52.542,52.542,USD,52.542
2000-02-24,52.788,52.788,52.788,52.788,USD,52.788
2000-02-25,53.976,53.976,53.976,53.976,USD,53.976
2000-02-28,55.226,55.226,55.226,55.226,USD,55.226
2000-02-29,56.784,56.784,56.784,56.784,USD,56.784
2000-03-01,57.87,57.87,57.87,57.87,USD,57.87
2000-03-02,57.46,57.46,57.46,57.46,USD,57.46
2000-03-03,58.341,58.341,58.341,58.341,USD,58.341
2000-03-06,59.058,59.058,59.058,59.058,USD,59.058
2000-03-07,58.136,58.136,58.136,58.136,USD,58.136
2000-03-08,56.292,56.292,56.292,56.292,USD,56.292
2000-03-09,57.706,57.706,57.706,57.706,USD,57.706
2000-03-10,57.46,57.46,57.46,57.46,USD,57.46
2000-03-13,59.058,59.058,59.058,59.058,USD,59.058
2000-03-14,58.075,58.075,58.075,58.075,USD,58.075
2000-03-15,59.038,59.038,59.038,59.038,USD,59.038
2000-03-16,58.935,58.935,58.935,58.935,USD,58.935
2000-03-17,57.788,57.788,57.788,57.788,USD,57.788
2000-03-20,56.23,56.23,56.23,56.23,USD,56.23
2000-03-21,56.988,56.988,56.988,56.988,USD,56.988
2000-03-22,57.89,57.89,57.89,57.89,USD,57.89
2000-03-23,58.935,58.935,58.935,58.935,USD,58.935
2000-03-24,58.648,58.648,58.648,58.648,USD,58.648
2000-03-27,60.206,60.206,60.206,60.206,USD,60.206
2000-03-28,60.882,60.882,60.882,60.882,USD,60.882
2000-03-29,59.591,59.591,59.591,59.591,USD,59.591
2000-03-30,58.874,58.874,58.874,58.874,USD,58.874
2000-03-31,60.349,60.349,60.349,60.349,USD,60.349
2000-04-03,59.202,59.202,59.202,59.202,USD,59.202
2000-04-04,57.829,57.829,57.829,57.829,USD,57.829
