Date,Open,High,Low,Close,Currency,Average
2012-09-20,613.95,613.97,609.19,613.34,USD,611.58
2012-09-21,613.52,616.38,613.02,613.22,USD,614.7
2012-09-24,612.87,613.09,609.9,611.61,USD,611.495
2012-09-25,611.76,614.06,605.1,605.41,USD,609.58
2012-09-26,604.89,604.94,600.35,601.77,USD,602.645
2012-09-27,601.94,608.91,601.89,607.45,USD,605.4
2012-09-28,607.6,607.61,602.6,604.9,USD,605.105
2012-10-01,604.98,611.89,604.98,606.8,USD,608.435
2012-10-02,606.78,609.7,604.62,607.37,USD,607.16
2012-10-03,607.2,610.07,605.55,608.61,USD,607.81
2012-10-04,608.78,613.88,608.75,613.29,USD,611.315
2012-10-05,613.49,617.63,611.59,613.49,USD,614.61
2012-10-08,613.17,613.2,610.35,611.62,USD,611.775
2012-10-09,611.75,611.78,605.32,605.4,USD,608.55
2012-10-10,605.48,605.7,600.8,601.64,USD,603.25
2012-10-11,601.73,606.55,601.7,602.38,USD,604.125
2012-10-12,602.26,604.25,599.16,600.49,USD,601.705
2012-10-15,600.62,605.33,599.74,604.86,USD,602.535
2012-10-16,604.7,611.19,604.61,611.05,USD,607.9
2012-10-17,611.16,614.29,610.49,613.65,USD,612.39
2012-10-18,613.83,614.97,610.42,612.46,USD,612.695
2012-10-19,612.06,612.16,601.28,602.85,USD,606.72
2012-10-22,602.69,603.5,598.04,602.75,USD,600.77
2012-10-23,602.46,602.6,591.64,594.11,USD,597.12
2012-10-24,594.24,597.06,591.88,592.54,USD,594.47
2012-10-25,592.58,597.89,591.55,594.62,USD,594.72
2012-10-26,594.43,596.09,590.6,593.87,USD,593.345
2012-10-29,593.67,593.67,593.27,593.66,USD,593.47
2012-10-30,593.67,594.15,593.67,594.06,USD,593.91
2012-10-31,594.18,596.63,591.87,594.25,USD,594.25
2012-11-01,594.23,600.99,594.16,600.82,USD,597.575
2012-11-02,602.55,603.13,595.37,595.47,USD,599.25
2012-11-05,595.42,597.22,593.01,596.34,USD,595.115
2012-11-06,596.55,602.66,596.44,600.78,USD,599.55
