Date,Open,High,Low,Close,Currency,Average
2012-07-09,104.01,104.03,102.96,103.06,USD,103.495
2012-07-10,103.27,103.44,102.58,102.85,USD,103.01
2012-07-11,102.7,103.02,102.3,102.72,USD,102.66
2012-07-12,102.79,102.79,101.0,101.13,USD,101.895
2012-07-13,100.97,101.66,100.82,101.49,USD,101.24
2012-07-16,101.6,101.84,101.51,101.84,USD,101.675
2012-07-17,101.78,102.53,101.61,102.02,USD,102.07
2012-07-18,102.2,102.37,101.18,101.53,USD,101.775
2012-07-19,102.25,103.07,102.24,102.87,USD,102.655
2012-07-20,102.75,102.77,101.94,102.08,USD,102.355
2012-07-23,101.45,101.57,100.05,100.05,USD,100.81
2012-07-24,99.93,100.13,99.64,99.84,USD,99.885
2012-07-25,99.24,99.26,98.42,98.73,USD,98.84
2012-07-26,99.06,99.62,98.76,99.31,USD,99.19
2012-07-27,99.91,101.4,99.91,101.09,USD,100.655
2012-07-30,101.79,102.32,101.62,102.28,USD,101.97
2012-07-31,102.28,103.57,102.16,103.54,USD,102.865
2012-08-01,103.09,103.28,102.7,103.13,USD,102.99
2012-08-02,103.03,103.38,102.75,102.95,USD,103.065
2012-08-03,102.15,102.24,101.64,101.93,USD,101.94
2012-08-06,102.74,104.02,102.74,103.86,USD,103.38
2012-08-07,103.88,104.62,103.83,104.31,USD,104.225
2012-08-08,104.75,105.36,104.34,104.68,USD,104.85
2012-08-09,104.61,105.77,104.61,105.57,USD,105.19
2012-08-10,105.42,105.69,104.58,105.32,USD,105.135
2012-08-13,105.21,105.35,104.97,105.0,USD,105.16
2012-08-14,105.24,105.76,104.96,105.28,USD,105.36
2012-08-15,105.33,105.37,104.53,104.82,USD,104.95
2012-08-16,104.9,105.36,104.9,105.2,USD,105.13
2012-08-17,105.51,105.62,105.18,105.45,USD,105.4
2012-08-20,105.46,105.65,105.03,105.39,USD,105.34
2012-08-21,105.45,105.9,105.41,105.68,USD,105.655
2012-08-22,105.76,105.85,104.91,105.22,USD,105.38
2012-08-23,105.46,106.37,105.35,106.37,USD,105.86
2012-08-24,105.7,105.7,105.04,105.1,USD,105.37
2012-08-27,105.11,105.35,104.62,104.68,USD,104.985
2012-08-28,104.75,104.85,103.75,104.01,USD,104.3
2012-08-29,104.05,104.43,104.0,104.13,USD,104.215
2012-08-30,104.06,104.06,103.1,103.35,USD,103.58
2012-08-31,102.91,103.08,102.53,102.73,USD,102.805
2012-09-03,102.73,103.55,102.39,102.84,USD,102.97
2012-09-04,102.89,102.9,102.38,102.46,USD,102.64
2012-09-05,102.29,102.29,101.04,101.14,USD,101.665
2012-09-06,101.22,101.28,100.92,100.95,USD,101.1
2012-09-07,101.49,104.02,101.49,104.02,USD,102.755
2012-09-10,103.94,104.37,103.8,104.14,USD,104.085
2012-09-11,103.82,104.15,103.26,104.15,USD,103.705
2012-09-12,104.26,105.53,104.26,105.43,USD,104.895
2012-09-13,105.39,105.84,105.24,105.79,USD,105.54
2012-09-14,106.13,108.47,106.13,108.05,USD,107.3
2012-09-17,108.08,108.39,107.87,107.87,USD,108.13
2012-09-18,107.99,108.27,107.66,107.75,USD,107.965
2012-09-19,107.76,108.78,107.64,108.78,USD,108.21
2012-09-20,108.36,108.59,107.24,107.24,USD,107.915
2012-09-21,107.5,108.25,107.39,108.04,USD,107.82
2012-09-24,107.88,107.96,107.22,107.85,USD,107.59
2012-09-25,107.62,108.14,107.55,108.0,USD,107.845
2012-09-26,107.21,107.24,106.44,106.49,USD,106.84
2012-09-27,106.25,107.43,106.25,107.27,USD,106.84
2012-09-28,107.58,107.68,107.13,107.23,USD,107.405
2012-10-01,106.82,106.82,106.36,106.69,USD,106.59
2012-10-02,106.84,107.07,106.73,106.81,USD,106.9
2012-10-03,106.68,106.87,106.32,106.38,USD,106.595
2012-10-04,106.62,107.16,106.25,107.08,USD,106.705
2012-10-05,107.26,107.52,107.09,107.22,USD,107.305
2012-10-08,107.21,107.22,106.75,106.87,USD,106.985
2012-10-09,106.61,106.97,106.17,106.26,USD,106.57
2012-10-10,105.63,105.63,105.1,105.13,USD,105.365
2012-10-11,104.84,105.29,104.61,104.79,USD,104.95
2012-10-12,105.06,105.71,105.06,105.31,USD,105.385
2012-10-15,105.13,105.49,104.96,105.3,USD,105.225
2012-10-16,105.72,106.26,105.69,106.12,USD,105.975
2012-10-17,106.62,107.36,106.61,107.08,USD,106.985
2012-10-18,107.28,108.05,107.28,107.91,USD,107.665
2012-10-19,107.6,107.93,107.35,107.59,USD,107.64
2012-10-22,106.98,107.54,106.76,107.41,USD,107.15
2012-10-23,107.55,107.63,106.85,106.93,USD,107.24
2012-10-24,106.35,107.0,106.24,106.38,USD,106.62
2012-10-25,106.33,106.96,106.3,106.9,USD,106.63
2012-10-26,106.86,107.0,105.61,105.92,USD,106.305
2012-10-29,106.0,106.21,105.54,105.58,USD,105.875
2012-10-30,105.64,106.02,105.3,105.41,USD,105.66
2012-10-31,105.71,106.35,105.71,106.18,USD,106.03
2012-11-01,106.13,106.29,105.33,106.18,USD,105.81
2012-11-02,106.71,107.26,106.67,107.04,USD,106.965
2012-11-05,106.74,106.96,106.42,106.67,USD,106.69
2012-11-06,106.56,106.8,106.24,106.65,USD,106.52
2012-11-07,106.93,107.52,106.7,107.52,USD,107.11
2012-11-08,106.99,107.06,105.87,105.98,USD,106.465
2012-11-09,105.68,105.93,105.19,105.67,USD,105.56
2012-11-12,105.41,105.46,105.08,105.16,USD,105.27
2012-11-13,105.14,105.19,104.45,104.61,USD,104.82
2012-11-14,104.57,104.86,104.47,104.47,USD,104.665
2012-11-15,104.5,104.9,104.23,104.31,USD,104.565
2012-11-16,104.54,105.28,104.54,104.91,USD,104.91
2012-11-19,105.26,106.17,105.26,105.9,USD,105.715
2012-11-20,106.22,106.46,105.67,105.67,USD,106.065
2012-11-21,106.07,106.28,105.48,105.86,USD,105.88
2012-11-22,106.29,106.82,106.29,106.78,USD,106.555
2012-11-23,106.88,107.57,106.86,107.47,USD,107.215
2012-11-26,107.89,108.24,107.73,107.84,USD,107.985
2012-11-27,107.95,108.52,107.9,108.13,USD,108.21
2012-11-28,107.9,107.99,107.35,107.48,USD,107.67
2012-11-29,107.69,108.61,107.69,108.5,USD,108.15
2012-11-30,108.73,109.14,108.45,108.89,USD,108.795
2012-12-03,109.13,109.42,108.67,108.77,USD,109.045
2012-12-04,108.65,108.95,108.45,108.95,USD,108.7
2012-12-05,108.71,109.52,108.59,109.39,USD,109.055
2012-12-06,109.73,109.84,109.49,109.84,USD,109.665
2012-12-07,109.79,110.27,109.78,110.06,USD,110.025
2012-12-10,110.21,110.37,109.97,110.1,USD,110.17
2012-12-11,110.04,110.24,109.78,110.11,USD,110.01
2012-12-12,110.49,110.77,110.36,110.66,USD,110.565
2012-12-13,110.96,111.24,110.93,110.95,USD,111.085
2012-12-14,110.62,111.17,110.56,111.17,USD,110.865
2012-12-17,111.21,111.56,110.88,111.12,USD,111.22
2012-12-18,111.21,111.85,111.2,111.65,USD,111.525
2012-12-19,111.8,113.18,111.8,113.18,USD,112.49
2012-12-20,113.14,113.3,112.72,112.93,USD,113.01
2012-12-21,113.32,113.58,112.02,112.11,USD,112.8
2012-12-24,111.97,112.08,111.83,111.83,USD,111.955
2012-12-25,112.28,112.55,112.15,112.28,USD,112.35
2012-12-26,112.45,112.6,112.29,112.38,USD,112.445
2012-12-27,112.63,113.17,112.61,112.77,USD,112.89
2012-12-28,112.74,113.48,112.53,113.37,USD,113.005
2012-12-31,113.52,113.58,113.21,113.21,USD,113.395
2013-01-01,113.18,113.26,113.18,113.26,USD,113.22
2013-01-02,113.24,114.35,113.24,114.23,USD,113.795
2013-01-03,114.25,114.62,114.11,114.62,USD,114.365
2013-01-04,114.27,115.61,114.27,115.38,USD,114.94
2013-01-07,115.63,115.65,114.82,114.96,USD,115.235
2013-01-08,114.96,115.03,114.04,114.35,USD,114.535
2013-01-09,114.17,114.96,113.92,114.52,USD,114.44
2013-01-10,114.66,115.6,114.66,115.28,USD,115.13
2013-01-11,115.33,115.77,115.13,115.17,USD,115.45
2013-01-14,114.92,115.46,114.74,115.45,USD,115.1
2013-01-15,115.74,116.18,115.58,115.99,USD,115.88
2013-01-16,115.71,115.77,114.73,114.73,USD,115.25
2013-01-17,115.0,115.31,113.93,114.32,USD,114.62
2013-01-18,114.52,116.01,114.52,115.9,USD,115.265
2013-01-21,115.86,115.87,115.3,115.36,USD,115.585
2013-01-22,115.48,116.01,115.01,115.97,USD,115.51
2013-01-23,115.54,115.75,115.0,115.03,USD,115.375
2013-01-24,114.65,115.09,114.44,114.44,USD,114.765
2013-01-25,114.53,115.08,114.42,114.69,USD,114.75
2013-01-28,114.58,114.72,114.15,114.35,USD,114.435
2013-01-29,114.31,115.36,114.31,115.2,USD,114.835
2013-01-30,115.39,116.12,115.32,116.05,USD,115.72
2013-01-31,116.02,116.32,115.6,116.03,USD,115.96
2013-02-01,116.07,116.28,115.36,115.36,USD,115.82
2013-02-04,115.7,116.62,115.6,116.37,USD,116.11
2013-02-05,116.01,116.11,114.39,114.39,USD,115.25
2013-02-06,114.69,116.13,114.69,116.0,USD,115.41
2013-02-07,115.93,116.32,115.52,115.94,USD,115.92
2013-02-08,115.4,115.94,115.09,115.62,USD,115.515
2013-02-11,115.66,115.76,115.11,115.19,USD,115.435
2013-02-12,115.22,116.12,115.22,116.12,USD,115.67
2013-02-13,115.96,116.28,115.55,115.73,USD,115.915
2013-02-14,115.94,116.26,115.53,116.08,USD,115.895
2013-02-15,115.92,116.01,115.14,115.14,USD,115.575
2013-02-18,115.49,116.17,115.47,115.92,USD,115.82
2013-02-19,115.83,116.32,115.83,116.01,USD,116.075
2013-02-20,116.56,117.44,116.52,117.23,USD,116.98
2013-02-21,116.83,116.98,115.64,116.11,USD,116.31
2013-02-22,115.49,115.99,114.96,115.93,USD,115.475
2013-02-25,115.83,116.61,115.83,116.53,USD,116.22
2013-02-26,116.89,116.89,115.78,116.12,USD,116.335
2013-02-27,115.97,116.08,115.5,115.71,USD,115.79
2013-02-28,115.9,117.36,115.9,117.22,USD,116.63
2013-03-01,116.84,117.58,116.83,116.97,USD,117.205
2013-03-04,117.13,117.58,116.24,116.52,USD,116.91
2013-03-05,116.82,117.15,116.65,116.65,USD,116.9
2013-03-06,117.2,118.15,117.2,117.93,USD,117.675
2013-03-07,117.9,118.02,117.22,117.22,USD,117.62
2013-03-08,117.33,118.21,117.33,117.67,USD,117.77
2013-03-11,118.01,118.8,117.95,118.53,USD,118.375
2013-03-12,118.57,118.92,117.85,118.11,USD,118.385
2013-03-13,117.98,118.32,117.34,117.36,USD,117.83
2013-03-14,117.61,117.61,116.77,117.49,USD,117.19
2013-03-15,117.94,118.41,117.6,118.41,USD,118.005
2013-03-18,117.95,117.95,116.14,116.3,USD,117.045
2013-03-19,116.62,117.35,116.6,117.28,USD,116.975
2013-03-20,117.06,117.37,116.81,116.88,USD,117.09
2013-03-21,117.1,117.63,117.09,117.62,USD,117.36
2013-03-22,117.34,117.39,116.38,116.63,USD,116.885
2013-03-25,117.13,117.92,117.13,117.91,USD,117.525
2013-03-26,117.8,118.12,117.68,118.01,USD,117.9
2013-03-27,117.74,118.44,117.72,118.44,USD,118.08
2013-03-28,118.33,118.33,117.22,117.86,USD,117.775
2013-03-29,117.98,118.08,117.52,117.97,USD,117.8
2013-04-01,117.73,117.74,116.22,116.56,USD,116.98
2013-04-02,116.31,116.77,115.34,115.96,USD,116.055
2013-04-03,116.21,117.2,115.97,117.2,USD,116.585
2013-04-04,116.6,117.25,115.86,116.23,USD,116.555
2013-04-05,116.3,118.35,116.22,116.27,USD,117.285
2013-04-08,115.65,117.17,115.65,116.7,USD,116.41
2013-04-09,116.77,117.18,116.47,116.93,USD,116.825
2013-04-10,117.04,118.44,117.04,118.16,USD,117.74
2013-04-11,118.75,120.25,118.75,120.12,USD,119.5
2013-04-12,120.02,120.28,119.59,120.28,USD,119.935
2013-04-15,119.84,120.09,119.25,119.51,USD,119.67
2013-04-16,119.49,119.67,118.37,119.09,USD,119.02
2013-04-17,119.76,119.94,119.31,119.92,USD,119.625
2013-04-18,119.07,119.48,118.49,118.61,USD,118.985
2013-04-19,118.71,119.43,118.2,119.12,USD,118.815
2013-04-22,119.27,120.21,119.27,120.21,USD,119.74
2013-04-23,120.2,120.3,119.43,119.43,USD,119.865
2013-04-24,119.93,121.16,119.82,121.16,USD,120.49
2013-04-25,121.33,122.38,121.11,122.08,USD,121.745
2013-04-26,122.28,122.59,121.94,122.59,USD,122.265
2013-04-29,122.55,122.87,122.46,122.46,USD,122.665
2013-04-30,122.88,123.72,122.74,123.72,USD,123.23
2013-05-01,123.72,123.72,123.18,123.35,USD,123.45
