Date,Open,High,Low,Close,Currency,Average
2012-07-09,341.65,342.21,338.86,340.38,USD,340.535
2012-07-10,340.12,345.01,339.69,342.07,USD,342.35
2012-07-11,342.47,343.83,340.19,342.03,USD,342.01
2012-07-12,341.27,341.27,335.28,336.62,USD,338.275
2012-07-13,337.16,343.14,337.07,342.7,USD,340.105
2012-07-16,342.87,344.31,340.58,343.25,USD,342.445
2012-07-17,344.3,346.17,340.69,341.86,USD,343.43
2012-07-18,343.5,347.59,342.48,346.92,USD,345.035
2012-07-19,347.48,351.25,347.43,350.52,USD,349.34
2012-07-20,350.31,350.39,342.6,343.16,USD,346.495
2012-07-23,341.48,341.48,330.81,333.19,USD,336.145
2012-07-24,333.53,334.84,329.84,330.81,USD,332.34
2012-07-25,330.17,334.48,329.13,331.65,USD,331.805
2012-07-26,332.14,345.1,330.85,344.28,USD,337.975
2012-07-27,344.15,351.3,342.01,350.66,USD,346.655
2012-07-30,349.43,353.44,349.21,352.73,USD,351.325
2012-07-31,353.37,354.08,350.4,351.28,USD,352.24
2012-08-01,351.24,353.24,350.42,352.38,USD,351.83
2012-08-02,351.38,358.78,343.79,344.37,USD,351.285
2012-08-03,344.8,359.12,344.63,357.8,USD,351.875
2012-08-06,358.44,362.63,356.85,361.51,USD,359.74
2012-08-07,360.76,364.51,360.25,364.34,USD,362.38
2012-08-08,363.5,363.5,360.15,363.12,USD,361.825
2012-08-09,363.46,365.14,360.8,363.2,USD,362.97
2012-08-10,362.59,362.78,358.89,362.69,USD,360.835
2012-08-13,361.99,364.17,360.44,362.3,USD,362.305
2012-08-14,362.29,365.69,362.29,363.82,USD,363.99
2012-08-15,363.67,364.04,361.4,362.35,USD,362.72
2012-08-16,362.18,365.99,361.12,365.78,USD,363.555
2012-08-17,365.32,367.78,365.03,365.73,USD,366.405
2012-08-20,366.65,368.26,363.59,365.14,USD,365.925
2012-08-21,365.68,371.36,365.65,370.72,USD,368.505
2012-08-22,370.1,370.3,365.3,365.95,USD,367.8
2012-08-23,368.0,371.17,365.05,367.24,USD,368.11
2012-08-24,366.62,367.32,362.85,365.74,USD,365.085
2012-08-27,365.51,367.55,364.83,367.29,USD,366.19
2012-08-28,366.82,367.13,364.36,366.12,USD,365.745
2012-08-29,365.74,366.3,363.63,364.3,USD,364.965
2012-08-30,364.8,364.88,359.68,360.61,USD,362.28
2012-08-31,360.42,367.34,359.96,365.19,USD,363.65
2012-09-03,364.58,367.89,363.3,367.62,USD,365.595
2012-09-04,368.14,368.51,362.61,362.94,USD,365.56
2012-09-05,362.22,365.44,359.62,364.04,USD,362.53
2012-09-06,364.02,373.65,364.02,373.43,USD,368.835
2012-09-07,373.45,379.42,373.43,379.26,USD,376.425
2012-09-10,378.74,379.49,377.2,378.11,USD,378.345
2012-09-11,377.66,381.66,375.89,381.06,USD,378.775
2012-09-12,381.57,385.3,380.27,382.63,USD,382.785
2012-09-13,383.27,384.66,380.5,382.54,USD,382.58
2012-09-14,385.91,396.18,385.65,394.93,USD,390.915
2012-09-17,394.37,394.43,391.85,393.25,USD,393.14
2012-09-18,392.05,392.47,387.52,389.04,USD,389.995
2012-09-19,389.78,391.5,387.43,390.32,USD,389.465
2012-09-20,388.69,388.7,383.9,386.59,USD,386.3
2012-09-21,387.79,391.65,387.57,389.46,USD,389.61
2012-09-24,388.21,388.31,383.93,385.88,USD,386.12
2012-09-25,385.83,389.37,384.69,388.75,USD,387.03
2012-09-26,386.07,386.28,377.61,378.09,USD,381.945
2012-09-27,379.62,381.62,379.18,380.09,USD,380.4
2012-09-28,381.93,383.74,375.2,375.79,USD,379.47
2012-10-01,374.94,383.62,374.94,382.4,USD,379.28
2012-10-02,382.47,384.77,379.21,382.32,USD,381.99
2012-10-03,381.37,382.41,379.03,380.91,USD,380.72
2012-10-04,381.44,384.3,380.16,383.52,USD,382.23
2012-10-05,383.87,389.96,383.66,389.05,USD,386.81
2012-10-08,386.78,386.89,381.77,382.77,USD,384.33
2012-10-09,383.18,384.0,378.15,379.02,USD,381.075
2012-10-10,378.25,378.58,376.21,377.22,USD,377.395
2012-10-11,376.46,382.32,375.32,381.29,USD,378.82
2012-10-12,381.03,382.3,379.32,379.93,USD,380.81
2012-10-15,378.55,382.88,378.12,380.85,USD,380.5
2012-10-16,381.77,389.15,381.77,388.32,USD,385.46
2012-10-17,389.75,393.42,389.63,393.08,USD,391.525
2012-10-18,392.7,393.65,390.88,392.81,USD,392.265
2012-10-19,391.91,391.91,387.5,388.07,USD,389.705
2012-10-22,388.54,389.99,386.57,387.75,USD,388.28
2012-10-23,387.1,387.31,377.17,378.22,USD,382.24
2012-10-24,378.71,381.28,375.62,379.88,USD,378.45
2012-10-25,380.66,384.0,379.87,380.45,USD,381.935
2012-10-26,379.55,381.33,375.77,379.98,USD,378.55
2012-10-29,379.76,379.82,376.35,377.78,USD,378.085
2012-10-30,377.5,383.07,377.37,383.03,USD,380.22
2012-10-31,382.69,385.72,380.49,380.49,USD,383.105
