Date,Open,High,Low,Close,Currency,Average
2012-07-09,101.45,101.49,100.51,100.58,USD,101.0
2012-07-10,100.77,100.98,100.07,100.25,USD,100.525
2012-07-11,100.11,100.4,99.71,100.16,USD,100.055
2012-07-12,100.23,100.23,98.54,98.64,USD,99.385
2012-07-13,98.51,99.14,98.34,98.96,USD,98.74
2012-07-16,99.08,99.36,98.98,99.36,USD,99.17
2012-07-17,99.36,100.02,99.1,99.55,USD,99.56
2012-07-18,99.75,99.89,98.73,99.05,USD,99.31
2012-07-19,99.7,100.59,99.7,100.37,USD,100.145
2012-07-20,100.27,100.27,99.45,99.59,USD,99.86
2012-07-23,99.01,99.08,97.66,97.66,USD,98.37
2012-07-24,97.52,97.73,97.24,97.45,USD,97.485
2012-07-25,96.9,96.9,96.05,96.33,USD,96.475
2012-07-26,96.69,97.24,96.34,96.95,USD,96.79
2012-07-27,97.56,99.0,97.56,98.69,USD,98.28
2012-07-30,99.38,99.85,99.23,99.83,USD,99.54
2012-07-31,99.79,101.17,99.7,101.1,USD,100.435
2012-08-01,100.69,100.84,100.24,100.66,USD,100.54
2012-08-02,100.53,100.93,100.32,100.51,USD,100.625
2012-08-03,99.74,99.78,99.17,99.47,USD,99.475
2012-08-06,100.31,101.5,100.31,101.36,USD,100.905
2012-08-07,101.4,102.1,101.33,101.74,USD,101.715
2012-08-08,102.19,102.82,101.75,102.13,USD,102.285
2012-08-09,102.03,103.25,102.03,103.06,USD,102.64
2012-08-10,102.91,103.16,102.08,102.8,USD,102.62
2012-08-13,102.71,102.86,102.45,102.45,USD,102.655
2012-08-14,102.64,103.24,102.44,102.74,USD,102.84
2012-08-15,102.8,102.83,101.95,102.27,USD,102.39
2012-08-16,102.33,102.84,102.33,102.69,USD,102.585
2012-08-17,102.94,103.06,102.64,102.92,USD,102.85
2012-08-20,103.11,103.12,102.48,102.85,USD,102.8
2012-08-21,102.94,103.36,102.88,103.08,USD,103.12
2012-08-22,103.12,103.27,102.29,102.62,USD,102.78
2012-08-23,102.87,103.77,102.74,103.77,USD,103.255
2012-08-24,103.01,103.01,102.46,102.52,USD,102.735
2012-08-27,102.53,102.77,102.08,102.15,USD,102.425
2012-08-28,102.26,102.32,101.22,101.48,USD,101.77
2012-08-29,101.52,101.91,101.46,101.63,USD,101.685
2012-08-30,101.56,101.56,100.61,100.8,USD,101.085
2012-08-31,100.27,100.51,100.0,100.22,USD,100.255
2012-09-03,100.24,101.02,99.87,100.33,USD,100.445
2012-09-04,100.31,100.4,99.87,99.93,USD,100.135
2012-09-05,99.67,99.67,98.55,98.64,USD,99.11
2012-09-06,98.72,98.79,98.41,98.42,USD,98.6
2012-09-07,99.07,101.44,99.07,101.44,USD,100.255
2012-09-10,101.36,101.76,101.21,101.54,USD,101.485
2012-09-11,101.16,101.52,100.66,101.52,USD,101.09
2012-09-12,101.71,102.88,101.71,102.78,USD,102.295
2012-09-13,102.74,103.2,102.58,103.16,USD,102.89
2012-09-14,103.9,105.73,103.9,105.26,USD,104.815
2012-09-17,105.3,105.59,104.97,104.97,USD,105.28
2012-09-18,105.07,105.41,104.8,104.88,USD,105.105
2012-09-19,104.87,105.93,104.76,105.93,USD,105.345
2012-09-20,105.52,105.74,104.43,104.43,USD,105.085
2012-09-21,104.66,105.36,104.57,105.04,USD,104.965
2012-09-24,104.84,104.94,104.19,104.85,USD,104.565
2012-09-25,104.61,105.15,104.54,104.99,USD,104.845
2012-09-26,104.05,104.21,103.42,103.46,USD,103.815
2012-09-27,103.2,104.37,103.2,104.24,USD,103.785
2012-09-28,104.56,104.61,103.96,104.09,USD,104.285
2012-10-01,103.62,103.62,103.22,103.5,USD,103.42
2012-10-02,103.7,103.88,103.53,103.63,USD,103.705
2012-10-03,103.45,103.66,103.07,103.12,USD,103.365
2012-10-04,103.39,103.85,102.98,103.74,USD,103.415
2012-10-05,103.9,104.15,103.81,103.94,USD,103.98
2012-10-08,103.94,103.95,103.5,103.72,USD,103.725
2012-10-09,103.47,103.84,103.0,103.11,USD,103.42
2012-10-10,102.37,102.43,101.96,102.04,USD,102.195
2012-10-11,101.73,102.19,101.52,101.59,USD,101.855
2012-10-12,101.97,102.52,101.93,102.17,USD,102.225
2012-10-15,101.98,102.34,101.79,102.18,USD,102.065
2012-10-16,102.57,103.15,102.57,103.05,USD,102.86
2012-10-17,103.59,104.25,103.54,104.02,USD,103.895
2012-10-18,104.26,105.03,104.24,104.85,USD,104.635
2012-10-19,104.55,104.89,104.33,104.64,USD,104.61
2012-10-22,103.94,104.54,103.78,104.39,USD,104.16
2012-10-23,104.54,104.61,103.81,103.95,USD,104.21
2012-10-24,103.33,104.03,103.23,103.39,USD,103.63
2012-10-25,103.33,103.94,103.3,103.89,USD,103.62
2012-10-26,103.86,103.98,102.59,102.93,USD,103.285
2012-10-29,103.03,103.23,102.57,102.62,USD,102.9
2012-10-30,102.69,103.08,102.39,102.51,USD,102.735
2012-10-31,102.83,103.47,102.83,103.24,USD,103.15
2012-11-01,103.2,103.32,102.41,103.2,USD,102.865
2012-11-02,103.73,104.27,103.7,104.04,USD,103.985
2012-11-05,103.72,103.95,103.44,103.75,USD,103.695
2012-11-06,103.63,103.87,103.3,103.68,USD,103.585
2012-11-07,104.02,104.5,103.73,104.5,USD,104.115
2012-11-08,103.93,104.05,102.87,102.98,USD,103.46
2012-11-09,102.58,102.92,102.14,102.74,USD,102.53
2012-11-12,102.43,102.5,102.15,102.22,USD,102.325
2012-11-13,102.19,102.25,101.48,101.67,USD,101.865
2012-11-14,101.64,101.92,101.53,101.53,USD,101.725
2012-11-15,101.53,101.95,101.29,101.37,USD,101.62
2012-11-16,101.62,102.36,101.62,102.08,USD,101.99
2012-11-19,102.46,103.35,102.46,103.1,USD,102.905
2012-11-20,103.42,103.63,102.87,102.87,USD,103.25
2012-11-21,103.28,103.48,102.7,103.03,USD,103.09
2012-11-22,103.49,104.01,103.47,103.96,USD,103.74
2012-11-23,104.08,104.81,104.03,104.69,USD,104.42
2012-11-26,105.14,105.46,104.96,105.08,USD,105.21
2012-11-27,105.21,105.74,105.14,105.25,USD,105.44
2012-11-28,105.03,105.1,104.45,104.59,USD,104.775
2012-11-29,104.83,105.57,104.82,105.49,USD,105.195
2012-11-30,105.7,106.1,105.42,105.77,USD,105.76
2012-12-03,106.02,106.31,105.58,105.69,USD,105.945
2012-12-04,105.57,105.84,105.38,105.84,USD,105.61
2012-12-05,105.58,106.34,105.48,106.28,USD,105.91
2012-12-06,106.63,106.69,106.42,106.66,USD,106.555
2012-12-07,106.6,107.1,106.6,106.96,USD,106.85
2012-12-10,107.1,107.24,106.84,106.99,USD,107.04
2012-12-11,106.96,107.07,106.66,106.99,USD,106.865
2012-12-12,107.38,107.67,107.21,107.55,USD,107.44
2012-12-13,107.86,108.15,107.83,107.91,USD,107.99
2012-12-14,107.54,108.13,107.5,108.13,USD,107.815
2012-12-17,108.1,108.49,107.84,108.12,USD,108.165
2012-12-18,108.21,108.85,108.21,108.63,USD,108.53
2012-12-19,108.78,110.12,108.78,110.12,USD,109.45
2012-12-20,110.05,110.23,109.64,109.91,USD,109.935
2012-12-21,110.32,110.57,109.04,109.17,USD,109.805
2012-12-24,109.01,109.12,108.85,108.85,USD,108.985
2012-12-25,109.3,109.59,109.17,109.31,USD,109.38
2012-12-26,109.55,109.66,109.33,109.36,USD,109.495
2012-12-27,109.64,110.17,109.58,109.81,USD,109.875
2012-12-28,109.83,110.49,109.57,110.37,USD,110.03
2012-12-31,110.5,110.57,110.21,110.21,USD,110.39
2013-01-01,110.21,110.21,110.21,110.21,USD,110.21
2013-01-02,110.18,111.22,110.18,111.12,USD,110.7
2013-01-03,111.13,111.51,110.99,111.51,USD,111.25
2013-01-04,111.14,112.51,111.14,112.35,USD,111.825
2013-01-07,112.58,112.6,111.77,111.97,USD,112.185
2013-01-08,111.86,112.04,111.04,111.31,USD,111.54
2013-01-09,111.13,111.9,110.86,111.49,USD,111.38
2013-01-10,111.62,112.59,111.62,112.26,USD,112.105
2013-01-11,112.3,112.72,112.0,112.15,USD,112.36
2013-01-14,111.87,112.32,111.7,112.32,USD,112.01
2013-01-15,112.64,113.08,112.45,112.87,USD,112.765
2013-01-16,112.65,112.65,111.63,111.66,USD,112.14
2013-01-17,111.96,112.26,110.83,111.14,USD,111.545
2013-01-18,111.39,112.82,111.37,112.7,USD,112.095
2013-01-21,112.63,112.64,112.11,112.13,USD,112.375
2013-01-22,112.28,112.83,111.76,112.79,USD,112.295
2013-01-23,112.32,112.57,111.8,111.81,USD,112.185
2013-01-24,111.39,111.88,111.21,111.26,USD,111.545
2013-01-25,111.37,111.92,111.22,111.46,USD,111.57
2013-01-28,111.35,111.47,110.93,111.12,USD,111.2
2013-01-29,111.14,112.1,111.1,112.01,USD,111.6
2013-01-30,112.17,112.92,112.11,112.83,USD,112.515
2013-01-31,112.81,113.1,112.36,112.8,USD,112.73
2013-02-01,112.89,113.07,112.15,112.15,USD,112.61
2013-02-04,112.48,113.39,112.4,113.2,USD,112.895
2013-02-05,112.84,112.93,111.19,111.19,USD,112.06
2013-02-06,111.46,112.95,111.46,112.84,USD,112.205
2013-02-07,112.76,113.14,112.33,112.8,USD,112.735
2013-02-08,112.28,112.83,111.9,112.54,USD,112.365
2013-02-11,112.57,112.68,112.12,112.12,USD,112.4
2013-02-12,112.19,113.08,112.18,113.08,USD,112.63
2013-02-13,112.88,113.21,112.64,112.66,USD,112.925
2013-02-14,112.9,113.2,112.45,113.07,USD,112.825
2013-02-15,112.9,113.03,112.14,112.14,USD,112.585
2013-02-18,112.52,113.19,112.5,112.94,USD,112.845
2013-02-19,112.89,113.34,112.86,112.99,USD,113.1
2013-02-20,113.57,114.42,113.5,114.22,USD,113.96
2013-02-21,113.75,113.95,112.65,113.2,USD,113.3
2013-02-22,112.58,113.02,111.99,112.97,USD,112.505
2013-02-25,112.9,113.55,112.9,113.55,USD,113.225
2013-02-26,113.89,113.89,112.9,113.26,USD,113.395
2013-02-27,113.11,113.19,112.6,112.77,USD,112.895
2013-02-28,112.97,114.62,112.97,114.48,USD,113.795
2013-03-01,114.09,114.84,114.08,114.26,USD,114.46
2013-03-04,114.41,114.89,113.55,113.81,USD,114.22
2013-03-05,114.12,114.46,113.86,113.86,USD,114.16
2013-03-06,114.47,115.34,114.43,115.13,USD,114.885
2013-03-07,115.1,115.23,114.34,114.34,USD,114.785
2013-03-08,114.42,115.3,114.42,114.68,USD,114.86
2013-03-11,115.01,115.86,114.99,115.58,USD,115.425
