Date,Open,High,Low,Close,Currency,Average
2012-07-09,118.58,119.34,118.58,119.26,USD,118.96
2012-07-10,119.34,119.66,118.53,118.7,USD,119.095
2012-07-11,118.7,119.01,118.15,118.63,USD,118.58
2012-07-12,118.6,118.7,117.72,118.39,USD,118.21
2012-07-13,118.41,119.8,118.41,119.7,USD,119.105
2012-07-16,119.73,120.19,119.48,120.0,USD,119.835
2012-07-17,120.09,121.47,119.9,121.13,USD,120.685
2012-07-18,121.38,122.24,121.08,122.08,USD,121.66
2012-07-19,122.13,122.64,121.96,122.46,USD,122.3
2012-07-20,122.45,122.46,120.71,120.77,USD,121.585
2012-07-23,120.62,120.68,118.53,119.11,USD,119.605
2012-07-24,119.13,119.28,117.57,118.06,USD,118.425
2012-07-25,117.98,118.75,117.77,118.46,USD,118.26
2012-07-26,118.52,120.56,118.41,120.28,USD,119.485
2012-07-27,120.22,122.74,120.1,122.61,USD,121.42
2012-07-30,122.51,122.86,122.27,122.39,USD,122.565
2012-07-31,122.42,123.01,122.18,122.22,USD,122.595
2012-08-01,122.16,122.86,121.96,122.2,USD,122.41
2012-08-02,122.02,122.75,120.44,120.94,USD,121.595
2012-08-03,120.91,123.12,120.84,122.68,USD,121.98
2012-08-06,122.97,123.09,122.41,122.78,USD,122.75
2012-08-07,122.69,123.07,122.67,122.89,USD,122.87
2012-08-08,122.82,122.98,122.35,122.86,USD,122.665
2012-08-09,122.88,123.19,122.48,122.73,USD,122.835
2012-08-10,122.66,122.98,122.12,122.98,USD,122.55
2012-08-13,122.87,123.13,122.32,122.75,USD,122.725
2012-08-14,122.69,123.52,122.68,123.4,USD,123.1
2012-08-15,123.41,123.89,123.36,123.69,USD,123.625
2012-08-16,123.68,123.72,123.09,123.58,USD,123.405
2012-08-17,123.56,123.62,122.36,122.66,USD,122.99
2012-08-20,122.76,123.05,122.63,122.99,USD,122.84
2012-08-21,123.04,123.73,122.98,123.09,USD,123.355
2012-08-22,123.1,123.12,122.45,122.66,USD,122.785
2012-08-23,122.92,123.23,122.49,122.81,USD,122.86
2012-08-24,122.68,123.71,122.63,123.44,USD,123.17
2012-08-27,123.42,123.86,123.26,123.54,USD,123.56
2012-08-28,123.52,123.58,123.04,123.3,USD,123.31
2012-08-29,123.29,123.65,123.07,123.34,USD,123.36
2012-08-30,123.32,123.52,122.51,122.81,USD,123.015
2012-08-31,122.78,124.01,122.71,123.34,USD,123.36
2012-09-03,123.25,123.59,123.09,123.56,USD,123.34
2012-09-04,123.55,123.61,122.66,123.25,USD,123.135
2012-09-05,123.16,124.19,123.15,123.81,USD,123.67
2012-09-06,123.82,125.69,123.67,125.66,USD,124.68
2012-09-07,125.75,125.94,125.47,125.85,USD,125.705
2012-09-10,125.77,125.77,125.11,125.18,USD,125.44
2012-09-11,125.11,126.0,125.1,125.7,USD,125.55
2012-09-12,125.74,126.08,125.6,125.72,USD,125.84
2012-09-13,125.75,126.99,125.51,126.65,USD,126.25
2012-09-14,126.89,127.2,126.29,126.69,USD,126.745
2012-09-17,126.57,126.98,126.44,126.98,USD,126.71
2012-09-18,126.94,127.35,126.81,127.13,USD,127.08
2012-09-19,127.12,127.83,127.08,127.56,USD,127.455
2012-09-20,127.54,127.71,126.98,127.64,USD,127.345
2012-09-21,127.74,128.79,127.73,128.56,USD,128.26
2012-09-24,128.5,128.82,128.19,128.63,USD,128.505
2012-09-25,128.69,129.78,128.61,128.91,USD,129.195
2012-09-26,128.6,128.68,127.57,127.61,USD,128.125
2012-09-27,127.71,128.96,127.71,128.61,USD,128.335
2012-09-28,128.75,128.82,127.51,127.79,USD,128.165
2012-10-01,127.59,129.41,127.51,128.94,USD,128.46
2012-10-02,128.88,129.57,128.66,129.26,USD,129.115
2012-10-03,129.16,129.58,128.78,129.52,USD,129.18
2012-10-04,129.59,130.68,129.54,130.48,USD,130.11
2012-10-05,130.55,131.39,130.49,131.05,USD,130.94
2012-10-08,130.89,130.91,130.14,130.46,USD,130.525
2012-10-09,130.46,130.71,129.0,129.1,USD,129.855
2012-10-10,129.02,129.02,127.9,128.14,USD,128.46
2012-10-11,128.06,128.94,127.96,128.34,USD,128.45
2012-10-12,128.33,128.93,128.13,128.25,USD,128.53
2012-10-15,128.19,129.6,128.0,129.49,USD,128.8
2012-10-16,129.54,131.22,129.54,131.11,USD,130.38
2012-10-17,131.31,131.52,131.12,131.4,USD,131.32
2012-10-18,131.37,131.55,130.82,131.5,USD,131.185
2012-10-19,131.39,131.46,129.65,129.87,USD,130.555
2012-10-22,129.83,129.91,129.09,129.69,USD,129.5
2012-10-23,129.66,129.68,126.98,127.41,USD,128.33
2012-10-24,127.44,128.08,127.25,127.56,USD,127.665
2012-10-25,127.56,128.8,127.54,128.39,USD,128.17
2012-10-26,128.3,128.63,127.7,128.06,USD,128.165
2012-10-29,128.04,128.06,127.67,127.74,USD,127.865
2012-10-30,127.76,128.24,127.74,128.2,USD,127.99
2012-10-31,128.18,128.47,126.88,127.15,USD,127.675
2012-11-01,127.16,128.44,126.94,128.1,USD,127.69
2012-11-02,128.14,128.15,127.23,127.29,USD,127.69
2012-11-05,127.23,127.41,126.78,127.25,USD,127.095
2012-11-06,127.29,127.91,126.87,127.45,USD,127.39
2012-11-07,127.48,127.91,124.77,125.37,USD,126.34
2012-11-08,125.39,125.56,124.36,124.36,USD,124.96
2012-11-09,124.44,125.38,124.22,124.89,USD,124.8
2012-11-12,124.9,125.39,124.57,124.95,USD,124.98
2012-11-13,124.95,125.69,124.49,124.81,USD,125.09
2012-11-14,124.8,124.94,123.35,123.53,USD,124.145
2012-11-15,123.54,123.55,122.47,122.85,USD,123.01
2012-11-16,122.8,123.24,122.46,122.98,USD,122.85
2012-11-19,123.08,124.65,123.08,124.65,USD,123.865
2012-11-20,124.57,125.16,124.22,125.1,USD,124.69
2012-11-21,125.12,125.37,124.86,125.27,USD,125.115
2012-11-22,125.29,125.7,125.28,125.68,USD,125.49
2012-11-23,125.65,127.09,125.64,127.02,USD,126.365
2012-11-26,127.08,127.08,125.99,126.43,USD,126.535
2012-11-27,126.57,126.88,126.15,126.21,USD,126.515
2012-11-28,126.22,127.05,125.46,126.95,USD,126.255
2012-11-29,127.04,128.17,127.02,128.01,USD,127.595
2012-11-30,128.0,128.16,127.67,127.97,USD,127.915
2012-12-03,127.94,128.81,127.93,128.08,USD,128.37
2012-12-04,128.1,128.82,128.1,128.53,USD,128.46
2012-12-05,128.5,129.2,128.23,128.85,USD,128.715
2012-12-06,128.86,129.25,128.7,128.99,USD,128.975
2012-12-07,128.94,129.21,128.52,129.19,USD,128.865
2012-12-10,129.13,130.02,129.08,129.87,USD,129.55
2012-12-11,129.87,131.26,129.8,131.08,USD,130.53
2012-12-12,131.12,131.53,130.84,130.86,USD,131.185
2012-12-13,130.92,130.98,129.66,129.84,USD,130.32
2012-12-14,129.8,129.95,129.4,129.53,USD,129.675
2012-12-17,129.68,130.11,129.34,130.08,USD,129.725
2012-12-18,130.09,131.13,130.05,131.01,USD,130.59
2012-12-19,131.01,131.27,130.14,130.22,USD,130.705
2012-12-20,130.11,130.25,129.83,130.19,USD,130.04
2012-12-21,130.23,130.24,129.11,129.5,USD,129.675
2012-12-24,129.47,129.6,129.0,129.19,USD,129.3
2012-12-25,129.2,129.22,129.12,129.18,USD,129.17
2012-12-26,129.15,129.23,128.58,128.84,USD,128.905
2012-12-27,128.86,129.12,127.74,128.55,USD,128.43
2012-12-28,128.54,128.63,127.46,127.48,USD,128.045
2012-12-31,127.49,128.37,127.15,128.36,USD,127.76
2013-01-01,128.39,128.44,128.37,128.37,USD,128.405
2013-01-02,128.37,130.34,128.33,130.34,USD,129.335
2013-01-03,130.17,130.48,129.97,130.43,USD,130.225
2013-01-04,130.19,131.25,130.11,130.99,USD,130.68
2013-01-07,131.09,131.36,130.61,131.28,USD,130.985
2013-01-08,131.41,131.84,131.33,131.6,USD,131.585
2013-01-09,131.61,132.61,131.46,132.52,USD,132.035
2013-01-10,132.54,133.68,132.52,133.5,USD,133.1
2013-01-11,133.59,134.06,133.57,133.87,USD,133.815
2013-01-14,133.83,133.98,133.42,133.85,USD,133.7
2013-01-15,133.78,134.01,133.35,133.83,USD,133.68
2013-01-16,133.67,133.92,133.49,133.69,USD,133.705
2013-01-17,133.68,135.05,133.61,134.82,USD,134.33
2013-01-18,134.81,134.92,134.1,134.59,USD,134.51
2013-01-21,134.62,134.77,134.57,134.75,USD,134.67
2013-01-22,134.76,135.02,134.28,134.99,USD,134.65
2013-01-23,135.01,135.66,134.89,135.39,USD,135.275
2013-01-24,135.41,136.46,135.35,136.23,USD,135.905
2013-01-25,136.24,137.44,136.19,137.44,USD,136.815
2013-01-28,137.4,137.41,136.85,136.88,USD,137.13
2013-01-29,136.9,138.04,136.64,137.9,USD,137.34
2013-01-30,137.94,138.22,137.78,137.91,USD,138.0
2013-01-31,137.94,138.0,137.37,137.44,USD,137.685
2013-02-01,137.45,138.6,137.4,138.5,USD,138.0
2013-02-04,138.31,138.41,136.87,136.9,USD,137.64
2013-02-05,136.89,138.06,136.63,137.86,USD,137.345
2013-02-06,137.95,138.28,137.41,137.83,USD,137.845
2013-02-07,137.83,137.86,136.27,136.75,USD,137.065
2013-02-08,136.74,137.77,136.63,137.77,USD,137.2
2013-02-11,137.73,137.95,136.88,137.14,USD,137.415
2013-02-12,137.08,137.76,137.06,137.62,USD,137.41
2013-02-13,137.62,137.96,137.4,137.63,USD,137.68
2013-02-14,137.67,137.73,137.0,137.45,USD,137.365
2013-02-15,137.48,137.85,137.33,137.56,USD,137.59
2013-02-18,137.56,137.74,137.48,137.68,USD,137.61
2013-02-19,137.68,138.94,137.65,138.87,USD,138.295
2013-02-20,138.93,139.31,138.36,138.63,USD,138.835
2013-02-21,138.4,138.41,136.75,137.15,USD,137.58
2013-02-22,137.1,138.03,137.02,137.97,USD,137.525
2013-02-25,137.86,139.23,137.32,137.35,USD,138.275
2013-02-26,137.27,137.28,136.11,136.65,USD,136.695
2013-02-27,136.63,138.02,136.38,137.78,USD,137.2
2013-02-28,137.8,138.91,137.79,138.32,USD,138.35
2013-03-01,138.19,138.8,137.44,138.66,USD,138.12
2013-03-04,138.77,139.61,138.62,139.55,USD,139.115
2013-03-05,139.62,141.09,139.61,141.0,USD,140.35
2013-03-06,141.05,141.35,140.74,140.95,USD,141.045
2013-03-07,140.8,141.44,140.79,140.92,USD,141.115
2013-03-08,140.95,141.16,140.4,140.84,USD,140.78
2013-03-11,140.85,141.5,140.65,141.39,USD,141.075
2013-03-12,141.42,142.03,141.24,141.89,USD,141.635
2013-03-13,141.91,142.02,141.07,141.49,USD,141.545
2013-03-14,141.5,142.27,141.5,142.16,USD,141.885
2013-03-15,142.29,142.84,142.02,142.59,USD,142.43
2013-03-18,142.22,142.25,140.81,141.39,USD,141.53
2013-03-19,141.29,142.11,141.07,141.62,USD,141.59
2013-03-20,141.52,143.13,141.51,142.86,USD,142.32
2013-03-21,142.74,142.92,142.08,142.27,USD,142.5
2013-03-22,142.2,143.13,142.06,143.09,USD,142.595
2013-03-25,143.01,143.66,142.33,142.71,USD,142.995
2013-03-26,142.67,144.01,142.62,144.01,USD,143.315
2013-03-27,144.01,144.09,142.9,144.07,USD,143.495
2013-03-28,144.09,145.51,143.96,145.51,USD,144.735
2013-03-29,145.42,145.51,145.36,145.51,USD,145.435
2013-04-01,145.36,145.47,144.94,145.45,USD,145.205
2013-04-02,145.48,147.08,145.22,147.02,USD,146.15
2013-04-03,147.01,147.69,146.45,146.65,USD,147.07
2013-04-04,146.64,147.28,146.09,146.56,USD,146.685
2013-04-05,146.8,146.98,145.2,145.81,USD,146.09
2013-04-08,145.65,146.49,145.59,146.49,USD,146.04
2013-04-09,146.52,147.25,146.38,146.78,USD,146.815
2013-04-10,146.86,148.9,146.79,148.9,USD,147.845
2013-04-11,148.84,150.66,148.81,150.42,USD,149.735
2013-04-12,150.41,150.41,149.6,150.24,USD,150.005
2013-04-15,150.23,151.25,149.21,149.29,USD,150.23
2013-04-16,149.17,150.63,148.74,150.35,USD,149.685
2013-04-17,150.62,150.76,148.15,148.92,USD,149.455
2013-04-18,148.8,149.56,147.88,148.29,USD,148.72
2013-04-19,148.21,149.98,148.08,149.98,USD,149.03
2013-04-22,149.89,150.42,149.54,150.2,USD,149.98
2013-04-23,150.32,152.13,150.29,151.74,USD,151.21
2013-04-24,151.62,152.15,150.5,150.53,USD,151.325
2013-04-25,150.61,151.31,150.27,151.0,USD,150.79
2013-04-26,151.02,151.15,150.48,151.01,USD,150.815
2013-04-29,150.99,152.07,150.97,151.77,USD,151.52
2013-04-30,151.78,151.96,150.59,151.23,USD,151.275
2013-05-01,151.16,151.27,150.03,150.12,USD,150.65
2013-05-02,150.16,150.78,149.46,150.62,USD,150.12
2013-05-03,150.64,151.92,150.34,151.47,USD,151.13
2013-05-06,151.44,151.53,150.65,150.65,USD,151.09
2013-05-07,150.81,151.3,150.8,151.18,USD,151.05
2013-05-08,151.24,152.41,151.17,152.26,USD,151.79
2013-05-09,152.23,152.25,150.98,151.69,USD,151.615
2013-05-10,151.26,152.61,151.1,152.56,USD,151.855
2013-05-13,152.52,153.28,152.25,153.28,USD,152.765
2013-05-14,153.29,154.39,153.09,154.38,USD,153.74
2013-05-15,154.17,155.54,154.05,155.06,USD,154.795
2013-05-16,155.18,155.18,153.79,154.08,USD,154.485
2013-05-17,153.84,153.97,153.07,153.93,USD,153.52
2013-05-20,154.0,154.19,153.57,153.57,USD,153.88
2013-05-21,153.71,154.93,153.28,154.71,USD,154.105
2013-05-22,154.85,157.53,154.78,155.15,USD,156.155
2013-05-23,155.14,155.18,153.11,153.97,USD,154.145
2013-05-24,153.93,154.51,153.14,154.17,USD,153.825
2013-05-27,154.13,154.15,153.79,154.14,USD,153.97
2013-05-28,154.04,156.08,153.77,154.94,USD,154.925
2013-05-29,154.88,155.14,152.38,152.89,USD,153.76
2013-05-30,152.78,153.92,152.36,153.59,USD,153.14
2013-05-31,153.62,153.72,150.71,150.71,USD,152.215
2013-06-03,150.79,150.92,149.69,150.59,USD,150.305
2013-06-04,150.73,151.5,149.87,150.25,USD,150.685
2013-06-05,150.26,150.51,148.28,148.39,USD,149.395
2013-06-06,148.43,149.84,148.12,149.49,USD,148.98
2013-06-07,149.76,151.6,149.62,151.24,USD,150.61
2013-06-10,151.1,152.08,151.09,151.68,USD,151.585
2013-06-11,151.91,152.17,150.53,151.44,USD,151.35
2013-06-12,151.58,152.87,150.92,150.99,USD,151.895
2013-06-13,150.97,151.87,149.47,151.66,USD,150.67
2013-06-14,151.77,152.29,151.4,151.66,USD,151.845
2013-06-17,151.7,153.49,151.65,152.58,USD,152.57
2013-06-18,152.67,153.18,152.04,153.02,USD,152.61
2013-06-19,153.05,153.4,151.03,151.77,USD,152.215
2013-06-20,151.02,151.13,146.57,146.64,USD,148.85
2013-06-21,146.84,148.35,146.41,147.17,USD,147.38
2013-06-24,147.06,147.1,144.72,145.47,USD,145.91
2013-06-25,145.63,146.67,145.46,146.28,USD,146.065
2013-06-26,146.31,148.86,146.16,148.54,USD,147.51
2013-06-27,148.6,150.44,148.58,149.61,USD,149.51
2013-06-28,149.84,150.15,148.87,148.87,USD,149.51
2013-07-01,148.95,150.79,148.87,149.83,USD,149.83
2013-07-02,149.98,150.07,149.02,149.53,USD,149.545
2013-07-03,149.34,149.35,148.12,148.98,USD,148.735
2013-07-04,149.07,149.79,149.0,149.73,USD,149.395
2013-07-05,149.67,150.42,149.19,150.16,USD,149.805
2013-07-08,150.05,151.6,149.98,151.23,USD,150.79
2013-07-09,151.31,152.32,151.23,151.58,USD,151.775
2013-07-10,151.6,153.25,151.57,152.76,USD,152.41
2013-07-11,153.73,155.09,153.35,154.72,USD,154.22
2013-07-12,154.9,155.68,154.62,155.62,USD,155.15
2013-07-15,155.68,155.87,155.12,155.54,USD,155.495
2013-07-16,155.59,155.8,154.69,154.87,USD,155.245
2013-07-17,154.88,155.81,154.49,155.02,USD,155.15
2013-07-18,155.17,155.92,154.91,155.52,USD,155.415
2013-07-19,155.65,156.71,154.89,156.66,USD,155.8
2013-07-22,156.79,157.57,156.55,157.36,USD,157.06
2013-07-23,157.33,157.56,156.77,156.94,USD,157.165
2013-07-24,156.97,157.59,156.46,156.97,USD,157.025
2013-07-25,156.8,157.7,156.2,157.36,USD,156.95
2013-07-26,157.49,157.78,156.37,157.71,USD,157.075
2013-07-29,157.68,158.05,157.01,157.32,USD,157.53
2013-07-30,157.31,157.9,156.84,157.21,USD,157.37
2013-07-31,157.19,158.17,156.64,157.19,USD,157.405
2013-08-01,157.34,158.24,156.98,158.02,USD,157.61
2013-08-02,157.93,158.7,157.8,158.7,USD,158.25
2013-08-05,158.61,159.02,158.3,158.39,USD,158.66
2013-08-06,158.48,159.1,157.9,158.34,USD,158.5
2013-08-07,158.28,158.4,157.57,158.15,USD,157.985
2013-08-08,158.21,158.83,158.06,158.52,USD,158.445
2013-08-09,158.45,158.88,157.86,158.25,USD,158.37
2013-08-12,158.17,158.32,157.44,157.69,USD,157.88
2013-08-13,157.69,158.37,157.21,158.09,USD,157.79
2013-08-14,158.16,158.58,157.48,157.56,USD,158.03
2013-08-15,157.51,157.64,154.83,155.27,USD,156.235
2013-08-16,155.65,155.71,154.89,155.02,USD,155.3
2013-08-19,154.98,155.84,154.9,155.34,USD,155.37
2013-08-20,155.27,156.36,154.87,155.94,USD,155.615
2013-08-21,155.91,155.91,154.53,154.91,USD,155.22
2013-08-22,154.7,155.74,154.63,155.56,USD,155.185
2013-08-23,155.65,156.06,155.19,156.03,USD,155.625
2013-08-26,155.96,156.93,155.91,156.34,USD,156.42
2013-08-27,156.33,156.42,154.13,154.22,USD,155.275
2013-08-28,154.17,154.17,152.9,153.74,USD,153.535
2013-08-29,153.7,154.35,152.73,153.72,USD,153.54
2013-08-30,153.81,153.86,152.57,152.8,USD,153.215
2013-09-02,152.88,153.83,152.87,153.74,USD,153.35
2013-09-03,153.77,154.86,153.43,153.82,USD,154.145
2013-09-04,153.86,155.22,153.65,155.13,USD,154.435
2013-09-05,155.13,155.13,154.46,154.9,USD,154.795
2013-09-06,154.9,155.79,153.77,155.2,USD,154.78
2013-09-09,155.17,155.99,154.96,155.98,USD,155.475
