Date,Open,High,Low,Close,Currency,Average
2012-07-09,759.6,759.97,755.81,758.01,USD,757.89
2012-07-10,758.54,763.19,753.13,754.77,USD,758.16
2012-07-11,754.5,756.93,751.85,755.2,USD,754.39
2012-07-12,755.07,755.07,744.44,748.03,USD,749.755
2012-07-13,748.16,759.63,748.13,759.19,USD,753.88
2012-07-16,759.52,760.8,756.06,759.19,USD,758.43
2012-07-17,759.44,763.35,755.01,761.55,USD,759.18
2012-07-18,763.35,768.74,761.36,767.71,USD,765.05
2012-07-19,768.75,774.3,768.75,772.76,USD,771.525
2012-07-20,772.8,772.8,762.39,762.7,USD,767.595
2012-07-23,761.24,761.3,745.23,751.04,USD,753.265
2012-07-24,751.05,751.92,741.92,745.41,USD,746.92
2012-07-25,744.27,747.59,741.86,744.43,USD,744.725
2012-07-26,745.14,761.27,744.64,760.22,USD,752.955
2012-07-27,760.41,774.93,760.41,774.05,USD,767.67
2012-07-30,774.4,778.77,773.99,776.61,USD,776.38
2012-07-31,776.9,778.44,774.62,774.89,USD,776.53
2012-08-01,773.91,777.02,772.23,773.76,USD,774.625
2012-08-02,772.59,778.33,762.06,765.66,USD,770.195
2012-08-03,764.69,782.77,764.08,780.95,USD,773.425
2012-08-06,782.81,788.17,781.89,785.79,USD,785.03
2012-08-07,785.35,792.47,785.35,790.78,USD,788.91
2012-08-08,790.62,791.65,787.52,790.53,USD,789.585
2012-08-09,790.58,792.91,789.39,791.4,USD,791.15
2012-08-10,791.03,791.72,785.74,791.72,USD,788.73
2012-08-13,791.06,792.68,787.65,790.63,USD,790.165
2012-08-14,790.4,793.48,790.24,791.47,USD,791.86
2012-08-15,791.52,791.76,789.28,790.6,USD,790.52
2012-08-16,790.79,797.9,790.79,797.11,USD,794.345
2012-08-17,797.47,799.07,796.81,798.46,USD,797.94
2012-08-20,799.19,800.02,795.65,798.5,USD,797.835
2012-08-21,798.62,805.2,798.62,800.55,USD,801.91
2012-08-22,800.3,800.35,794.76,797.13,USD,797.555
2012-08-23,798.77,801.57,794.36,795.47,USD,797.965
2012-08-24,793.92,796.92,790.15,796.02,USD,793.535
2012-08-27,796.12,798.38,795.08,796.67,USD,796.73
2012-08-28,796.48,796.66,793.38,795.25,USD,795.02
2012-08-29,794.98,795.8,793.18,794.4,USD,794.49
2012-08-30,794.19,794.23,786.37,787.5,USD,790.3
2012-08-31,786.7,794.89,786.07,791.78,USD,790.48
