Date,Open,High,Low,Close,Currency,Average
2012-07-09,762.24,762.53,756.51,758.61,USD,759.52
2012-07-10,759.14,765.12,753.19,755.01,USD,759.155
2012-07-11,754.94,756.25,749.61,752.91,USD,752.93
2012-07-12,752.76,752.77,741.01,746.62,USD,746.89
2012-07-13,746.87,758.4,746.87,757.99,USD,752.635
2012-07-16,758.26,759.25,753.82,757.27,USD,756.535
2012-07-17,757.7,761.3,752.37,759.49,USD,756.835
2012-07-18,761.45,767.59,758.85,765.67,USD,763.22
2012-07-19,766.5,774.14,766.5,772.89,USD,770.32
2012-07-20,772.82,772.87,761.61,761.98,USD,767.24
2012-07-23,760.56,760.58,742.26,748.56,USD,751.42
2012-07-24,748.76,749.8,739.4,742.71,USD,744.6
2012-07-25,741.58,747.08,740.45,743.34,USD,743.765
2012-07-26,744.25,762.06,743.76,761.24,USD,752.91
2012-07-27,761.47,776.05,761.17,774.59,USD,768.61
2012-07-30,774.95,779.15,774.49,776.22,USD,776.82
2012-07-31,776.53,777.67,772.16,772.46,USD,774.915
2012-08-01,771.46,773.73,767.25,768.96,USD,770.49
2012-08-02,767.6,771.58,757.25,760.68,USD,764.415
2012-08-03,759.79,777.73,759.1,775.95,USD,768.415
2012-08-06,777.81,783.46,777.81,782.19,USD,780.635
2012-08-07,781.58,790.69,781.58,788.99,USD,786.135
2012-08-08,788.92,790.15,785.71,789.11,USD,787.93
2012-08-09,789.13,792.21,788.27,791.06,USD,790.24
2012-08-10,790.75,791.53,786.15,791.53,USD,788.84
2012-08-13,790.73,791.59,785.76,789.21,USD,788.675
2012-08-14,788.99,792.81,788.94,789.68,USD,790.875
2012-08-15,789.72,791.72,788.11,791.43,USD,789.915
2012-08-16,791.5,799.66,791.27,798.97,USD,795.465
2012-08-17,799.28,802.45,798.84,801.93,USD,800.645
2012-08-20,802.77,803.78,797.12,799.95,USD,800.45
2012-08-21,800.05,807.37,799.93,803.34,USD,803.65
2012-08-22,802.86,802.89,796.8,799.7,USD,799.845
2012-08-23,801.52,804.21,797.03,798.47,USD,800.62
2012-08-24,796.85,798.85,792.74,797.84,USD,795.795
2012-08-27,798.02,799.33,796.38,797.21,USD,797.855
2012-08-28,797.09,797.45,793.91,795.77,USD,795.68
2012-08-29,795.47,797.07,793.66,796.2,USD,795.365
2012-08-30,796.08,796.08,787.67,789.09,USD,791.875
2012-08-31,788.33,796.64,787.79,794.35,USD,792.215
2012-09-03,793.92,794.97,792.8,794.72,USD,793.885
2012-09-04,794.65,794.91,788.11,792.05,USD,791.51
2012-09-05,791.19,792.92,789.2,791.02,USD,791.06
2012-09-06,790.94,805.75,790.75,805.47,USD,798.25
2012-09-07,806.24,816.71,806.24,816.64,USD,811.475
2012-09-10,816.0,816.62,812.59,813.3,USD,814.605
2012-09-11,812.32,816.89,810.92,815.52,USD,813.905
2012-09-12,815.83,821.8,815.83,820.48,USD,818.815
2012-09-13,820.63,829.89,818.11,826.62,USD,824.0
2012-09-14,828.83,844.15,828.79,840.65,USD,836.47
2012-09-17,839.85,840.49,833.18,834.97,USD,836.835
2012-09-18,834.58,835.1,828.72,830.26,USD,831.91
2012-09-19,830.22,834.4,829.7,833.49,USD,832.05
2012-09-20,833.17,833.41,823.32,828.18,USD,828.365
2012-09-21,828.83,834.77,828.83,830.79,USD,831.8
2012-09-24,830.07,830.35,824.16,825.51,USD,827.255
2012-09-25,825.79,828.92,820.1,821.49,USD,824.51
2012-09-26,818.95,819.43,808.46,810.93,USD,813.945
2012-09-27,811.44,820.32,811.1,818.25,USD,815.71
2012-09-28,819.53,820.55,812.62,815.38,USD,816.585
