Date,Open,High,Low,Close,Currency,Average
2012-07-09,56.38,56.74,56.38,56.69,USD,56.56
2012-07-10,56.74,57.06,56.62,56.71,USD,56.84
2012-07-11,56.73,57.14,56.73,57.04,USD,56.935
2012-07-12,57.03,57.05,56.07,56.31,USD,56.56
2012-07-13,56.32,57.42,56.29,57.4,USD,56.855
2012-07-16,57.43,57.59,57.28,57.48,USD,57.435
2012-07-17,57.53,57.88,57.38,57.72,USD,57.63
2012-07-18,57.92,58.32,57.73,58.19,USD,58.025
2012-07-19,58.26,58.53,57.71,57.81,USD,58.12
2012-07-20,57.8,57.81,56.63,56.81,USD,57.22
2012-07-23,56.71,56.71,55.78,56.19,USD,56.245
2012-07-24,56.21,56.23,55.19,55.42,USD,55.71
2012-07-25,55.33,55.86,55.31,55.61,USD,55.585
2012-07-26,55.62,57.3,55.53,57.23,USD,56.415
2012-07-27,57.25,58.26,57.04,58.1,USD,57.65
2012-07-30,58.11,58.49,57.97,58.4,USD,58.23
2012-07-31,58.42,58.76,58.35,58.59,USD,58.555
2012-08-01,58.53,59.27,58.53,58.96,USD,58.9
2012-08-02,58.85,59.23,57.87,58.09,USD,58.55
2012-08-03,58.03,59.2,58.01,58.91,USD,58.605
2012-08-06,59.08,59.52,58.75,59.37,USD,59.135
2012-08-07,59.34,59.69,59.27,59.58,USD,59.48
2012-08-08,59.51,59.53,59.18,59.5,USD,59.355
2012-08-09,59.5,59.65,59.13,59.36,USD,59.39
2012-08-10,59.31,59.51,58.91,59.51,USD,59.21
2012-08-13,59.42,59.67,59.33,59.45,USD,59.5
2012-08-14,59.41,59.8,59.41,59.59,USD,59.605
2012-08-15,59.59,59.62,59.27,59.49,USD,59.445
2012-08-16,59.49,59.54,59.1,59.49,USD,59.32
2012-08-17,59.48,59.61,59.29,59.43,USD,59.45
2012-08-20,59.47,59.64,59.18,59.27,USD,59.41
2012-08-21,59.31,59.61,59.26,59.3,USD,59.435
2012-08-22,59.31,59.32,58.76,58.8,USD,59.04
2012-08-23,58.97,59.19,58.69,58.94,USD,58.94
2012-08-24,58.81,59.28,58.63,59.17,USD,58.955
2012-08-27,59.15,59.29,59.06,59.2,USD,59.175
2012-08-28,59.16,59.25,58.99,59.07,USD,59.12
2012-08-29,59.05,59.2,58.8,59.06,USD,59.0
2012-08-30,59.05,59.21,58.61,58.74,USD,58.91
2012-08-31,58.7,59.23,58.61,58.94,USD,58.92
2012-09-03,58.88,59.1,58.79,59.08,USD,58.945
2012-09-04,59.06,59.09,58.74,59.02,USD,58.915
2012-09-05,58.97,59.16,58.82,59.01,USD,58.99
2012-09-06,59.01,59.86,58.99,59.83,USD,59.425
2012-09-07,59.88,60.28,59.74,60.03,USD,60.01
2012-09-10,60.01,60.22,59.82,60.06,USD,60.02
2012-09-11,59.99,60.54,59.94,60.42,USD,60.24
2012-09-12,60.44,60.82,60.42,60.75,USD,60.62
2012-09-13,60.75,61.38,60.73,61.18,USD,61.055
2012-09-14,61.35,61.74,60.87,61.05,USD,61.305
2012-09-17,60.98,61.03,60.66,60.85,USD,60.845
2012-09-18,60.8,60.83,60.52,60.73,USD,60.675
2012-09-19,60.71,60.99,60.46,60.88,USD,60.725
2012-09-20,60.89,60.95,60.62,60.84,USD,60.785
2012-09-21,60.9,61.62,60.88,61.38,USD,61.25
2012-09-24,61.37,61.4,61.05,61.27,USD,61.225
2012-09-25,61.31,61.71,61.21,61.36,USD,61.46
2012-09-26,61.13,61.15,60.52,60.52,USD,60.835
2012-09-27,60.6,60.97,60.56,60.74,USD,60.765
2012-09-28,60.87,61.03,60.04,60.17,USD,60.535
2012-10-01,60.06,60.47,59.99,60.21,USD,60.23
2012-10-02,60.17,60.56,60.04,60.34,USD,60.3
2012-10-03,60.3,60.6,60.04,60.52,USD,60.32
2012-10-04,60.56,60.79,60.38,60.74,USD,60.585
2012-10-05,60.77,61.18,60.71,61.0,USD,60.945
2012-10-08,60.9,60.9,60.38,60.41,USD,60.64
2012-10-09,60.39,60.41,59.64,59.69,USD,60.025
2012-10-10,59.65,59.65,59.24,59.31,USD,59.445
2012-10-11,59.26,59.52,59.13,59.19,USD,59.325
2012-10-12,59.18,59.24,58.23,58.32,USD,58.735
2012-10-15,58.28,58.29,57.74,57.92,USD,58.015
