Date,Open,High,Low,Close,Currency,Average
2012-07-09,101.06,101.35,100.79,100.98,USD,101.07
2012-07-10,101.05,101.5,100.7,101.11,USD,101.1
2012-07-11,101.12,101.7,100.94,101.63,USD,101.32
2012-07-12,101.58,101.59,100.57,100.93,USD,101.08
2012-07-13,100.96,102.07,100.55,102.01,USD,101.31
2012-07-16,102.05,102.15,101.59,102.0,USD,101.87
2012-07-17,101.98,102.0,101.12,101.59,USD,101.56
2012-07-18,101.78,101.89,101.1,101.82,USD,101.495
2012-07-19,101.89,102.14,101.36,101.93,USD,101.75
2012-07-20,101.95,101.95,100.3,100.53,USD,101.125
2012-07-23,100.38,100.44,98.82,99.04,USD,99.63
2012-07-24,99.05,99.15,97.41,97.77,USD,98.28
2012-07-25,97.67,97.94,97.1,97.37,USD,97.52
2012-07-26,97.43,99.81,97.28,99.78,USD,98.545
2012-07-27,99.75,101.16,99.37,100.96,USD,100.265
2012-07-30,100.89,101.26,100.55,101.17,USD,100.905
2012-07-31,101.21,101.52,100.77,100.8,USD,101.145
2012-08-01,100.75,101.38,99.98,100.17,USD,100.68
2012-08-02,100.02,101.01,98.44,98.96,USD,99.725
2012-08-03,98.92,101.08,98.78,100.97,USD,99.93
2012-08-06,101.16,101.73,100.81,101.38,USD,101.27
2012-08-07,101.3,102.49,101.25,101.78,USD,101.87
2012-08-08,101.69,101.93,101.17,101.64,USD,101.55
2012-08-09,101.65,101.88,101.14,101.45,USD,101.51
2012-08-10,101.44,101.49,100.65,101.42,USD,101.07
2012-08-13,101.3,101.82,101.14,101.32,USD,101.48
2012-08-14,101.31,101.94,101.28,101.75,USD,101.61
2012-08-15,101.77,101.83,101.27,101.28,USD,101.55
2012-08-16,101.29,101.98,101.11,101.76,USD,101.545
2012-08-17,101.77,102.07,101.56,101.72,USD,101.815
2012-08-20,101.84,102.13,101.34,101.84,USD,101.735
2012-08-21,101.85,102.22,101.68,101.74,USD,101.95
2012-08-22,101.72,101.75,101.18,101.3,USD,101.465
2012-08-23,101.52,101.85,100.58,100.71,USD,101.215
2012-08-24,100.62,101.12,100.55,101.06,USD,100.835
2012-08-27,101.01,101.36,100.82,101.27,USD,101.09
2012-08-28,101.2,101.2,100.57,100.79,USD,100.885
2012-08-29,100.73,101.02,100.42,100.5,USD,100.72
2012-08-30,100.48,100.69,99.94,100.02,USD,100.315
2012-08-31,100.01,100.71,100.01,100.43,USD,100.36
2012-09-03,100.34,100.54,100.14,100.52,USD,100.34
2012-09-04,100.5,100.59,100.06,100.37,USD,100.325
2012-09-05,100.31,100.59,99.98,100.15,USD,100.285
2012-09-06,100.15,101.44,100.02,101.43,USD,100.73
2012-09-07,101.48,102.38,101.32,102.26,USD,101.85
2012-09-10,102.21,102.31,101.9,101.98,USD,102.105
2012-09-11,101.87,102.31,101.66,102.09,USD,101.985
2012-09-12,102.12,102.63,102.0,102.2,USD,102.315
2012-09-13,102.25,103.35,102.21,103.15,USD,102.78
2012-09-14,103.34,104.13,103.28,103.66,USD,103.705
2012-09-17,103.57,103.6,102.86,103.07,USD,103.23
2012-09-18,103.01,103.28,102.49,102.64,USD,102.885
2012-09-19,102.63,103.22,102.63,103.15,USD,102.925
2012-09-20,103.12,103.12,102.4,102.86,USD,102.76
2012-09-21,102.91,103.53,102.84,103.39,USD,103.185
2012-09-24,103.27,103.9,103.09,103.8,USD,103.495
2012-09-25,103.81,104.06,103.48,103.66,USD,103.77
2012-09-26,103.38,103.52,102.59,102.7,USD,103.055
2012-09-27,102.8,103.33,102.62,102.73,USD,102.975
2012-09-28,102.85,103.06,101.97,102.38,USD,102.515
2012-10-01,102.23,103.42,102.17,102.85,USD,102.795
2012-10-02,102.8,103.51,102.6,103.19,USD,103.055
2012-10-03,103.14,103.78,103.0,103.64,USD,103.39
2012-10-04,103.7,104.08,103.33,103.84,USD,103.705
2012-10-05,103.89,104.49,103.67,104.17,USD,104.08
2012-10-08,104.04,104.04,103.41,103.66,USD,103.725
2012-10-09,103.64,103.7,102.57,102.8,USD,103.135
2012-10-10,102.74,102.85,102.46,102.61,USD,102.655
2012-10-11,102.52,103.36,102.48,103.03,USD,102.92
2012-10-12,103.03,103.29,102.54,102.67,USD,102.915
2012-10-15,102.62,103.12,102.46,103.05,USD,102.79
2012-10-16,103.1,104.19,103.05,104.0,USD,103.62
2012-10-17,104.15,105.34,104.14,105.3,USD,104.74
2012-10-18,105.26,105.54,105.08,105.53,USD,105.31
2012-10-19,105.43,105.58,104.68,104.85,USD,105.13
2012-10-22,104.82,104.85,104.04,104.35,USD,104.445
2012-10-23,104.32,104.32,102.41,102.67,USD,103.365
2012-10-24,102.69,102.87,102.17,102.26,USD,102.52
2012-10-25,102.26,102.84,102.18,102.61,USD,102.51
2012-10-26,102.54,102.64,102.04,102.5,USD,102.34
2012-10-29,102.47,102.58,102.08,102.3,USD,102.33
2012-10-30,102.31,102.63,102.24,102.58,USD,102.435
2012-10-31,102.57,103.39,102.51,103.07,USD,102.95
2012-11-01,103.1,103.39,102.55,102.63,USD,102.97
2012-11-02,102.64,102.66,101.87,101.93,USD,102.265
2012-11-05,101.87,101.92,100.44,100.51,USD,101.18
2012-11-06,100.53,101.11,100.45,100.85,USD,100.78
2012-11-07,100.87,101.36,98.97,99.25,USD,100.165
2012-11-08,99.26,99.63,98.71,98.71,USD,99.17
2012-11-09,98.76,98.77,97.78,97.89,USD,98.275
2012-11-12,97.91,97.99,97.22,97.33,USD,97.605
2012-11-13,97.32,97.45,96.23,96.98,USD,96.84
2012-11-14,96.96,97.12,96.31,96.49,USD,96.715
2012-11-15,96.49,96.99,95.9,96.23,USD,96.445
2012-11-16,96.21,96.4,95.72,96.29,USD,96.06
2012-11-19,96.39,97.51,96.37,97.5,USD,96.94
2012-11-20,97.42,97.56,96.85,97.25,USD,97.205
2012-11-21,97.3,97.57,96.92,97.38,USD,97.245
2012-11-22,97.41,97.67,97.38,97.59,USD,97.525
2012-11-23,97.59,97.96,97.41,97.88,USD,97.685
2012-11-26,97.92,98.89,97.9,98.65,USD,98.395
2012-11-27,98.71,98.97,98.4,98.52,USD,98.685
2012-11-28,98.53,98.57,97.42,98.35,USD,97.995
2012-11-29,98.42,99.46,98.4,99.46,USD,98.93
2012-11-30,99.46,99.82,99.21,99.79,USD,99.515
2012-12-03,99.77,100.08,99.29,99.45,USD,99.685
2012-12-04,99.49,99.84,99.39,99.41,USD,99.615
2012-12-05,99.4,100.47,99.39,100.23,USD,99.93
2012-12-06,100.22,100.38,99.47,99.67,USD,99.925
2012-12-07,99.6,99.83,99.4,99.66,USD,99.615
2012-12-10,99.61,99.72,99.16,99.54,USD,99.44
2012-12-11,99.56,100.51,99.32,100.3,USD,99.915
2012-12-12,100.32,100.94,100.23,100.42,USD,100.585
2012-12-13,100.46,100.52,99.89,100.14,USD,100.205
2012-12-14,100.09,100.57,99.98,100.1,USD,100.275
2012-12-17,100.22,101.66,100.17,101.65,USD,100.915
2012-12-18,101.66,102.37,101.41,102.29,USD,101.89
2012-12-19,102.29,102.7,102.02,102.09,USD,102.36
2012-12-20,102.0,102.48,101.92,102.34,USD,102.2
2012-12-21,102.38,102.39,101.66,101.91,USD,102.025
2012-12-24,101.88,102.09,101.53,101.76,USD,101.81
2012-12-25,101.79,101.97,101.79,101.85,USD,101.88
2012-12-26,101.81,101.96,101.28,101.29,USD,101.62
2012-12-27,101.32,101.51,100.54,101.14,USD,101.025
2012-12-28,101.11,101.14,100.26,100.26,USD,100.7
2012-12-31,100.29,100.97,99.93,100.92,USD,100.45
2013-01-01,100.92,100.92,100.92,100.92,USD,100.92
2013-01-02,100.95,102.7,100.91,102.65,USD,101.805
2013-01-03,102.53,102.53,101.87,102.16,USD,102.2
2013-01-04,101.94,102.86,101.88,102.75,USD,102.37
2013-01-07,102.83,102.83,101.54,101.6,USD,102.185
2013-01-08,101.72,101.76,101.16,101.45,USD,101.46
2013-01-09,101.47,101.52,101.02,101.42,USD,101.27
2013-01-10,101.43,101.93,101.23,101.79,USD,101.58
2013-01-11,101.89,101.99,101.58,101.95,USD,101.785
2013-01-14,101.94,102.27,101.61,101.7,USD,101.94
2013-01-15,101.7,102.04,101.45,102.04,USD,101.745
2013-01-16,101.93,102.01,101.32,101.46,USD,101.665
2013-01-17,101.45,102.03,101.41,101.83,USD,101.72
2013-01-18,101.84,101.95,101.49,101.9,USD,101.72
2013-01-21,101.92,102.26,101.83,102.22,USD,102.045
2013-01-22,102.22,102.48,101.88,102.45,USD,102.18
2013-01-23,102.48,102.65,101.76,101.99,USD,102.205
2013-01-24,102.02,102.4,101.66,102.22,USD,102.03
2013-01-25,102.2,102.75,102.14,102.75,USD,102.445
2013-01-28,102.65,102.7,102.13,102.43,USD,102.415
2013-01-29,102.42,103.46,102.42,103.41,USD,102.94
2013-01-30,103.42,103.74,103.15,103.27,USD,103.445
2013-01-31,103.26,103.42,102.93,103.18,USD,103.175
2013-02-01,103.18,103.41,102.93,103.16,USD,103.17
2013-02-04,103.05,103.23,101.83,101.9,USD,102.53
2013-02-05,101.87,102.35,101.53,101.93,USD,101.94
2013-02-06,102.0,102.16,101.37,102.0,USD,101.765
2013-02-07,101.98,102.29,101.37,101.69,USD,101.83
2013-02-08,101.68,101.97,101.59,101.97,USD,101.78
2013-02-11,101.92,102.24,101.71,102.07,USD,101.975
2013-02-12,102.05,102.72,101.92,102.72,USD,102.32
2013-02-13,102.7,102.74,102.25,102.37,USD,102.495
2013-02-14,102.41,102.51,101.24,101.42,USD,101.875
2013-02-15,101.43,101.87,101.38,101.57,USD,101.625
2013-02-18,101.53,101.84,101.36,101.81,USD,101.6
2013-02-19,101.82,102.65,101.77,102.61,USD,102.21
2013-02-20,102.65,103.1,102.3,102.52,USD,102.7
2013-02-21,102.32,102.4,101.12,101.3,USD,101.76
2013-02-22,101.24,102.42,101.14,102.4,USD,101.78
2013-02-25,102.25,103.45,101.81,101.84,USD,102.63
2013-02-26,101.74,101.84,100.86,101.1,USD,101.35
2013-02-27,101.09,102.12,100.92,102.01,USD,101.52
2013-02-28,102.04,102.67,102.02,102.5,USD,102.345
2013-03-01,102.43,102.7,101.65,102.19,USD,102.175
2013-03-04,102.25,103.34,102.23,103.21,USD,102.785
2013-03-05,103.24,104.05,103.24,103.9,USD,103.645
2013-03-06,103.94,104.09,103.41,103.63,USD,103.75
2013-03-07,103.5,104.0,103.48,103.52,USD,103.74
2013-03-08,103.51,103.77,103.1,103.62,USD,103.435
2013-03-11,103.61,103.83,103.41,103.75,USD,103.62
2013-03-12,103.75,103.75,103.08,103.26,USD,103.415
2013-03-13,103.28,103.36,102.67,103.13,USD,103.015
2013-03-14,103.14,103.93,103.1,103.83,USD,103.515
2013-03-15,103.93,104.43,103.75,104.43,USD,104.09
2013-03-18,104.14,104.16,103.44,103.65,USD,103.8
2013-03-19,103.58,104.33,103.56,103.94,USD,103.945
2013-03-20,103.86,104.72,103.75,104.63,USD,104.235
2013-03-21,104.53,105.2,104.43,104.87,USD,104.815
2013-03-22,104.82,105.67,104.82,105.44,USD,105.245
2013-03-25,105.39,105.6,104.37,104.6,USD,104.985
2013-03-26,104.57,105.26,104.5,105.15,USD,104.88
2013-03-27,105.14,105.33,104.39,105.08,USD,104.86
2013-03-28,105.09,106.28,105.08,106.27,USD,105.68
2013-03-29,106.26,106.44,106.19,106.44,USD,106.315
2013-04-01,106.36,106.38,106.12,106.27,USD,106.25
2013-04-02,106.26,106.91,106.1,106.82,USD,106.505
2013-04-03,106.8,107.28,106.57,106.71,USD,106.925
2013-04-04,106.67,107.24,106.38,107.0,USD,106.81
2013-04-05,107.15,107.66,106.97,107.66,USD,107.315
2013-04-08,107.61,107.96,107.38,107.96,USD,107.67
2013-04-09,107.92,108.39,107.88,108.05,USD,108.135
2013-04-10,108.14,109.9,108.12,109.77,USD,109.01
