,Year,Month,Inflation
0,2021,1,1.4
1,2021,2,1.7
2,2021,3,2.6
3,2021,4,4.2
4,2021,5,5.0
5,2021,6,5.4
6,2021,7,5.4
7,2021,8,5.3
8,2021,9,5.4
9,2021,10,6.2
10,2021,11,6.8
11,2021,12,0.0
12,2020,1,2.5
13,2020,2,2.3
14,2020,3,1.5
15,2020,4,0.3
16,2020,5,0.1
17,2020,6,0.6
18,2020,7,1.0
19,2020,8,1.3
20,2020,9,1.4
21,2020,10,1.2
22,2020,11,1.2
23,2020,12,1.4
24,2019,1,1.6
25,2019,2,1.5
26,2019,3,1.9
27,2019,4,2.0
28,2019,5,1.8
29,2019,6,1.6
30,2019,7,1.8
31,2019,8,1.7
32,2019,9,1.7
33,2019,10,1.8
34,2019,11,2.1
35,2019,12,2.3
36,2018,1,2.1
37,2018,2,2.2
38,2018,3,2.4
39,2018,4,2.5
40,2018,5,2.8
41,2018,6,2.9
42,2018,7,2.9
43,2018,8,2.7
44,2018,9,2.3
45,2018,10,2.5
46,2018,11,2.2
47,2018,12,1.9
48,2017,1,2.5
49,2017,2,2.7
50,2017,3,2.4
51,2017,4,2.2
52,2017,5,1.9
53,2017,6,1.6
54,2017,7,1.7
55,2017,8,1.9
56,2017,9,2.2
57,2017,10,2.0
58,2017,11,2.2
59,2017,12,2.1
60,2016,1,1.4
61,2016,2,1.0
62,2016,3,0.9
63,2016,4,1.1
64,2016,5,1.0
65,2016,6,1.0
66,2016,7,0.8
67,2016,8,1.1
68,2016,9,1.5
69,2016,10,1.6
70,2016,11,1.7
71,2016,12,2.1
72,2015,1,-0.1
73,2015,2,0.0
74,2015,3,-0.1
75,2015,4,-0.2
76,2015,5,0.0
77,2015,6,0.1
78,2015,7,0.2
79,2015,8,0.2
80,2015,9,0.0
81,2015,10,0.2
82,2015,11,0.5
83,2015,12,0.7
84,2014,1,1.6
85,2014,2,1.1
86,2014,3,1.5
87,2014,4,2.0
88,2014,5,2.1
89,2014,6,2.1
90,2014,7,2.0
91,2014,8,1.7
92,2014,9,1.7
93,2014,10,1.7
94,2014,11,1.3
95,2014,12,0.8
96,2013,1,1.6
97,2013,2,2.0
98,2013,3,1.5
99,2013,4,1.1
100,2013,5,1.4
101,2013,6,1.8
102,2013,7,2.0
103,2013,8,1.5
104,2013,9,1.2
105,2013,10,1.0
106,2013,11,1.2
107,2013,12,1.5
108,2012,1,2.9
109,2012,2,2.9
110,2012,3,2.7
111,2012,4,2.3
112,2012,5,1.7
113,2012,6,1.7
114,2012,7,1.4
115,2012,8,1.7
116,2012,9,2.0
117,2012,10,2.2
118,2012,11,1.8
119,2012,12,1.7
120,2011,1,1.6
121,2011,2,2.1
122,2011,3,2.7
123,2011,4,3.2
124,2011,5,3.6
125,2011,6,3.6
126,2011,7,3.6
127,2011,8,3.8
128,2011,9,3.9
129,2011,10,3.5
130,2011,11,3.4
131,2011,12,3.0
132,2010,1,2.6
133,2010,2,2.1
134,2010,3,2.3
135,2010,4,2.2
136,2010,5,2.0
137,2010,6,1.1
138,2010,7,1.2
139,2010,8,1.1
140,2010,9,1.1
141,2010,10,1.2
142,2010,11,1.1
143,2010,12,1.5
144,2009,1,0.0
145,2009,2,0.2
146,2009,3,-0.4
147,2009,4,-0.7
148,2009,5,-1.3
149,2009,6,-1.4
150,2009,7,-2.1
151,2009,8,-1.5
152,2009,9,-1.3
153,2009,10,-0.2
154,2009,11,1.8
155,2009,12,2.7
156,2008,1,4.3
157,2008,2,4.0
158,2008,3,4.0
159,2008,4,3.9
160,2008,5,4.2
161,2008,6,5.0
162,2008,7,5.6
163,2008,8,5.4
164,2008,9,4.9
165,2008,10,3.7
166,2008,11,1.1
167,2008,12,0.1
168,2007,1,2.1
169,2007,2,2.4
170,2007,3,2.8
