Date,Year,Month,Inflation
2000-01-01,2000,1,2.7
2000-02-01,2000,2,3.2
2000-03-01,2000,3,3.8
2000-04-01,2000,4,3.1
2000-05-01,2000,5,3.2
2000-06-01,2000,6,3.7
2000-07-01,2000,7,3.7
2000-08-01,2000,8,3.4
2000-09-01,2000,9,3.5
2000-10-01,2000,10,3.4
2000-11-01,2000,11,3.4
2000-12-01,2000,12,3.4
2001-01-01,2001,1,3.7
2001-02-01,2001,2,3.5
2001-03-01,2001,3,2.9
2001-04-01,2001,4,3.3
2001-05-01,2001,5,3.6
2001-06-01,2001,6,3.2
2001-07-01,2001,7,2.7
2001-08-01,2001,8,2.7
2001-09-01,2001,9,2.6
2001-10-01,2001,10,2.1
2001-11-01,2001,11,1.9
2001-12-01,2001,12,1.6
2002-01-01,2002,1,1.1
2002-02-01,2002,2,1.1
2002-03-01,2002,3,1.5
2002-04-01,2002,4,1.6
2002-05-01,2002,5,1.2
2002-06-01,2002,6,1.1
2002-07-01,2002,7,1.5
2002-08-01,2002,8,1.8
2002-09-01,2002,9,1.5
2002-10-01,2002,10,2.0
2002-11-01,2002,11,2.2
2002-12-01,2002,12,2.4
2003-01-01,2003,1,2.6
2003-02-01,2003,2,3.0
2003-03-01,2003,3,3.0
2003-04-01,2003,4,2.2
2003-05-01,2003,5,2.1
2003-06-01,2003,6,2.1
2003-07-01,2003,7,2.1
2003-08-01,2003,8,2.2
2003-09-01,2003,9,2.3
2003-10-01,2003,10,2.0
2003-11-01,2003,11,1.8
2003-12-01,2003,12,1.9
2004-01-01,2004,1,1.9
2004-02-01,2004,2,1.7
2004-03-01,2004,3,1.7
2004-04-01,2004,4,2.3
2004-05-01,2004,5,3.1
2004-06-01,2004,6,3.3
2004-07-01,2004,7,3.0
2004-08-01,2004,8,2.7
2004-09-01,2004,9,2.5
2004-10-01,2004,10,3.2
2004-11-01,2004,11,3.5
2004-12-01,2004,12,3.3
2005-01-01,2005,1,3.0
2005-02-01,2005,2,3.0
2005-03-01,2005,3,3.1
2005-04-01,2005,4,3.5
2005-05-01,2005,5,2.8
2005-06-01,2005,6,2.5
2005-07-01,2005,7,3.2
2005-08-01,2005,8,3.6
2005-09-01,2005,9,4.7
2005-10-01,2005,10,4.3
2005-11-01,2005,11,3.5
2005-12-01,2005,12,3.4
2006-01-01,2006,1,4.0
2006-02-01,2006,2,3.6
2006-03-01,2006,3,3.4
2006-04-01,2006,4,3.5
2006-05-01,2006,5,4.2
2006-06-01,2006,6,4.3
2006-07-01,2006,7,4.1
2006-08-01,2006,8,3.8
2006-09-01,2006,9,2.1
2006-10-01,2006,10,1.3
2006-11-01,2006,11,2.0
2006-12-01,2006,12,2.5
2007-01-01,2007,1,2.1
2007-02-01,2007,2,2.4
2007-03-01,2007,3,2.8
2007-04-01,2007,4,2.6
2007-05-01,2007,5,2.7
2007-06-01,2007,6,2.7
2007-07-01,2007,7,2.4
2007-08-01,2007,8,2.0
2007-09-01,2007,9,2.8
2007-10-01,2007,10,3.5
2007-11-01,2007,11,4.3
2007-12-01,2007,12,4.1
2008-01-01,2008,1,4.3
2008-02-01,2008,2,4.0
2008-03-01,2008,3,4.0
2008-04-01,2008,4,3.9
2008-05-01,2008,5,4.2
2008-06-01,2008,6,5.0
2008-07-01,2008,7,5.6
2008-08-01,2008,8,5.4
2008-09-01,2008,9,4.9
2008-10-01,2008,10,3.7
2008-11-01,2008,11,1.1
2008-12-01,2008,12,0.1
2009-01-01,2009,1,0.0
2009-02-01,2009,2,0.2
2009-03-01,2009,3,-0.4
2009-04-01,2009,4,-0.7
2009-05-01,2009,5,-1.3
2009-06-01,2009,6,-1.4
2009-07-01,2009,7,-2.1
2009-08-01,2009,8,-1.5
2009-09-01,2009,9,-1.3
2009-10-01,2009,10,-0.2
2009-11-01,2009,11,1.8
2009-12-01,2009,12,2.7
2010-01-01,2010,1,2.6
2010-02-01,2010,2,2.1
2010-03-01,2010,3,2.3
2010-04-01,2010,4,2.2
2010-05-01,2010,5,2.0
2010-06-01,2010,6,1.1
2010-07-01,2010,7,1.2
2010-08-01,2010,8,1.1
2010-09-01,2010,9,1.1
2010-10-01,2010,10,1.2
2010-11-01,2010,11,1.1
2010-12-01,2010,12,1.5
2011-01-01,2011,1,1.6
2011-02-01,2011,2,2.1
2011-03-01,2011,3,2.7
2011-04-01,2011,4,3.2
2011-05-01,2011,5,3.6
2011-06-01,2011,6,3.6
2011-07-01,2011,7,3.6
2011-08-01,2011,8,3.8
2011-09-01,2011,9,3.9
2011-10-01,2011,10,3.5
2011-11-01,2011,11,3.4
2011-12-01,2011,12,3.0
2012-01-01,2012,1,2.9
2012-02-01,2012,2,2.9
2012-03-01,2012,3,2.7
2012-04-01,2012,4,2.3
2012-05-01,2012,5,1.7
2012-06-01,2012,6,1.7
2012-07-01,2012,7,1.4
2012-08-01,2012,8,1.7
2012-09-01,2012,9,2.0
2012-10-01,2012,10,2.2
2012-11-01,2012,11,1.8
2012-12-01,2012,12,1.7
2013-01-01,2013,1,1.6
2013-02-01,2013,2,2.0
2013-03-01,2013,3,1.5
2013-04-01,2013,4,1.1
2013-05-01,2013,5,1.4
2013-06-01,2013,6,1.8
2013-07-01,2013,7,2.0
2013-08-01,2013,8,1.5
2013-09-01,2013,9,1.2
2013-10-01,2013,10,1.0
2013-11-01,2013,11,1.2
2013-12-01,2013,12,1.5
2014-01-01,2014,1,1.6
2014-02-01,2014,2,1.1
2014-03-01,2014,3,1.5
2014-04-01,2014,4,2.0
2014-05-01,2014,5,2.1
2014-06-01,2014,6,2.1
2014-07-01,2014,7,2.0
2014-08-01,2014,8,1.7
2014-09-01,2014,9,1.7
2014-10-01,2014,10,1.7
2014-11-01,2014,11,1.3
2014-12-01,2014,12,0.8
2015-01-01,2015,1,-0.1
2015-02-01,2015,2,0.0
2015-03-01,2015,3,-0.1
2015-04-01,2015,4,-0.2
2015-05-01,2015,5,0.0
2015-06-01,2015,6,0.1
2015-07-01,2015,7,0.2
2015-08-01,2015,8,0.2
2015-09-01,2015,9,0.0
2015-10-01,2015,10,0.2
2015-11-01,2015,11,0.5
2015-12-01,2015,12,0.7
2016-01-01,2016,1,1.4
2016-02-01,2016,2,1.0
2016-03-01,2016,3,0.9
2016-04-01,2016,4,1.1
2016-05-01,2016,5,1.0
2016-06-01,2016,6,1.0
2016-07-01,2016,7,0.8
2016-08-01,2016,8,1.1
2016-09-01,2016,9,1.5
2016-10-01,2016,10,1.6
2016-11-01,2016,11,1.7
2016-12-01,2016,12,2.1
2017-01-01,2017,1,2.5
2017-02-01,2017,2,2.7
2017-03-01,2017,3,2.4
2017-04-01,2017,4,2.2
2017-05-01,2017,5,1.9
2017-06-01,2017,6,1.6
2017-07-01,2017,7,1.7
2017-08-01,2017,8,1.9
2017-09-01,2017,9,2.2
2017-10-01,2017,10,2.0
2017-11-01,2017,11,2.2
2017-12-01,2017,12,2.1
2018-01-01,2018,1,2.1
2018-02-01,2018,2,2.2
2018-03-01,2018,3,2.4
2018-04-01,2018,4,2.5
2018-05-01,2018,5,2.8
2018-06-01,2018,6,2.9
2018-07-01,2018,7,2.9
2018-08-01,2018,8,2.7
2018-09-01,2018,9,2.3
2018-10-01,2018,10,2.5
2018-11-01,2018,11,2.2
2018-12-01,2018,12,1.9
2019-01-01,2019,1,1.6
2019-02-01,2019,2,1.5
2019-03-01,2019,3,1.9
2019-04-01,2019,4,2.0
2019-05-01,2019,5,1.8
2019-06-01,2019,6,1.6
2019-07-01,2019,7,1.8
2019-08-01,2019,8,1.7
2019-09-01,2019,9,1.7
2019-10-01,2019,10,1.8
2019-11-01,2019,11,2.1
2019-12-01,2019,12,2.3
2020-01-01,2020,1,2.5
2020-02-01,2020,2,2.3
2020-03-01,2020,3,1.5
2020-04-01,2020,4,0.3
2020-05-01,2020,5,0.1
2020-06-01,2020,6,0.6
2020-07-01,2020,7,1.0
2020-08-01,2020,8,1.3
2020-09-01,2020,9,1.4
2020-10-01,2020,10,1.2
2020-11-01,2020,11,1.2
2020-12-01,2020,12,1.4
2021-01-01,2021,1,1.4
2021-02-01,2021,2,1.7
2021-03-01,2021,3,2.6
2021-04-01,2021,4,4.2
2021-05-01,2021,5,5.0
2021-06-01,2021,6,5.4
2021-07-01,2021,7,5.4
2021-08-01,2021,8,5.3
2021-09-01,2021,9,5.4
2021-10-01,2021,10,6.2
2021-11-01,2021,11,6.8
2021-12-01,2021,12,0.0
