Date,Open,High,Low,Close,Average
2001-03-14,3.148,3.148,3.148,3.148,3.148
2001-03-15,3.15,3.15,3.15,3.15,3.15
2001-03-19,3.158,3.158,3.158,3.158,3.158
2001-03-20,3.161,3.161,3.161,3.161,3.161
2001-03-22,3.165,3.165,3.165,3.165,3.165
2001-03-23,3.165,3.165,3.165,3.165,3.165
2001-04-09,3.217,3.217,3.217,3.217,3.217
2001-04-11,3.219,3.219,3.219,3.219,3.219
2001-04-12,3.224,3.224,3.224,3.224,3.224
2001-04-13,3.218,3.218,3.218,3.218,3.218
2001-04-26,3.218,3.218,3.218,3.218,3.218
2001-05-14,3.218,3.218,3.218,3.218,3.218
2001-05-17,3.218,3.218,3.218,3.218,3.218
2001-05-29,3.255,3.255,3.255,3.255,3.255
2001-06-05,24.159,24.159,24.159,24.159,24.159
2001-06-07,24.253,24.253,24.253,24.253,24.253
2001-06-08,3.307,3.307,3.307,3.307,3.307
2001-06-11,3.307,3.307,3.307,3.307,3.307
2001-06-20,3.307,3.307,3.307,3.307,3.307
2001-06-28,3.351,3.351,3.351,3.351,3.351
2001-07-02,2.579,2.579,2.579,2.579,2.579
2001-07-31,2.471,2.471,2.471,2.471,2.471
2001-08-01,2.565,2.565,2.565,2.565,2.565
2001-08-07,2.565,2.565,2.565,2.565,2.565
2001-08-22,2.565,2.565,2.565,2.565,2.565
2001-08-24,2.565,2.565,2.565,2.565,2.565
2001-08-27,3.185,3.185,3.185,3.185,3.185
2001-09-05,3.185,3.185,3.185,3.185,3.185
2001-09-17,3.183,3.183,3.183,3.183,3.183
2001-09-26,3.183,3.183,3.183,3.183,3.183
2001-11-01,2.821,2.821,2.821,2.821,2.821
2001-11-02,2.792,2.792,2.792,2.792,2.792
2001-11-12,2.965,2.965,2.965,2.965,2.965
2001-11-22,3.184,3.184,3.184,3.184,3.184
2001-12-28,2.513,2.513,2.513,2.513,2.513
2002-01-08,2.513,2.513,2.513,2.513,2.513
2002-01-09,2.513,2.513,2.513,2.513,2.513
2002-01-25,2.513,2.513,2.513,2.513,2.513
2002-01-30,2.498,2.498,2.498,2.498,2.498
2002-02-01,2.498,2.498,2.498,2.498,2.498
2002-02-12,2.498,2.498,2.498,2.498,2.498
2002-02-13,2.498,2.498,2.498,2.498,2.498
2002-02-21,2.498,2.498,2.498,2.498,2.498
2002-02-28,2.498,2.498,2.498,2.498,2.498
2002-03-08,2.498,2.498,2.498,2.498,2.498
2002-03-11,2.498,2.498,2.498,2.498,2.498
2002-03-12,2.498,2.498,2.498,2.498,2.498
2002-03-15,2.498,2.498,2.498,2.498,2.498
2002-03-18,2.498,2.498,2.498,2.498,2.498
2002-04-01,2.498,2.498,2.498,2.498,2.498
2002-04-10,2.984,2.984,2.984,2.984,2.984
2002-04-16,2.365,2.365,2.365,2.365,2.365
2002-04-19,2.18,2.18,2.18,2.18,2.18
2002-04-22,1.908,1.908,1.908,1.908,1.908
2002-04-23,2.313,2.313,2.313,2.313,2.313
2002-04-25,2.586,2.586,2.586,2.586,2.586
2002-05-01,1.841,1.841,1.841,1.841,1.841
2002-05-02,2.103,2.103,2.103,2.103,2.103
2002-05-03,2.103,2.103,2.103,2.103,2.103
2002-05-09,2.092,2.092,2.092,2.092,2.092
2002-05-10,2.122,2.122,2.122,2.122,2.122
2002-05-14,2.133,2.133,2.133,2.133,2.133
2002-05-16,2.15,2.15,2.15,2.15,2.15
2002-05-17,2.132,2.132,2.132,2.132,2.132
2002-05-20,2.128,2.128,2.128,2.128,2.128
2002-05-21,2.13,2.13,2.13,2.13,2.13
2002-05-22,2.129,2.129,2.129,2.129,2.129
2002-05-23,2.126,2.126,2.126,2.126,2.126
2002-05-24,2.118,2.118,2.118,2.118,2.118
2002-05-27,2.103,2.103,2.103,2.103,2.103
2002-05-30,2.075,2.075,2.075,2.075,2.075
2002-06-03,2.042,2.042,2.042,2.042,2.042
2002-06-04,1.986,1.986,1.986,1.986,1.986
2002-06-05,1.99,1.99,1.99,1.99,1.99
2002-06-06,2.004,2.004,2.004,2.004,2.004
2002-06-07,2.003,2.003,2.003,2.003,2.003
2002-06-10,2.033,2.033,2.033,2.033,2.033
2002-06-11,2.03,2.03,2.03,2.03,2.03
2002-06-13,2.032,2.032,2.032,2.032,2.032
2002-06-14,2.038,2.038,2.038,2.038,2.038
2002-06-17,2.044,2.044,2.044,2.044,2.044
2002-06-19,2.025,2.025,2.025,2.025,2.025
2002-06-21,2.104,2.104,2.104,2.104,2.104
2002-06-24,2.053,2.053,2.053,2.053,2.053
2002-06-25,2.051,2.051,2.051,2.051,2.051
2002-06-26,2.084,2.084,2.084,2.084,2.084
2002-06-27,2.088,2.088,2.088,2.088,2.088
2002-06-28,2.106,2.106,2.106,2.106,2.106
2002-07-03,2.219,2.219,2.219,2.219,2.219
2002-07-09,2.09,2.09,2.09,2.09,2.09
