Date,Open,High,Low,Close,Average
2000-01-03,10.593,10.593,10.593,10.593,10.593
2000-01-04,10.614,10.614,10.614,10.614,10.614
2000-01-05,10.656,10.656,10.656,10.656,10.656
2000-01-06,10.712,10.712,10.712,10.712,10.712
2000-01-07,10.714,10.714,10.714,10.714,10.714
2000-01-10,10.686,10.686,10.686,10.686,10.686
2000-01-11,10.672,10.672,10.672,10.672,10.672
2000-01-12,10.682,10.682,10.682,10.682,10.682
2000-01-13,10.69,10.69,10.69,10.69,10.69
2000-01-14,10.678,10.678,10.678,10.678,10.678
2000-01-17,10.467,10.467,10.467,10.467,10.467
2000-01-18,10.45,10.45,10.45,10.45,10.45
2000-01-19,10.412,10.412,10.412,10.412,10.412
2000-01-20,10.403,10.403,10.403,10.403,10.403
2000-01-21,10.408,10.408,10.408,10.408,10.408
2000-01-24,10.414,10.414,10.414,10.414,10.414
2000-01-25,10.435,10.435,10.435,10.435,10.435
2000-01-27,10.448,10.448,10.448,10.448,10.448
2000-01-28,10.404,10.404,10.404,10.404,10.404
2000-01-31,10.394,10.394,10.394,10.394,10.394
2000-02-01,10.37,10.37,10.37,10.37,10.37
2000-02-02,10.337,10.337,10.337,10.337,10.337
2000-02-03,10.235,10.235,10.235,10.235,10.235
2000-02-04,10.127,10.127,10.127,10.127,10.127
2000-02-07,10.048,10.048,10.048,10.048,10.048
2000-02-08,10.036,10.036,10.036,10.036,10.036
2000-02-09,9.977,9.977,9.977,9.977,9.977
2000-02-10,9.99,9.99,9.99,9.99,9.99
2000-02-11,9.904,9.904,9.904,9.904,9.904
2000-02-14,9.762,9.762,9.762,9.762,9.762
2000-02-15,10.012,10.012,10.012,10.012,10.012
2000-02-16,10.025,10.025,10.025,10.025,10.025
2000-02-17,10.078,10.078,10.078,10.078,10.078
2000-02-18,9.97,9.97,9.97,9.97,9.97
2000-02-21,9.955,9.955,9.955,9.955,9.955
2000-02-22,9.951,9.951,9.951,9.951,9.951
2000-02-23,9.953,9.953,9.953,9.953,9.953
2000-02-24,9.955,9.955,9.955,9.955,9.955
2000-02-25,9.957,9.957,9.957,9.957,9.957
2000-02-28,9.944,9.944,9.944,9.944,9.944
2000-02-29,9.89,9.89,9.89,9.89,9.89
2000-03-01,9.987,9.987,9.987,9.987,9.987
2000-03-02,10.162,10.162,10.162,10.162,10.162
2000-03-03,10.311,10.311,10.311,10.311,10.311
2000-03-06,10.336,10.336,10.336,10.336,10.336
2000-03-10,10.128,10.128,10.128,10.128,10.128
2000-03-11,10.125,10.125,10.125,10.125,10.125
2000-03-13,10.207,10.207,10.207,10.207,10.207
2000-03-14,10.26,10.26,10.26,10.26,10.26
2000-03-15,10.246,10.246,10.246,10.246,10.246
2000-03-16,10.252,10.252,10.252,10.252,10.252
2000-03-18,10.239,10.239,10.239,10.239,10.239
2000-03-21,10.267,10.267,10.267,10.267,10.267
2000-03-22,10.293,10.293,10.293,10.293,10.293
2000-03-23,10.347,10.347,10.347,10.347,10.347
2000-03-24,10.369,10.369,10.369,10.369,10.369
2000-03-25,10.371,10.371,10.371,10.371,10.371
2000-03-27,10.496,10.496,10.496,10.496,10.496
2000-03-28,10.523,10.523,10.523,10.523,10.523
2000-03-29,10.425,10.425,10.425,10.425,10.425
2000-03-30,10.41,10.41,10.41,10.41,10.41
2000-03-31,10.249,10.249,10.249,10.249,10.249
2000-04-03,9.967,9.967,9.967,9.967,9.967
2000-04-04,9.966,9.966,9.966,9.966,9.966
2000-04-06,9.944,9.944,9.944,9.944,9.944
2000-04-07,9.916,9.916,9.916,9.916,9.916
2000-04-08,9.896,9.896,9.896,9.896,9.896
2000-04-10,9.842,9.842,9.842,9.842,9.842
2000-04-11,9.808,9.808,9.808,9.808,9.808
2000-04-13,9.819,9.819,9.819,9.819,9.819
2000-04-17,9.817,9.817,9.817,9.817,9.817
2000-04-18,9.802,9.802,9.802,9.802,9.802
2000-04-19,9.812,9.812,9.812,9.812,9.812
2000-04-20,9.797,9.797,9.797,9.797,9.797
2000-04-22,9.795,9.795,9.795,9.795,9.795
2000-04-24,9.798,9.798,9.798,9.798,9.798
2000-04-25,9.8,9.8,9.8,9.8,9.8
2000-04-26,9.777,9.777,9.777,9.777,9.777
2000-04-27,9.775,9.775,9.775,9.775,9.775
2000-04-28,9.714,9.714,9.714,9.714,9.714
2000-04-29,9.715,9.715,9.715,9.715,9.715
2000-05-02,9.745,9.745,9.745,9.745,9.745
2000-05-03,9.76,9.76,9.76,9.76,9.76
2000-05-04,9.718,9.718,9.718,9.718,9.718
2000-05-05,9.699,9.699,9.699,9.699,9.699
2000-05-06,9.658,9.658,9.658,9.658,9.658
2000-05-08,9.807,9.807,9.807,9.807,9.807
2000-05-09,9.786,9.786,9.786,9.786,9.786
2000-05-10,9.819,9.819,9.819,9.819,9.819
2000-05-11,9.809,9.809,9.809,9.809,9.809
2000-05-12,9.809,9.809,9.809,9.809,9.809
2000-05-13,9.8,9.8,9.8,9.8,9.8
2000-05-15,9.808,9.808,9.808,9.808,9.808
2000-05-16,9.81,9.81,9.81,9.81,9.81
2000-05-17,9.81,9.81,9.81,9.81,9.81
2000-05-19,9.833,9.833,9.833,9.833,9.833
2000-05-20,9.815,9.815,9.815,9.815,9.815
2000-05-22,9.83,9.83,9.83,9.83,9.83
2000-05-23,9.843,9.843,9.843,9.843,9.843
2000-05-24,9.909,9.909,9.909,9.909,9.909
2000-05-25,9.895,9.895,9.895,9.895,9.895
2000-05-26,10.0,10.0,10.0,10.0,10.0
2000-05-27,10.027,10.027,10.027,10.027,10.027
2000-05-29,9.934,9.934,9.934,9.934,9.934
2000-05-30,9.895,9.895,9.895,9.895,9.895
2000-05-31,9.861,9.861,9.861,9.861,9.861
2000-06-01,9.895,9.895,9.895,9.895,9.895
2000-06-02,9.921,9.921,9.921,9.921,9.921
2000-06-03,9.907,9.907,9.907,9.907,9.907
