Date,Open,High,Low,Close,Average
2000-01-01,6.07,6.07,6.07,6.07,6.07
2000-01-03,6.113,6.113,6.113,6.113,6.113
2000-01-04,6.25,6.25,6.25,6.25,6.25
2000-01-05,6.307,6.307,6.307,6.307,6.307
2000-01-06,6.33,6.33,6.33,6.33,6.33
2000-01-07,6.299,6.299,6.299,6.299,6.299
2000-01-10,6.22,6.22,6.22,6.22,6.22
2000-01-11,6.296,6.296,6.296,6.296,6.296
2000-01-12,6.327,6.327,6.327,6.327,6.327
2000-01-13,6.269,6.269,6.269,6.269,6.269
2000-01-14,6.285,6.285,6.285,6.285,6.285
2000-01-17,6.342,6.342,6.342,6.342,6.342
2000-01-18,6.426,6.426,6.426,6.426,6.426
2000-01-19,6.376,6.376,6.376,6.376,6.376
2000-01-20,6.424,6.424,6.424,6.424,6.424
2000-01-21,6.389,6.389,6.389,6.389,6.389
2000-01-24,6.377,6.377,6.377,6.377,6.377
2000-01-25,6.328,6.328,6.328,6.328,6.328
2000-01-26,6.299,6.299,6.299,6.299,6.299
2000-01-27,6.384,6.384,6.384,6.384,6.384
2000-01-28,6.412,6.412,6.412,6.412,6.412
2000-01-29,6.412,6.412,6.412,6.412,6.412
2000-01-31,6.332,6.332,6.332,6.332,6.332
2000-02-01,6.228,6.228,6.228,6.228,6.228
2000-02-02,6.233,6.233,6.233,6.233,6.233
2000-02-03,6.218,6.218,6.218,6.218,6.218
2000-02-04,6.275,6.275,6.275,6.275,6.275
2000-02-07,6.306,6.306,6.306,6.306,6.306
2000-02-08,6.267,6.267,6.267,6.267,6.267
2000-02-09,6.294,6.294,6.294,6.294,6.294
2000-02-10,6.301,6.301,6.301,6.301,6.301
2000-02-11,6.23,6.23,6.23,6.23,6.23
2000-02-14,6.147,6.147,6.147,6.147,6.147
2000-02-15,6.171,6.171,6.171,6.171,6.171
2000-02-16,6.292,6.292,6.292,6.292,6.292
2000-02-17,6.253,6.253,6.253,6.253,6.253
2000-02-18,6.218,6.218,6.218,6.218,6.218
2000-02-21,6.15,6.15,6.15,6.15,6.15
2000-02-22,6.072,6.072,6.072,6.072,6.072
2000-02-23,6.084,6.084,6.084,6.084,6.084
2000-02-24,6.009,6.009,6.009,6.009,6.009
2000-02-25,6.006,6.006,6.006,6.006,6.006
2000-02-26,6.005,6.005,6.005,6.005,6.005
2000-02-27,6.005,6.005,6.005,6.005,6.005
2000-02-28,6.012,6.012,6.012,6.012,6.012
2000-02-29,6.063,6.063,6.063,6.063,6.063
2000-03-01,6.031,6.031,6.031,6.031,6.031
2000-03-02,6.05,6.05,6.05,6.05,6.05
2000-03-03,5.993,5.993,5.993,5.993,5.993
2000-03-06,5.962,5.962,5.962,5.962,5.962
2000-03-07,5.966,5.966,5.966,5.966,5.966
2000-03-08,5.963,5.963,5.963,5.963,5.963
2000-03-09,5.936,5.936,5.936,5.936,5.936
2000-03-10,5.969,5.969,5.969,5.969,5.969
2000-03-11,5.952,5.952,5.952,5.952,5.952
2000-03-13,5.949,5.949,5.949,5.949,5.949
2000-03-14,5.971,5.971,5.971,5.971,5.971
2000-03-15,5.97,5.97,5.97,5.97,5.97
2000-03-16,5.909,5.909,5.909,5.909,5.909
2000-03-17,5.865,5.865,5.865,5.865,5.865
2000-03-18,5.871,5.871,5.871,5.871,5.871
2000-03-20,5.869,5.869,5.869,5.869,5.869
2000-03-21,5.89,5.89,5.89,5.89,5.89
2000-03-22,5.902,5.902,5.902,5.902,5.902
2000-03-23,5.902,5.902,5.902,5.902,5.902
2000-03-24,5.92,5.92,5.92,5.92,5.92
2000-03-25,5.92,5.92,5.92,5.92,5.92
2000-03-26,5.92,5.92,5.92,5.92,5.92
2000-03-27,6.069,6.069,6.069,6.069,6.069
2000-03-28,6.024,6.024,6.024,6.024,6.024
2000-03-29,6.039,6.039,6.039,6.039,6.039
2000-03-30,5.948,5.948,5.948,5.948,5.948
2000-03-31,5.949,5.949,5.949,5.949,5.949
2000-04-01,5.949,5.949,5.949,5.949,5.949
2000-04-02,5.949,5.949,5.949,5.949,5.949
2000-04-03,5.895,5.895,5.895,5.895,5.895
2000-04-04,5.919,5.919,5.919,5.919,5.919
2000-04-05,5.852,5.852,5.852,5.852,5.852
2000-04-06,5.884,5.884,5.884,5.884,5.884
2000-04-07,5.848,5.848,5.848,5.848,5.848
2000-04-08,5.848,5.848,5.848,5.848,5.848
2000-04-10,5.889,5.889,5.889,5.889,5.889
2000-04-11,5.84,5.84,5.84,5.84,5.84
2000-04-12,5.867,5.867,5.867,5.867,5.867
2000-04-13,5.878,5.878,5.878,5.878,5.878
2000-04-14,5.88,5.88,5.88,5.88,5.88
2000-04-15,5.88,5.88,5.88,5.88,5.88
2000-04-17,5.879,5.879,5.879,5.879,5.879
2000-04-18,5.889,5.889,5.889,5.889,5.889
2000-04-19,5.903,5.903,5.903,5.903,5.903
2000-04-20,5.921,5.921,5.921,5.921,5.921
2000-04-21,5.921,5.921,5.921,5.921,5.921
2000-04-22,5.921,5.921,5.921,5.921,5.921
2000-04-23,5.921,5.921,5.921,5.921,5.921
2000-04-24,5.921,5.921,5.921,5.921,5.921
2000-04-25,5.945,5.945,5.945,5.945,5.945
2000-04-26,5.888,5.888,5.888,5.888,5.888
2000-04-27,5.833,5.833,5.833,5.833,5.833
2000-04-28,5.753,5.753,5.753,5.753,5.753
2000-05-02,5.755,5.755,5.755,5.755,5.755
2000-05-03,5.749,5.749,5.749,5.749,5.749
2000-05-04,5.808,5.808,5.808,5.808,5.808
2000-05-05,5.846,5.846,5.846,5.846,5.846
2000-05-06,5.868,5.868,5.868,5.868,5.868
2000-05-08,5.839,5.839,5.839,5.839,5.839
2000-05-09,5.801,5.801,5.801,5.801,5.801
2000-05-10,5.818,5.818,5.818,5.818,5.818
2000-05-11,5.922,5.922,5.922,5.922,5.922
2000-05-12,5.933,5.933,5.933,5.933,5.933
2000-05-15,5.895,5.895,5.895,5.895,5.895
2000-05-16,5.905,5.905,5.905,5.905,5.905
2000-05-17,5.951,5.951,5.951,5.951,5.951
2000-05-18,5.978,5.978,5.978,5.978,5.978
2000-05-19,5.959,5.959,5.959,5.959,5.959
2000-05-20,5.959,5.959,5.959,5.959,5.959
2000-05-21,5.959,5.959,5.959,5.959,5.959
2000-05-22,5.876,5.876,5.876,5.876,5.876
2000-05-23,5.94,5.94,5.94,5.94,5.94
2000-05-24,5.905,5.905,5.905,5.905,5.905
2000-05-25,5.857,5.857,5.857,5.857,5.857
2000-05-26,5.799,5.799,5.799,5.799,5.799
2000-05-27,5.799,5.799,5.799,5.799,5.799
2000-05-28,5.799,5.799,5.799,5.799,5.799
2000-05-29,5.799,5.799,5.799,5.799,5.799
2000-05-30,5.826,5.826,5.826,5.826,5.826
2000-05-31,5.763,5.763,5.763,5.763,5.763
2000-06-01,5.652,5.652,5.652,5.652,5.652
2000-06-02,5.618,5.618,5.618,5.618,5.618
2000-06-03,5.617,5.617,5.617,5.617,5.617
2000-06-04,5.617,5.617,5.617,5.617,5.617
2000-06-05,5.652,5.652,5.652,5.652,5.652
2000-06-06,5.662,5.662,5.662,5.662,5.662
2000-06-07,5.664,5.664,5.664,5.664,5.664
2000-06-08,5.703,5.703,5.703,5.703,5.703
2000-06-09,5.671,5.671,5.671,5.671,5.671
2000-06-10,5.671,5.671,5.671,5.671,5.671
2000-06-11,5.671,5.671,5.671,5.671,5.671
2000-06-12,5.713,5.713,5.713,5.713,5.713
2000-06-13,5.683,5.683,5.683,5.683,5.683
2000-06-14,5.649,5.649,5.649,5.649,5.649
2000-06-15,5.644,5.644,5.644,5.644,5.644
2000-06-16,5.581,5.581,5.581,5.581,5.581
2000-06-17,5.581,5.581,5.581,5.581,5.581
2000-06-18,5.581,5.581,5.581,5.581,5.581
2000-06-19,5.563,5.563,5.563,5.563,5.563
2000-06-20,5.593,5.593,5.593,5.593,5.593
2000-06-21,5.665,5.665,5.665,5.665,5.665
2000-06-22,5.647,5.647,5.647,5.647,5.647
2000-06-23,5.685,5.685,5.685,5.685,5.685
2000-06-26,5.687,5.687,5.687,5.687,5.687
2000-06-27,5.689,5.689,5.689,5.689,5.689
2000-06-28,5.709,5.709,5.709,5.709,5.709
2000-06-29,5.63,5.63,5.63,5.63,5.63
2000-06-30,5.625,5.625,5.625,5.625,5.625
2000-07-01,5.625,5.625,5.625,5.625,5.625
2000-07-03,5.635,5.635,5.635,5.635,5.635
2000-07-04,5.611,5.611,5.611,5.611,5.611
2000-07-05,5.575,5.575,5.575,5.575,5.575
2000-07-06,5.628,5.628,5.628,5.628,5.628
2000-07-07,5.562,5.562,5.562,5.562,5.562
2000-07-10,5.595,5.595,5.595,5.595,5.595
2000-07-11,5.592,5.592,5.592,5.592,5.592
2000-07-12,5.573,5.573,5.573,5.573,5.573
2000-07-13,5.567,5.567,5.567,5.567,5.567
2000-07-14,5.616,5.616,5.616,5.616,5.616
2000-07-15,5.616,5.616,5.616,5.616,5.616
2000-07-16,5.616,5.616,5.616,5.616,5.616
2000-07-17,5.651,5.651,5.651,5.651,5.651
2000-07-18,5.659,5.659,5.659,5.659,5.659
2000-07-19,5.65,5.65,5.65,5.65,5.65
2000-07-20,5.688,5.688,5.688,5.688,5.688
2000-07-21,5.671,5.671,5.671,5.671,5.671
2000-07-22,5.67,5.67,5.67,5.67,5.67
2000-07-23,5.67,5.67,5.67,5.67,5.67
2000-07-24,5.696,5.696,5.696,5.696,5.696
2000-07-25,5.667,5.667,5.667,5.667,5.667
2000-07-26,5.643,5.643,5.643,5.643,5.643
2000-07-27,5.661,5.661,5.661,5.661,5.661
2000-07-28,5.708,5.708,5.708,5.708,5.708
2000-07-29,5.707,5.707,5.707,5.707,5.707
