Date,Open,High,Low,Close,Average
2000-01-03,6.511,6.511,6.511,6.511,6.511
2000-01-04,6.396,6.396,6.396,6.396,6.396
2000-01-05,6.489,6.489,6.489,6.489,6.489
2000-01-06,6.419,6.419,6.419,6.419,6.419
2000-01-07,6.413,6.413,6.413,6.413,6.413
2000-01-10,6.467,6.467,6.467,6.467,6.467
2000-01-11,6.56,6.56,6.56,6.56,6.56
2000-01-12,6.607,6.607,6.607,6.607,6.607
2000-01-13,6.53,6.53,6.53,6.53,6.53
2000-01-14,6.585,6.585,6.585,6.585,6.585
2000-01-18,6.625,6.625,6.625,6.625,6.625
2000-01-19,6.609,6.609,6.609,6.609,6.609
2000-01-20,6.665,6.665,6.665,6.665,6.665
2000-01-21,6.642,6.642,6.642,6.642,6.642
2000-01-24,6.564,6.564,6.564,6.564,6.564
2000-01-25,6.588,6.588,6.588,6.588,6.588
2000-01-26,6.588,6.588,6.588,6.588,6.588
2000-01-27,6.675,6.675,6.675,6.675,6.675
2000-01-28,6.668,6.668,6.668,6.668,6.668
2000-01-31,6.685,6.685,6.685,6.685,6.685
2000-02-01,6.677,6.677,6.677,6.677,6.677
2000-02-02,6.662,6.662,6.662,6.662,6.662
2000-02-03,6.513,6.513,6.513,6.513,6.513
2000-02-04,6.655,6.655,6.655,6.655,6.655
2000-02-07,6.735,6.735,6.735,6.735,6.735
2000-02-08,6.727,6.727,6.727,6.727,6.727
2000-02-09,6.728,6.728,6.728,6.728,6.728
2000-02-10,6.768,6.768,6.768,6.768,6.768
2000-02-11,6.706,6.706,6.706,6.706,6.706
2000-02-14,6.674,6.674,6.674,6.674,6.674
2000-02-15,6.706,6.706,6.706,6.706,6.706
2000-02-16,6.699,6.699,6.699,6.699,6.699
2000-02-17,6.739,6.739,6.739,6.739,6.739
2000-02-18,6.685,6.685,6.685,6.685,6.685
2000-02-22,6.558,6.558,6.558,6.558,6.558
2000-02-23,6.63,6.63,6.63,6.63,6.63
2000-02-24,6.551,6.551,6.551,6.551,6.551
2000-02-25,6.473,6.473,6.473,6.473,6.473
2000-02-28,6.576,6.576,6.576,6.576,6.576
2000-02-29,6.593,6.593,6.593,6.593,6.593
2000-03-01,6.577,6.577,6.577,6.577,6.577
2000-03-02,6.593,6.593,6.593,6.593,6.593
2000-03-03,6.595,6.595,6.595,6.595,6.595
2000-03-06,6.619,6.619,6.619,6.619,6.619
2000-03-07,6.563,6.563,6.563,6.563,6.563
2000-03-08,6.58,6.58,6.58,6.58,6.58
2000-03-09,6.556,6.556,6.556,6.556,6.556
2000-03-10,6.597,6.597,6.597,6.597,6.597
2000-03-13,6.574,6.574,6.574,6.574,6.574
2000-03-14,6.494,6.494,6.494,6.494,6.494
2000-03-15,6.486,6.486,6.486,6.486,6.486
2000-03-16,6.471,6.471,6.471,6.471,6.471
2000-03-17,6.456,6.456,6.456,6.456,6.456
2000-03-20,6.456,6.456,6.456,6.456,6.456
2000-03-21,6.432,6.432,6.432,6.432,6.432
2000-03-22,6.409,6.409,6.409,6.409,6.409
2000-03-23,6.393,6.393,6.393,6.393,6.393
2000-03-24,6.506,6.506,6.506,6.506,6.506
2000-03-27,6.498,6.498,6.498,6.498,6.498
2000-03-28,6.451,6.451,6.451,6.451,6.451
2000-03-29,6.443,6.443,6.443,6.443,6.443
2000-03-30,6.331,6.331,6.331,6.331,6.331
2000-03-31,6.316,6.316,6.316,6.316,6.316
2000-04-03,6.268,6.268,6.268,6.268,6.268
2000-04-04,6.149,6.149,6.149,6.149,6.149
2000-04-05,6.133,6.133,6.133,6.133,6.133
2000-04-06,6.221,6.221,6.221,6.221,6.221
2000-04-07,6.174,6.174,6.174,6.174,6.174
2000-04-10,6.063,6.063,6.063,6.063,6.063
2000-04-11,6.176,6.176,6.176,6.176,6.176
2000-04-12,6.234,6.234,6.234,6.234,6.234
2000-04-13,6.203,6.203,6.203,6.203,6.203
2000-04-14,6.111,6.111,6.111,6.111,6.111
2000-04-17,6.274,6.274,6.274,6.274,6.274
2000-04-18,6.272,6.272,6.272,6.272,6.272
2000-04-19,6.24,6.24,6.24,6.24,6.24
2000-04-20,6.249,6.249,6.249,6.249,6.249
2000-04-24,6.276,6.276,6.276,6.276,6.276
2000-04-25,6.389,6.389,6.389,6.389,6.389
2000-04-26,6.391,6.391,6.391,6.391,6.391
2000-04-27,6.516,6.516,6.516,6.516,6.516
2000-04-28,6.54,6.54,6.54,6.54,6.54
2000-05-01,6.594,6.594,6.594,6.594,6.594
2000-05-02,6.598,6.598,6.598,6.598,6.598
2000-05-03,6.683,6.683,6.683,6.683,6.683
2000-05-04,6.692,6.692,6.692,6.692,6.692
2000-05-05,6.766,6.766,6.766,6.766,6.766
2000-05-08,6.827,6.827,6.827,6.827,6.827
2000-05-09,6.788,6.788,6.788,6.788,6.788
2000-05-10,6.668,6.668,6.668,6.668,6.668
2000-05-11,6.668,6.668,6.668,6.668,6.668
2000-05-12,6.772,6.772,6.772,6.772,6.772
2000-05-15,6.709,6.709,6.709,6.709,6.709
2000-05-16,6.724,6.724,6.724,6.724,6.724
2000-05-17,6.75,6.75,6.75,6.75,6.75
2000-05-18,6.78,6.78,6.78,6.78,6.78
2000-05-19,6.714,6.714,6.714,6.714,6.714
2000-05-22,6.665,6.665,6.665,6.665,6.665
2000-05-23,6.662,6.662,6.662,6.662,6.662
2000-05-24,6.706,6.706,6.706,6.706,6.706
2000-05-25,6.641,6.641,6.641,6.641,6.641
2000-05-26,6.577,6.577,6.577,6.577,6.577
2000-05-30,6.629,6.629,6.629,6.629,6.629
2000-05-31,6.567,6.567,6.567,6.567,6.567
2000-06-01,6.439,6.439,6.439,6.439,6.439
2000-06-02,6.39,6.39,6.39,6.39,6.39
2000-06-05,6.364,6.364,6.364,6.364,6.364
2000-06-06,6.351,6.351,6.351,6.351,6.351
2000-06-07,6.373,6.373,6.373,6.373,6.373
2000-06-08,6.361,6.361,6.361,6.361,6.361
2000-06-09,6.37,6.37,6.37,6.37,6.37
2000-06-12,6.314,6.314,6.314,6.314,6.314
2000-06-13,6.319,6.319,6.319,6.319,6.319
2000-06-14,6.256,6.256,6.256,6.256,6.256
2000-06-15,6.263,6.263,6.263,6.263,6.263
2000-06-16,6.187,6.187,6.187,6.187,6.187
2000-06-19,6.205,6.205,6.205,6.205,6.205
2000-06-20,6.232,6.232,6.232,6.232,6.232
2000-06-21,6.312,6.312,6.312,6.312,6.312
2000-06-22,6.315,6.315,6.315,6.315,6.315
