Date,Open,High,Low,Close,Currency,Average
2000-01-04,5.29,5.29,5.29,5.335,USD,5.29
2000-01-05,5.17,5.17,5.17,5.17,USD,5.17
2000-01-06,5.127,5.127,5.127,5.127,USD,5.127
2000-01-07,5.15,5.15,5.15,5.15,USD,5.15
2000-01-10,5.145,5.145,5.145,5.145,USD,5.145
2000-01-11,5.195,5.195,5.195,5.15,USD,5.195
2000-01-12,5.1,5.1,5.1,5.1,USD,5.1
2000-01-13,5.11,5.11,5.11,5.115,USD,5.11
2000-01-14,5.112,5.112,5.112,5.112,USD,5.112
2000-01-18,5.127,5.127,5.127,5.127,USD,5.127
2000-01-19,5.135,5.135,5.135,5.135,USD,5.135
2000-01-20,5.2,5.2,5.2,5.219,USD,5.2
2000-01-21,5.222,5.222,5.222,5.222,USD,5.222
2000-01-24,5.255,5.255,5.255,5.255,USD,5.255
2000-01-25,5.277,5.277,5.277,5.277,USD,5.277
2000-01-26,5.25,5.25,5.25,5.25,USD,5.25
2000-01-27,5.382,5.382,5.382,5.382,USD,5.382
2000-01-28,5.307,5.307,5.307,5.307,USD,5.307
2000-01-31,5.287,5.287,5.287,5.287,USD,5.287
2000-02-01,5.26,5.26,5.26,5.223,USD,5.26
2000-02-02,5.21,5.21,5.21,5.212,USD,5.21
2000-02-03,5.23,5.23,5.23,5.26,USD,5.23
2000-02-04,5.3,5.42,5.3,5.547,USD,5.36
2000-02-07,5.26,5.26,5.26,5.26,USD,5.26
2000-02-08,5.318,5.318,5.318,5.318,USD,5.318
2000-02-09,5.408,5.408,5.408,5.408,USD,5.408
2000-02-10,5.405,5.405,5.405,5.405,USD,5.405
2000-02-11,5.34,5.34,5.34,5.332,USD,5.34
2000-02-14,5.255,5.255,5.255,5.255,USD,5.255
2000-02-15,5.245,5.245,5.245,5.245,USD,5.245
2000-02-16,5.292,5.292,5.292,5.292,USD,5.292
2000-02-17,5.255,5.255,5.255,5.255,USD,5.255
2000-02-18,5.23,5.23,5.23,5.273,USD,5.23
2000-02-22,5.283,5.283,5.283,5.283,USD,5.283
2000-02-23,5.26,5.26,5.26,5.256,USD,5.26
2000-02-24,5.166,5.166,5.166,5.166,USD,5.166
2000-02-25,5.036,5.036,5.036,5.036,USD,5.036
2000-02-28,5.045,5.095,5.02,5.048,USD,5.0575
2000-02-29,5.065,5.09,5.035,5.048,USD,5.0625
2000-03-01,5.07,5.13,5.05,5.073,USD,5.09
2000-03-02,5.105,5.105,5.0,5.008,USD,5.0525
2000-03-03,5.02,5.11,5.0,5.099,USD,5.055
2000-03-06,5.09,5.09,5.05,5.053,USD,5.07
2000-03-07,5.09,5.095,5.085,5.069,USD,5.09
2000-03-08,5.08,5.09,5.05,5.077,USD,5.07
2000-03-09,5.055,5.115,5.055,5.097,USD,5.085
2000-03-10,5.14,5.14,5.06,5.064,USD,5.1
2000-03-13,5.095,5.095,5.08,5.064,USD,5.0875
2000-03-14,5.105,5.12,5.1,5.092,USD,5.11
2000-03-15,5.12,5.145,5.11,5.127,USD,5.1275
2000-03-16,5.1,5.11,5.075,5.087,USD,5.0925
