Date,Open,High,Low,Close,Fx_Currency,Average,Base_Currency
2000-01-03,1.594,1.5978,1.5615,1.5648,CHF,1.5796,USD
2000-01-04,1.564,1.5702,1.5514,1.5554,CHF,1.5608,USD
2000-01-05,1.557,1.5593,1.542,1.555,CHF,1.5507,USD
2000-01-06,1.5553,1.561,1.5422,1.5536,CHF,1.5516,USD
2000-01-07,1.551,1.5665,1.5484,1.5648,CHF,1.5575,USD
2000-01-10,1.5633,1.5753,1.5619,1.5685,CHF,1.5686,USD
2000-01-11,1.5685,1.57,1.5575,1.5585,CHF,1.5638,USD
2000-01-12,1.5585,1.5689,1.5518,1.5629,CHF,1.5604,USD
2000-01-13,1.5621,1.5742,1.5613,1.5723,CHF,1.5677,USD
2000-01-14,1.571,1.5959,1.5689,1.5925,CHF,1.5824,USD
2000-01-17,1.5943,1.6032,1.59,1.5963,CHF,1.5966,USD
2000-01-18,1.5963,1.6012,1.5905,1.5921,CHF,1.5958,USD
2000-01-19,1.5913,1.5999,1.5873,1.5942,CHF,1.5936,USD
2000-01-20,1.5928,1.6033,1.582,1.5835,CHF,1.5926,USD
2000-01-21,1.5832,1.6033,1.5802,1.5962,CHF,1.5917,USD
2000-01-24,1.6055,1.6134,1.599,1.6002,CHF,1.6062,USD
2000-01-25,1.5993,1.6139,1.5955,1.6115,CHF,1.6047,USD
2000-01-26,1.6105,1.6135,1.6028,1.6103,CHF,1.6081,USD
2000-01-27,1.6097,1.6345,1.6064,1.6323,CHF,1.6204,USD
2000-01-28,1.632,1.6544,1.63,1.6498,CHF,1.6422,USD
2000-01-31,1.6471,1.6621,1.6373,1.6566,CHF,1.6497,USD
2000-02-01,1.6567,1.662,1.6445,1.6562,CHF,1.6532,USD
2000-02-02,1.6553,1.6614,1.6439,1.6506,CHF,1.6526,USD
2000-02-03,1.65,1.6587,1.6158,1.6223,CHF,1.6372,USD
2000-02-04,1.6228,1.6488,1.6165,1.6345,CHF,1.6326,USD
2000-02-07,1.6325,1.6466,1.6322,1.6381,CHF,1.6394,USD
2000-02-08,1.637,1.6413,1.621,1.6313,CHF,1.6311,USD
2000-02-09,1.6311,1.6318,1.6145,1.6179,CHF,1.6231,USD
2000-02-10,1.6188,1.6325,1.6155,1.6302,CHF,1.624,USD
2000-02-11,1.63,1.6404,1.6245,1.6263,CHF,1.6324,USD
2000-02-14,1.6245,1.6439,1.619,1.6429,CHF,1.6315,USD
2000-02-15,1.6439,1.6451,1.6275,1.6367,CHF,1.6363,USD
2000-02-16,1.637,1.6401,1.624,1.6258,CHF,1.6321,USD
2000-02-17,1.6255,1.6306,1.6108,1.6238,CHF,1.6207,USD
2000-02-18,1.6239,1.6354,1.6195,1.627,CHF,1.6275,USD
2000-02-21,1.6275,1.6285,1.6216,1.6233,CHF,1.625,USD
2000-02-22,1.623,1.6236,1.5948,1.6022,CHF,1.6092,USD
2000-02-23,1.6012,1.6095,1.594,1.6065,CHF,1.6018,USD
2000-02-24,1.6058,1.6283,1.6045,1.6203,CHF,1.6164,USD
2000-02-25,1.6201,1.6539,1.6199,1.6503,CHF,1.6369,USD
2000-02-28,1.6505,1.6704,1.6493,1.6533,CHF,1.6599,USD
2000-02-29,1.6523,1.6702,1.6418,1.6645,CHF,1.656,USD
2000-03-01,1.6646,1.6685,1.6456,1.6507,CHF,1.657,USD
2000-03-02,1.6512,1.6713,1.6422,1.6633,CHF,1.6568,USD
2000-03-03,1.6648,1.6751,1.6593,1.6738,CHF,1.6672,USD
2000-03-06,1.6772,1.6796,1.6614,1.6766,CHF,1.6705,USD
2000-03-07,1.6765,1.6867,1.6705,1.6748,CHF,1.6786,USD
2000-03-08,1.6755,1.6861,1.6683,1.672,CHF,1.6772,USD
2000-03-09,1.6718,1.6729,1.6562,1.6633,CHF,1.6645,USD
2000-03-10,1.6625,1.6751,1.6586,1.6714,CHF,1.6669,USD
2000-03-13,1.672,1.6741,1.6549,1.6705,CHF,1.6645,USD
2000-03-14,1.6701,1.6789,1.664,1.6645,CHF,1.6715,USD
2000-03-15,1.664,1.6715,1.659,1.6665,CHF,1.6652,USD
2000-03-16,1.6675,1.6707,1.6532,1.6593,CHF,1.662,USD
2000-03-17,1.6623,1.6701,1.656,1.6585,CHF,1.663,USD
2000-03-20,1.6566,1.6652,1.6536,1.6566,CHF,1.6594,USD
2000-03-21,1.656,1.6729,1.6538,1.6724,CHF,1.6633,USD
2000-03-22,1.6755,1.6826,1.6705,1.6736,CHF,1.6766,USD
2000-03-23,1.674,1.6763,1.6444,1.6455,CHF,1.6603,USD
2000-03-24,1.6455,1.65,1.6231,1.6244,CHF,1.6365,USD
2000-03-27,1.6232,1.6489,1.6212,1.6435,CHF,1.6351,USD
2000-03-28,1.642,1.6569,1.638,1.6558,CHF,1.6475,USD
2000-03-29,1.6556,1.6807,1.6553,1.6759,CHF,1.668,USD
2000-03-30,1.676,1.6761,1.6555,1.6575,CHF,1.6658,USD
2000-03-31,1.6561,1.6698,1.6542,1.6646,CHF,1.662,USD
2000-04-03,1.6625,1.6723,1.648,1.6525,CHF,1.6601,USD
2000-04-04,1.6525,1.662,1.6102,1.6394,CHF,1.6361,USD
2000-04-05,1.6393,1.6438,1.6213,1.6365,CHF,1.6325,USD
2000-04-06,1.6375,1.6417,1.6294,1.6398,CHF,1.6355,USD
2000-04-07,1.639,1.6504,1.6324,1.6435,CHF,1.6414,USD
2000-04-10,1.644,1.6483,1.6332,1.6336,CHF,1.6408,USD
2000-04-11,1.6334,1.645,1.629,1.6418,CHF,1.637,USD
2000-04-12,1.6419,1.6556,1.6408,1.6428,CHF,1.6482,USD
2000-04-13,1.642,1.6539,1.64,1.6478,CHF,1.6469,USD
2000-04-14,1.648,1.6536,1.631,1.6313,CHF,1.6423,USD
2000-04-17,1.631,1.6499,1.62,1.6493,CHF,1.6349,USD
2000-04-18,1.6486,1.6689,1.648,1.6663,CHF,1.6584,USD
2000-04-19,1.6667,1.6776,1.6584,1.6694,CHF,1.668,USD
2000-04-20,1.6676,1.6811,1.666,1.6765,CHF,1.6736,USD
2000-04-21,1.676,1.6786,1.672,1.6753,CHF,1.6753,USD
2000-04-24,1.675,1.6767,1.662,1.6759,CHF,1.6694,USD
2000-04-25,1.6738,1.7138,1.6707,1.7081,CHF,1.6923,USD
2000-04-26,1.7069,1.7146,1.7005,1.7024,CHF,1.7075,USD
2000-04-27,1.702,1.7329,1.7003,1.7276,CHF,1.7166,USD
2000-04-28,1.727,1.739,1.716,1.7172,CHF,1.7275,USD
2000-05-01,1.717,1.7216,1.7049,1.7075,CHF,1.7132,USD
2000-05-02,1.7085,1.7249,1.7055,1.7139,CHF,1.7152,USD
2000-05-03,1.7115,1.738,1.711,1.7246,CHF,1.7245,USD
2000-05-04,1.7234,1.7436,1.7234,1.7399,CHF,1.7335,USD
2000-05-05,1.7378,1.74,1.7145,1.7295,CHF,1.7272,USD
2000-05-08,1.73,1.7378,1.7164,1.7248,CHF,1.7271,USD
2000-05-09,1.7251,1.7296,1.7139,1.7148,CHF,1.7218,USD
2000-05-10,1.7132,1.7211,1.7065,1.7191,CHF,1.7138,USD
2000-05-11,1.7235,1.7319,1.7077,1.7275,CHF,1.7198,USD
2000-05-12,1.7267,1.7297,1.6892,1.6924,CHF,1.7094,USD
2000-05-15,1.6926,1.7078,1.6917,1.7075,CHF,1.6997,USD
2000-05-16,1.707,1.7244,1.7064,1.7218,CHF,1.7154,USD
2000-05-17,1.7209,1.7424,1.7157,1.7342,CHF,1.729,USD
2000-05-18,1.7343,1.7432,1.7314,1.7387,CHF,1.7373,USD
2000-05-19,1.737,1.754,1.725,1.7271,CHF,1.7395,USD
2000-05-22,1.7286,1.7324,1.7134,1.7218,CHF,1.7229,USD
2000-05-23,1.7221,1.7321,1.706,1.7222,CHF,1.719,USD
2000-05-24,1.7211,1.7282,1.711,1.726,CHF,1.7196,USD
2000-05-25,1.7261,1.734,1.7114,1.7135,CHF,1.7227,USD
2000-05-26,1.711,1.7149,1.6754,1.6815,CHF,1.6951,USD
2000-05-29,1.6695,1.6978,1.6695,1.6916,CHF,1.6837,USD
2000-05-30,1.6906,1.6953,1.6706,1.6867,CHF,1.6829,USD
2000-05-31,1.6861,1.697,1.6797,1.681,CHF,1.6884,USD
2000-06-01,1.6802,1.6925,1.6784,1.6868,CHF,1.6854,USD
2000-06-02,1.6863,1.6895,1.658,1.6634,CHF,1.6738,USD
2000-06-05,1.6642,1.6716,1.6584,1.66,CHF,1.665,USD
2000-06-06,1.6596,1.6658,1.638,1.646,CHF,1.6519,USD
2000-06-07,1.6467,1.6477,1.6286,1.63,CHF,1.6381,USD
2000-06-08,1.6319,1.6475,1.6176,1.638,CHF,1.6325,USD
2000-06-09,1.6405,1.6541,1.6358,1.642,CHF,1.6449,USD
2000-06-12,1.6415,1.6487,1.632,1.6379,CHF,1.6403,USD
2000-06-13,1.6371,1.6397,1.6235,1.6288,CHF,1.6316,USD
2000-06-14,1.6305,1.6342,1.619,1.632,CHF,1.6266,USD
2000-06-15,1.6335,1.6458,1.6274,1.6365,CHF,1.6366,USD
2000-06-16,1.6356,1.6441,1.6152,1.6173,CHF,1.6296,USD
2000-06-19,1.6182,1.6314,1.6101,1.6307,CHF,1.6208,USD
2000-06-20,1.6302,1.6351,1.62,1.6287,CHF,1.6276,USD
2000-06-21,1.6286,1.6422,1.6285,1.6403,CHF,1.6354,USD
2000-06-22,1.638,1.6564,1.6352,1.6547,CHF,1.6458,USD
2000-06-23,1.6541,1.661,1.6442,1.6576,CHF,1.6526,USD
2000-06-26,1.6563,1.6652,1.6478,1.6517,CHF,1.6565,USD
2000-06-27,1.6505,1.6521,1.6325,1.6351,CHF,1.6423,USD
2000-06-28,1.6345,1.648,1.633,1.6464,CHF,1.6405,USD
2000-06-29,1.6445,1.652,1.6305,1.6357,CHF,1.6412,USD
2000-06-30,1.6375,1.638,1.6232,1.6344,CHF,1.6306,USD
2000-07-03,1.635,1.6399,1.631,1.6368,CHF,1.6355,USD
2000-07-04,1.6363,1.6411,1.6305,1.6328,CHF,1.6358,USD
2000-07-05,1.6326,1.6339,1.6186,1.6235,CHF,1.6262,USD
2000-07-06,1.623,1.6281,1.6138,1.6255,CHF,1.621,USD
2000-07-07,1.6261,1.6327,1.622,1.6275,CHF,1.6274,USD
2000-07-10,1.6265,1.6297,1.6194,1.6232,CHF,1.6245,USD
2000-07-11,1.6229,1.6344,1.6196,1.6279,CHF,1.627,USD
2000-07-12,1.628,1.6551,1.6274,1.6521,CHF,1.6412,USD
2000-07-13,1.6526,1.6637,1.6503,1.654,CHF,1.657,USD
2000-07-14,1.6538,1.6607,1.6504,1.6512,CHF,1.6556,USD
2000-07-17,1.6505,1.6589,1.6461,1.6534,CHF,1.6525,USD
2000-07-18,1.6537,1.6787,1.653,1.6752,CHF,1.6659,USD
2000-07-19,1.6744,1.6858,1.672,1.6762,CHF,1.6789,USD
2000-07-20,1.6766,1.6839,1.6598,1.6618,CHF,1.6719,USD
2000-07-21,1.6616,1.6675,1.6549,1.6605,CHF,1.6612,USD
2000-07-24,1.6601,1.6704,1.6579,1.6648,CHF,1.6642,USD
2000-07-25,1.6646,1.6673,1.6475,1.6534,CHF,1.6574,USD
2000-07-26,1.6532,1.6552,1.6424,1.6479,CHF,1.6488,USD
2000-07-27,1.6471,1.6644,1.6455,1.6638,CHF,1.6549,USD
2000-07-28,1.6632,1.6788,1.6597,1.6757,CHF,1.6692,USD
2000-07-31,1.6745,1.6795,1.665,1.6708,CHF,1.6723,USD
2000-08-01,1.6703,1.6925,1.6627,1.6893,CHF,1.6776,USD
2000-08-02,1.689,1.6951,1.6796,1.6884,CHF,1.6873,USD
2000-08-03,1.6877,1.7148,1.6818,1.7043,CHF,1.6983,USD
2000-08-04,1.7035,1.7166,1.7014,1.7055,CHF,1.709,USD
2000-08-07,1.7055,1.7097,1.6986,1.706,CHF,1.7042,USD
2000-08-08,1.7055,1.7191,1.703,1.7115,CHF,1.7111,USD
2000-08-09,1.7098,1.7246,1.7095,1.7155,CHF,1.717,USD
2000-08-10,1.715,1.7154,1.7005,1.7045,CHF,1.7079,USD
2000-08-11,1.7043,1.7228,1.6969,1.7218,CHF,1.7099,USD
2000-08-14,1.7206,1.7257,1.7154,1.7188,CHF,1.7206,USD
2000-08-15,1.7191,1.7195,1.7068,1.7108,CHF,1.7132,USD
2000-08-16,1.7104,1.7209,1.7027,1.706,CHF,1.7118,USD
2000-08-17,1.7063,1.715,1.7047,1.707,CHF,1.7099,USD
2000-08-18,1.707,1.7237,1.7023,1.7213,CHF,1.713,USD
2000-08-21,1.721,1.7326,1.7185,1.7312,CHF,1.7255,USD
2000-08-22,1.73,1.7437,1.727,1.7392,CHF,1.7353,USD
