Date,Open,High,Low,Close,Fx_Currency,Average,Base_Currency
2000-01-03,0.994,0.9949,0.9723,0.9743,EUR,0.9836,USD
2000-01-04,0.9756,0.9793,0.9665,0.97,EUR,0.9729,USD
2000-01-05,0.9711,0.9721,0.9607,0.9693,EUR,0.9664,USD
2000-01-06,0.9681,0.9738,0.9598,0.9688,EUR,0.9668,USD
2000-01-07,0.9683,0.9753,0.9671,0.9717,EUR,0.9712,USD
2000-01-10,0.9713,0.9792,0.97,0.9753,EUR,0.9746,USD
2000-01-11,0.9747,0.9763,0.9668,0.9675,EUR,0.9715,USD
2000-01-12,0.9681,0.9747,0.9636,0.9698,EUR,0.9691,USD
2000-01-13,0.9697,0.9771,0.9689,0.9751,EUR,0.973,USD
2000-01-14,0.9744,0.9888,0.9727,0.9874,EUR,0.9808,USD
2000-01-17,0.9872,0.9932,0.9849,0.9881,EUR,0.989,USD
2000-01-18,0.9878,0.9929,0.9852,0.9872,EUR,0.989,USD
2000-01-19,0.9863,0.9919,0.9832,0.9879,EUR,0.9875,USD
2000-01-20,0.9865,0.9929,0.9811,0.9829,EUR,0.987,USD
2000-01-21,0.9828,0.9951,0.9803,0.9909,EUR,0.9877,USD
2000-01-24,0.9974,1.0002,0.9921,0.9924,EUR,0.9961,USD
2000-01-25,0.9923,1.0016,0.9898,0.9993,EUR,0.9957,USD
2000-01-26,0.9985,1.0008,0.9941,0.9992,EUR,0.9974,USD
2000-01-27,0.9982,1.0137,0.9967,1.0116,EUR,1.0052,USD
2000-01-28,1.0121,1.0273,1.0101,1.0259,EUR,1.0187,USD
2000-01-31,1.0224,1.0339,1.0171,1.0313,EUR,1.0255,USD
2000-02-01,1.0304,1.0343,1.0221,1.0282,EUR,1.0282,USD
2000-02-02,1.029,1.0318,1.0193,1.0242,EUR,1.0255,USD
2000-02-03,1.0241,1.0303,1.0049,1.0095,EUR,1.0176,USD
2000-02-04,1.0091,1.026,1.0052,1.017,EUR,1.0156,USD
2000-02-07,1.0165,1.0253,1.0165,1.0194,EUR,1.0209,USD
2000-02-08,1.0188,1.0221,1.0083,1.0145,EUR,1.0152,USD
2000-02-09,1.0142,1.0151,1.0029,1.006,EUR,1.009,USD
2000-02-10,1.005,1.0172,1.0033,1.015,EUR,1.0103,USD
2000-02-11,1.0148,1.0221,1.012,1.0133,EUR,1.0171,USD
2000-02-14,1.0136,1.0229,1.007,1.0219,EUR,1.0149,USD
2000-02-15,1.0217,1.0244,1.0137,1.019,EUR,1.0191,USD
