Date,Open,High,Low,Close,Fx_Currency,Average,Base_Currency
2000-01-03,43.495,43.515,43.365,43.435,INR,43.44,USD
2000-01-04,43.52,43.62,43.47,43.48,INR,43.545,USD
2000-01-05,43.55,43.595,43.46,43.49,INR,43.5275,USD
2000-01-06,43.55,43.585,43.48,43.49,INR,43.5325,USD
2000-01-07,43.545,43.617,43.485,43.485,INR,43.551,USD
2000-01-10,43.545,43.592,43.465,43.485,INR,43.5285,USD
2000-01-11,43.555,43.607,43.525,43.525,INR,43.566,USD
2000-01-12,43.575,43.607,43.525,43.525,INR,43.566,USD
2000-01-13,43.57,43.58,43.5,43.5,INR,43.54,USD
2000-01-14,43.57,43.577,43.5,43.5,INR,43.5385,USD
2000-01-17,43.555,43.57,43.532,43.545,INR,43.551,USD
2000-01-18,43.605,43.655,43.535,43.535,INR,43.595,USD
2000-01-19,43.635,43.64,43.53,43.54,INR,43.585,USD
2000-01-20,43.605,43.62,43.55,43.55,INR,43.585,USD
2000-01-21,43.59,43.627,43.54,43.56,INR,43.5835,USD
2000-01-24,43.6,43.8,43.59,43.6,INR,43.695,USD
2000-01-25,43.675,43.685,43.575,43.575,INR,43.63,USD
2000-01-26,43.655,43.655,43.575,43.575,INR,43.615,USD
2000-01-27,43.65,43.67,43.55,43.56,INR,43.61,USD
2000-01-28,43.62,43.662,43.59,43.6,INR,43.626,USD
2000-01-31,43.615,43.66,43.555,43.625,INR,43.6075,USD
2000-02-01,43.675,43.685,43.555,43.575,INR,43.62,USD
2000-02-02,43.625,43.625,43.525,43.575,INR,43.575,USD
2000-02-03,43.635,43.652,43.605,43.605,INR,43.6285,USD
2000-02-04,43.6,43.667,43.6,43.6,INR,43.6335,USD
2000-02-07,43.637,43.647,43.57,43.61,INR,43.6085,USD
2000-02-08,43.657,43.665,43.59,43.59,INR,43.6275,USD
2000-02-09,43.672,43.675,43.565,43.585,INR,43.62,USD
2000-02-10,43.625,43.66,43.515,43.615,INR,43.5875,USD
2000-02-11,43.665,43.682,43.595,43.605,INR,43.6385,USD
2000-02-14,43.625,43.725,43.525,43.615,INR,43.625,USD
2000-02-15,43.645,43.655,43.547,43.625,INR,43.601,USD
2000-02-16,43.67,43.68,43.575,43.625,INR,43.6275,USD
2000-02-17,43.595,43.652,43.555,43.575,INR,43.6035,USD
2000-02-18,43.62,43.657,43.57,43.64,INR,43.6135,USD
2000-02-21,43.63,43.635,43.602,43.602,INR,43.6185,USD
2000-02-22,43.63,43.675,43.58,43.6,INR,43.6275,USD
2000-02-23,43.64,43.662,43.6,43.6,INR,43.631,USD
2000-02-24,43.66,43.665,43.55,43.6,INR,43.6075,USD
2000-02-25,43.665,43.68,43.6,43.65,INR,43.64,USD
2000-02-28,43.692,43.697,43.605,43.605,INR,43.651,USD
2000-02-29,43.603,43.62,43.553,43.614,INR,43.5865,USD
2000-03-01,43.635,43.642,43.525,43.625,INR,43.5835,USD
2000-03-02,43.655,43.685,43.525,43.575,INR,43.605,USD
2000-03-03,43.65,43.65,43.6,43.6,INR,43.625,USD
2000-03-06,43.622,43.627,43.55,43.6,INR,43.5885,USD
2000-03-07,43.645,43.645,43.565,43.565,INR,43.605,USD
2000-03-08,43.63,43.632,43.59,43.59,INR,43.611,USD
2000-03-09,43.61,43.63,43.57,43.58,INR,43.6,USD
2000-03-10,43.625,43.68,43.575,43.575,INR,43.6275,USD
2000-03-13,43.627,43.632,43.5,43.6,INR,43.566,USD
2000-03-14,43.6,43.64,43.59,43.59,INR,43.615,USD
2000-03-15,43.66,43.662,43.575,43.575,INR,43.6185,USD
2000-03-16,43.58,43.587,43.565,43.575,INR,43.576,USD
2000-03-17,43.63,43.63,43.58,43.58,INR,43.605,USD
2000-03-20,43.595,43.595,43.525,43.565,INR,43.56,USD
2000-03-21,43.605,43.615,43.525,43.575,INR,43.57,USD
2000-03-22,43.625,43.665,43.575,43.575,INR,43.62,USD
2000-03-23,43.66,43.67,43.565,43.585,INR,43.6175,USD
2000-03-24,43.67,43.68,43.575,43.575,INR,43.6275,USD
2000-03-27,43.635,43.67,43.565,43.585,INR,43.6175,USD
2000-03-28,43.677,43.685,43.575,43.575,INR,43.63,USD
2000-03-29,43.625,43.665,43.585,43.585,INR,43.625,USD
2000-03-30,43.62,43.675,43.59,43.59,INR,43.6325,USD
2000-03-31,43.66,43.672,43.55,43.6,INR,43.611,USD
2000-04-03,43.62,43.64,43.56,43.612,INR,43.6,USD
2000-04-04,43.595,43.66,43.575,43.615,INR,43.6175,USD
2000-04-05,43.67,43.69,43.61,43.61,INR,43.65,USD
2000-04-06,43.65,43.682,43.6,43.6,INR,43.641,USD
