,Region,Currency,Year,GDP
0,Africa Eastern and Southern,USD,2000,283751640320.985
1,Africa Eastern and Southern,USD,2001,258660109000.795
2,Africa Eastern and Southern,USD,2002,264707648997.268
3,Africa Eastern and Southern,USD,2003,352442599635.079
4,Africa Eastern and Southern,USD,2004,438565119110.543
5,Africa Eastern and Southern,USD,2005,511897508172.382
6,Africa Eastern and Southern,USD,2006,575568771652.068
7,Africa Eastern and Southern,USD,2007,660774462147.457
8,Africa Eastern and Southern,USD,2008,707853210440.607
9,Africa Eastern and Southern,USD,2009,712053896956.71
10,Africa Eastern and Southern,USD,2010,846810044359.644
11,Africa Eastern and Southern,USD,2011,942710850898.201
12,Africa Eastern and Southern,USD,2012,949849051927.147
13,Africa Eastern and Southern,USD,2013,963560356978.003
14,Africa Eastern and Southern,USD,2014,983748641613.9
15,Africa Eastern and Southern,USD,2015,918647122201.58
16,Africa Eastern and Southern,USD,2016,872023488531.325
17,Africa Eastern and Southern,USD,2017,984255550008.411
18,Africa Eastern and Southern,USD,2018,1011723274893.29
19,Africa Eastern and Southern,USD,2019,1008375499870.66
20,Africa Eastern and Southern,USD,2020,918815487643.222
21,Africa Western and Central,USD,2000,140407973778.931
22,Africa Western and Central,USD,2001,148012003011.166
23,Africa Western and Central,USD,2002,176933365387.396
24,Africa Western and Central,USD,2003,204641949829.561
25,Africa Western and Central,USD,2004,254090255061.055
26,Africa Western and Central,USD,2005,310554338477.887
27,Africa Western and Central,USD,2006,393296680919.431
28,Africa Western and Central,USD,2007,461777599573.788
29,Africa Western and Central,USD,2008,566425696836.635
30,Africa Western and Central,USD,2009,506996402016.437
31,Africa Western and Central,USD,2010,591582966686.497
32,Africa Western and Central,USD,2011,670962551547.58
33,Africa Western and Central,USD,2012,727571396578.054
34,Africa Western and Central,USD,2013,820787588844.362
35,Africa Western and Central,USD,2014,851487150651.953
36,Africa Western and Central,USD,2015,760729687146.574
37,Africa Western and Central,USD,2016,690543020916.229
38,Africa Western and Central,USD,2017,683741574626.192
39,Africa Western and Central,USD,2018,741691624372.788
40,Africa Western and Central,USD,2019,794572474605.872
41,Africa Western and Central,USD,2020,784587603322.866
42,East Asia & Pacific,USD,2000,8736846274597.31
43,East Asia & Pacific,USD,2001,8234723245150.93
44,East Asia & Pacific,USD,2002,8587231427876.64
45,East Asia & Pacific,USD,2003,9754220884011.63
46,East Asia & Pacific,USD,2004,11176140653307.3
47,East Asia & Pacific,USD,2005,12257092642405.5
48,East Asia & Pacific,USD,2006,13488941824152.2
49,East Asia & Pacific,USD,2007,15839618979123.3
50,East Asia & Pacific,USD,2008,19072847296611.4
51,East Asia & Pacific,USD,2009,20179873500845.5
52,East Asia & Pacific,USD,2010,23573538834428.1
53,East Asia & Pacific,USD,2011,27605073793022.1
54,East Asia & Pacific,USD,2012,21187106532693.0
55,East Asia & Pacific,USD,2013,21367649737241.0
56,East Asia & Pacific,USD,2014,22038396030947.8
57,East Asia & Pacific,USD,2015,21951401205501.8
58,East Asia & Pacific,USD,2016,22720684963608.3
59,East Asia & Pacific,USD,2017,24268504216073.0
60,East Asia & Pacific,USD,2018,26416317598842.3
61,East Asia & Pacific,USD,2019,26981455514224.5
62,East Asia & Pacific,USD,2020,27097404937164.8
63,Europe & Central Asia,USD,2000,10046655321168.5
64,Europe & Central Asia,USD,2001,10157339692049.7
65,Europe & Central Asia,USD,2002,11099688958575.4
66,Europe & Central Asia,USD,2003,13518142445938.0
67,Europe & Central Asia,USD,2004,15758398915716.1
68,Europe & Central Asia,USD,2005,16780582777683.7
69,Europe & Central Asia,USD,2006,18169171281351.1
70,Europe & Central Asia,USD,2007,21229481021282.0
71,Europe & Central Asia,USD,2008,23318309419163.9
72,Europe & Central Asia,USD,2009,20510483521808.5
73,Europe & Central Asia,USD,2010,21013558496066.7
74,Europe & Central Asia,USD,2011,23296350638065.9
75,Europe & Central Asia,USD,2012,22463014714476.1
76,Europe & Central Asia,USD,2013,23477452103178.9
77,Europe & Central Asia,USD,2014,23793962374648.4
78,Europe & Central Asia,USD,2015,20508597009691.0
79,Europe & Central Asia,USD,2016,20445552705800.9
80,Europe & Central Asia,USD,2017,21648851652556.4
81,Europe & Central Asia,USD,2018,23217309660002.3
82,Europe & Central Asia,USD,2019,22934888163095.2
83,Europe & Central Asia,USD,2020,22126825155477.8
84,United States,USD,2000,10252345464000.0
85,United States,USD,2001,10581821399000.0
86,United States,USD,2002,10936419054000.0
87,United States,USD,2003,11458243878000.0
88,United States,USD,2004,12213729147000.0
89,United States,USD,2005,13036640230000.0
90,United States,USD,2006,13814611414000.0
91,United States,USD,2007,14451858656000.0
92,United States,USD,2008,14712844084000.0
93,United States,USD,2009,14448933025000.0
94,United States,USD,2010,14992052727000.0
95,United States,USD,2011,15542581104000.0
96,United States,USD,2012,16197007349000.0
97,United States,USD,2013,16784849196000.0
98,United States,USD,2014,17527163695000.0
99,United States,USD,2015,18238300569000.0
100,United States,USD,2016,18745075687000.0
101,United States,USD,2017,19542979183000.0
102,United States,USD,2018,20611860934000.0
103,United States,USD,2019,21433224697000.0
104,United States,USD,2020,20893746000000.0
