Date,Open,High,Low,Close,Currency,Average
2011-10-06,93.52,93.52,93.52,93.52,USD,93.52
2011-10-07,92.57,92.57,92.57,92.57,USD,92.57
2011-10-10,89.39,89.39,89.39,89.39,USD,89.39
2011-10-11,90.98,90.98,90.98,90.98,USD,90.98
2011-10-12,91.34,91.34,91.34,91.34,USD,91.34
2011-10-13,95.1,95.1,95.1,95.1,USD,95.1
2011-10-14,94.69,94.69,94.69,94.69,USD,94.69
2011-10-17,103.55,103.55,103.55,103.55,USD,103.55
2011-10-18,100.21,100.21,100.21,100.21,USD,100.21
2011-10-19,103.29,103.29,103.29,103.29,USD,103.29
2011-10-20,102.97,102.97,102.97,102.97,USD,102.97
2011-10-21,98.05,98.05,98.05,98.05,USD,98.05
2011-10-24,97.13,97.13,97.13,97.13,USD,97.13
2011-10-25,97.75,97.75,97.75,97.75,USD,97.75
2011-10-26,97.74,97.74,97.74,97.74,USD,97.74
2011-10-27,94.44,94.44,94.44,94.44,USD,94.44
2011-10-28,94.19,94.19,94.19,94.19,USD,94.19
2011-10-31,104.84,104.84,104.84,104.84,USD,104.84
2011-11-01,113.15,113.15,113.15,113.15,USD,113.15
2011-11-02,107.4,107.4,107.4,107.4,USD,107.4
2011-11-03,104.28,104.28,104.28,104.28,USD,104.28
2011-11-04,103.34,103.34,103.34,103.34,USD,103.34
2011-11-07,103.35,103.35,103.35,103.35,USD,103.35
2011-11-08,98.05,98.05,98.05,98.05,USD,98.05
2011-11-09,122.73,122.73,122.73,122.73,USD,122.73
2011-11-10,113.54,113.54,113.54,113.54,USD,113.54
2011-11-11,112.1,112.1,112.1,112.1,USD,112.1
2011-11-14,112.35,112.35,112.35,112.35,USD,112.35
2011-11-15,107.55,107.55,107.55,107.55,USD,107.55
2011-11-16,111.18,111.18,111.18,111.18,USD,111.18
2011-11-17,111.86,111.86,111.86,111.86,USD,111.86
2011-11-18,101.92,101.92,101.92,101.92,USD,101.92
2011-11-21,99.6,99.6,99.6,99.6,USD,99.6
2011-11-22,98.53,98.53,98.53,98.53,USD,98.53
2011-11-23,101.46,101.46,101.46,101.46,USD,101.46
2011-11-25,98.98,98.98,98.98,98.98,USD,98.98
2011-11-28,96.23,96.23,96.23,96.23,USD,96.23
2011-11-29,95.47,95.47,95.47,95.47,USD,95.47
2011-11-30,92.22,92.22,92.22,92.22,USD,92.22
2011-12-01,90.88,90.88,90.88,90.88,USD,90.88
2011-12-02,92.46,92.46,92.46,92.46,USD,92.46
2011-12-05,92.97,92.97,92.97,92.97,USD,92.97
2011-12-06,92.21,92.21,92.21,92.21,USD,92.21
2011-12-07,92.84,92.84,92.84,92.84,USD,92.84
2011-12-08,94.97,94.97,94.97,94.97,USD,94.97
2011-12-09,90.92,90.92,90.92,90.92,USD,90.92
2011-12-12,93.21,93.21,93.21,93.21,USD,93.21
2011-12-13,94.55,94.55,94.55,94.55,USD,94.55
2011-12-14,99.63,99.63,99.63,99.63,USD,99.63
2011-12-15,97.71,97.71,97.71,97.71,USD,97.71
2011-12-16,94.28,94.28,94.28,94.28,USD,94.28
2011-12-19,90.27,90.27,90.27,90.27,USD,90.27
2011-12-20,88.64,88.64,88.64,88.64,USD,88.64
2011-12-21,85.54,85.54,85.54,85.54,USD,85.54
2011-12-22,86.18,86.18,86.18,86.18,USD,86.18
2011-12-23,86.54,86.54,86.54,86.54,USD,86.54
2011-12-27,88.13,88.13,88.13,88.13,USD,88.13
2011-12-28,94.08,94.08,94.08,94.08,USD,94.08
2011-12-29,91.8,91.8,91.8,91.8,USD,91.8
2011-12-30,91.7,91.7,91.7,91.7,USD,91.7
2012-01-03,91.39,91.39,91.39,91.39,USD,91.39
2012-01-04,88.89,88.89,88.89,88.89,USD,88.89
2012-01-05,87.69,87.69,87.69,87.69,USD,87.69
2012-01-06,86.95,86.95,86.95,86.95,USD,86.95
2012-01-09,87.8,87.8,87.8,87.8,USD,87.8
2012-01-10,88.82,88.82,88.82,88.82,USD,88.82
2012-01-11,93.17,93.17,93.17,93.17,USD,93.17
2012-01-12,90.51,90.51,90.51,90.51,USD,90.51
2012-01-13,93.55,93.55,93.55,93.55,USD,93.55
2012-01-17,93.66,93.66,93.66,93.66,USD,93.66
2012-01-18,90.09,90.09,90.09,90.09,USD,90.09
2012-01-19,88.73,88.73,88.73,88.73,USD,88.73
2012-01-20,89.24,89.24,89.24,89.24,USD,89.24
2012-01-23,89.59,89.59,89.59,89.59,USD,89.59
2012-01-24,89.01,89.01,89.01,89.01,USD,89.01
2012-01-25,86.01,86.01,86.01,86.01,USD,86.01
2012-01-26,88.92,88.92,88.92,88.92,USD,88.92
2012-01-27,87.44,87.44,87.44,87.44,USD,87.44
2012-01-30,89.86,89.86,89.86,89.86,USD,89.86
2012-01-31,88.51,88.51,88.51,88.51,USD,88.51
2012-02-01,85.78,85.78,85.78,85.78,USD,85.78
2012-02-02,84.1,84.1,84.1,84.1,USD,84.1
2012-02-03,84.04,84.04,84.04,84.04,USD,84.04
2012-02-06,85.38,85.38,85.38,85.38,USD,85.38
2012-02-07,83.79,83.79,83.79,83.79,USD,83.79
2012-02-08,97.01,97.01,97.01,97.01,USD,97.01
2012-02-09,100.76,100.76,100.76,100.76,USD,100.76
2012-02-10,104.15,104.15,104.15,104.15,USD,104.15
2012-02-13,102.45,102.45,102.45,102.45,USD,102.45
2012-02-14,107.82,107.82,107.82,107.82,USD,107.82
2012-02-15,114.65,114.65,114.65,114.65,USD,114.65
2012-02-16,110.41,110.41,110.41,110.41,USD,110.41
2012-02-17,108.56,108.56,108.56,108.56,USD,108.56
2012-02-21,107.71,107.71,107.71,107.71,USD,107.71
2012-02-22,100.81,100.81,100.81,100.81,USD,100.81
2012-02-23,94.44,94.44,94.44,94.44,USD,94.44
2012-02-24,99.43,99.43,99.43,99.43,USD,99.43
2012-02-27,101.68,101.68,101.68,101.68,USD,101.68
2012-02-28,99.13,99.13,99.13,99.13,USD,99.13
2012-02-29,101.6,101.6,101.6,101.6,USD,101.6
2012-03-01,97.43,97.43,97.43,97.43,USD,97.43
2012-03-02,96.94,96.94,96.94,96.94,USD,96.94
2012-03-05,98.18,98.18,98.18,98.18,USD,98.18
2012-03-06,105.11,105.11,105.11,105.11,USD,105.11
2012-03-07,100.46,100.46,100.46,100.46,USD,100.46
2012-03-08,97.19,97.19,97.19,97.19,USD,97.19
2012-03-09,97.98,97.98,97.98,97.98,USD,97.98
2012-03-12,98.61,98.61,98.61,98.61,USD,98.61
