Date,Open,High,Low,Close,Currency,Average
2010-05-17,283.68,285.53,278.28,283.94,USD,281.905
2010-05-18,283.94,287.05,278.9,279.82,USD,282.975
2010-05-19,279.82,280.77,274.43,278.15,USD,277.6
2010-05-20,278.14,278.14,267.05,267.06,USD,272.595
2010-05-21,267.06,271.89,263.08,271.11,USD,267.485
2010-05-24,271.11,271.87,267.52,267.73,USD,269.695
2010-05-25,267.73,268.0,259.29,267.79,USD,263.645
2010-05-26,267.79,272.33,265.92,266.65,USD,269.125
2010-05-27,266.65,275.81,266.65,275.68,USD,271.23
2010-05-28,275.68,275.74,271.05,272.33,USD,273.395
2010-06-01,272.33,273.57,266.96,267.17,USD,270.265
2010-06-02,267.17,274.21,267.17,274.16,USD,270.69
2010-06-03,274.16,276.15,272.73,275.6,USD,274.44
2010-06-04,275.6,275.6,264.79,265.81,USD,270.195
2010-06-07,265.81,267.49,261.71,261.89,USD,264.6
2010-06-08,261.89,264.71,259.45,264.37,USD,262.08
2010-06-09,264.37,268.76,262.14,263.1,USD,265.45
2010-06-10,263.1,271.24,263.1,271.02,USD,267.17
2010-06-11,271.02,272.68,268.59,272.53,USD,270.635
2010-06-14,272.55,276.4,272.06,272.27,USD,274.23
2010-06-15,272.27,278.86,272.27,278.73,USD,275.565
2010-06-16,278.73,279.6,276.56,278.42,USD,278.08
2010-06-17,278.43,279.25,276.02,278.64,USD,277.635
2010-06-18,278.64,279.93,278.01,278.98,USD,278.97
2010-06-21,278.98,282.51,276.46,277.78,USD,279.485
2010-06-22,277.78,279.24,272.76,273.03,USD,276.0
2010-06-23,273.03,274.23,270.33,272.25,USD,272.28
2010-06-24,272.24,272.24,267.06,267.58,USD,269.65
2010-06-25,267.58,270.28,266.21,268.63,USD,268.245
2010-06-28,268.63,270.18,267.18,268.02,USD,268.68
2010-06-29,268.02,268.02,257.92,259.4,USD,262.97
2010-06-30,259.4,261.38,256.25,256.83,USD,258.815
2010-07-01,256.83,257.59,251.57,255.92,USD,254.58
2010-07-02,255.92,257.39,253.0,254.63,USD,255.195
2010-07-06,254.63,259.79,253.25,255.61,USD,256.52
2010-07-07,255.61,263.99,255.61,263.82,USD,259.8
2010-07-08,263.82,266.72,263.36,266.39,USD,265.04
2010-07-09,266.39,268.53,265.81,268.47,USD,267.17
2010-07-12,268.47,269.27,266.35,268.41,USD,267.81
2010-07-13,268.41,273.86,268.41,272.89,USD,271.135
2010-07-14,272.89,273.83,270.9,272.79,USD,272.365
2010-07-15,272.79,273.55,269.02,272.97,USD,271.285
2010-07-16,272.97,272.97,264.57,264.98,USD,268.77
2010-07-19,264.98,267.35,263.78,266.53,USD,265.565
2010-07-20,266.53,269.89,262.85,269.75,USD,266.37
2010-07-21,269.75,271.19,265.16,266.21,USD,268.175
2010-07-22,266.21,273.27,266.21,272.41,USD,269.74
2010-07-23,272.41,275.11,270.89,274.91,USD,273.0
2010-07-26,274.91,278.29,274.56,278.29,USD,276.425
2010-07-27,278.29,279.87,276.74,277.74,USD,278.305
2010-07-28,277.74,277.98,274.74,275.57,USD,276.36
2010-07-29,275.57,277.98,271.96,274.37,USD,274.97
2010-07-30,274.37,275.67,270.88,274.51,USD,273.275
2010-08-02,274.51,280.85,274.51,280.49,USD,277.68
2010-08-03,280.49,280.49,277.96,279.0,USD,279.225
2010-08-04,279.0,281.22,278.88,280.91,USD,280.05
2010-08-05,280.91,280.91,278.78,280.41,USD,279.845
2010-08-06,280.41,280.41,275.76,279.43,USD,278.085
2010-08-09,279.43,281.46,279.28,281.1,USD,280.37
2010-08-10,281.1,281.1,276.84,279.05,USD,278.97
2010-08-11,279.05,279.05,270.73,270.98,USD,274.89
2010-08-12,270.98,270.98,267.67,269.56,USD,269.325
