Date,Open,High,Low,Close,Currency,Average
2000-01-03,72.401,72.401,72.401,72.401,USD,72.401
2000-01-04,72.68,72.68,72.68,72.68,USD,72.68
2000-01-05,73.325,73.325,73.325,73.325,USD,73.325
2000-01-06,73.279,73.279,73.279,73.279,USD,73.279
2000-01-07,74.065,74.065,74.065,74.065,USD,74.065
2000-01-10,74.023,74.023,74.023,74.023,USD,74.023
2000-01-11,73.944,73.944,73.944,73.944,USD,73.944
2000-01-12,74.938,74.938,74.938,74.938,USD,74.938
2000-01-13,76.286,76.286,76.286,76.286,USD,76.286
2000-01-14,76.087,76.087,76.087,76.087,USD,76.087
2000-01-18,76.328,76.328,76.328,76.328,USD,76.328
2000-01-19,77.037,77.037,77.037,77.037,USD,77.037
2000-01-20,76.989,76.989,76.989,76.989,USD,76.989
2000-01-21,76.786,76.786,76.786,76.786,USD,76.786
2000-01-24,77.41,77.41,77.41,77.41,USD,77.41
2000-01-25,77.843,77.843,77.843,77.843,USD,77.843
2000-01-26,77.331,77.331,77.331,77.331,USD,77.331
2000-01-27,78.327,78.327,78.327,78.327,USD,78.327
2000-01-28,77.811,77.811,77.811,77.811,USD,77.811
2000-01-31,76.327,76.327,76.327,76.327,USD,76.327
2000-02-01,76.334,76.334,76.334,76.334,USD,76.334
2000-02-02,76.148,76.148,76.148,76.148,USD,76.148
2000-02-03,75.5,75.5,75.5,75.5,USD,75.5
2000-02-04,76.017,76.017,76.017,76.017,USD,76.017
2000-02-07,76.245,76.245,76.245,76.245,USD,76.245
2000-02-08,75.443,75.443,75.443,75.443,USD,75.443
2000-02-09,76.027,76.027,76.027,76.027,USD,76.027
2000-02-10,77.191,77.191,77.191,77.191,USD,77.191
2000-02-11,76.342,76.342,76.342,76.342,USD,76.342
2000-02-14,75.837,75.837,75.837,75.837,USD,75.837
2000-02-15,75.657,75.657,75.657,75.657,USD,75.657
2000-02-16,75.5,75.5,75.5,75.5,USD,75.5
2000-02-17,75.464,75.464,75.464,75.464,USD,75.464
2000-02-18,75.948,75.948,75.948,75.948,USD,75.948
2000-02-22,75.798,75.798,75.798,75.798,USD,75.798
2000-02-23,74.5,74.5,74.5,74.5,USD,74.5
2000-02-24,74.668,74.668,74.668,74.668,USD,74.668
2000-02-25,72.938,72.938,72.938,72.938,USD,72.938
2000-02-28,72.98,72.98,72.98,72.98,USD,72.98
2000-02-29,73.487,73.487,73.487,73.487,USD,73.487
2000-03-01,73.834,73.834,73.834,73.834,USD,73.834
2000-03-02,74.238,74.238,74.238,74.238,USD,74.238
2000-03-03,74.798,74.798,74.798,74.798,USD,74.798
2000-03-06,75.417,75.417,75.417,75.417,USD,75.417
2000-03-07,75.093,75.093,75.093,75.093,USD,75.093
2000-03-08,75.602,75.602,75.602,75.602,USD,75.602
2000-03-09,75.727,75.727,75.727,75.727,USD,75.727
2000-03-10,75.307,75.307,75.307,75.307,USD,75.307
2000-03-13,76.589,76.589,76.589,76.589,USD,76.589
2000-03-14,77.65,77.65,77.65,77.65,USD,77.65
2000-03-15,77.217,77.217,77.217,77.217,USD,77.217
2000-03-16,77.478,77.478,77.478,77.478,USD,77.478
2000-03-17,78.623,78.623,78.623,78.623,USD,78.623
