Date,Open,High,Low,Close,Currency,Average
2000-01-03,126.86,126.86,126.86,126.86,USD,126.86
2000-01-04,124.91,124.91,124.91,124.91,USD,124.91
2000-01-05,122.43,122.43,122.43,122.43,USD,122.43
2000-01-06,121.64,121.64,121.64,121.64,USD,121.64
2000-01-07,119.43,119.43,119.43,119.43,USD,119.43
2000-01-10,122.22,122.22,122.22,122.22,USD,122.22
2000-01-11,126.25,126.25,126.25,126.25,USD,126.25
2000-01-12,127.31,127.31,127.31,127.31,USD,127.31
2000-01-13,128.91,128.91,128.91,128.91,USD,128.91
2000-01-14,131.8,131.8,131.8,131.8,USD,131.8
2000-01-18,136.08,136.08,136.08,136.08,USD,136.08
2000-01-19,135.25,135.25,135.25,135.25,USD,135.25
2000-01-20,135.75,135.75,135.75,135.75,USD,135.75
2000-01-21,136.58,136.58,136.58,136.58,USD,136.58
2000-01-24,135.19,135.19,135.19,135.19,USD,135.19
2000-01-25,137.59,137.59,137.59,137.59,USD,137.59
2000-01-26,135.19,135.19,135.19,135.19,USD,135.19
2000-01-27,132.97,132.97,132.97,132.97,USD,132.97
2000-01-28,132.91,132.91,132.91,132.91,USD,132.91
2000-01-31,135.31,135.31,135.31,135.31,USD,135.31
2000-02-01,137.31,137.31,137.31,137.31,USD,137.31
2000-02-02,135.14,135.14,135.14,135.14,USD,135.14
2000-02-03,137.36,137.36,137.36,137.36,USD,137.36
2000-02-04,139.92,139.92,139.92,139.92,USD,139.92
2000-02-07,138.7,138.7,138.7,138.7,USD,138.7
2000-02-08,137.36,137.36,137.36,137.36,USD,137.36
2000-02-09,139.42,139.42,139.42,139.42,USD,139.42
2000-02-10,141.2,141.2,141.2,141.2,USD,141.2
2000-02-11,141.65,141.65,141.65,141.65,USD,141.65
2000-02-14,144.59,144.59,144.59,144.59,USD,144.59
2000-02-15,145.43,145.43,145.43,145.43,USD,145.43
2000-02-16,146.32,146.32,146.32,146.32,USD,146.32
2000-02-17,142.65,142.65,142.65,142.65,USD,142.65
2000-02-18,140.64,140.64,140.64,140.64,USD,140.64
2000-02-22,142.98,142.98,142.98,142.98,USD,142.98
2000-02-23,143.98,143.98,143.98,143.98,USD,143.98
2000-02-24,144.65,144.65,144.65,144.65,USD,144.65
2000-02-25,144.93,144.93,144.93,144.93,USD,144.93
2000-02-28,145.26,145.26,145.26,145.26,USD,145.26
2000-02-29,148.1,148.1,148.1,148.1,USD,148.1
2000-03-01,153.99,153.99,153.99,153.99,USD,153.99
2000-03-02,154.44,154.44,154.44,154.44,USD,154.44
2000-03-03,153.6,153.6,153.6,153.6,USD,153.6
2000-03-06,156.72,156.72,156.72,156.72,USD,156.72
2000-03-07,168.28,168.28,168.28,168.28,USD,168.28
2000-03-08,153.44,153.44,153.44,153.44,USD,153.44
2000-03-09,154.77,154.77,154.77,154.77,USD,154.77
2000-03-10,152.3,152.3,152.3,152.3,USD,152.3
2000-03-13,153.28,153.28,153.28,153.28,USD,153.28
2000-03-14,153.34,153.34,153.34,153.34,USD,153.34
2000-03-15,150.59,150.59,150.59,150.59,USD,150.59
2000-03-16,152.68,152.68,152.68,152.68,USD,152.68
2000-03-17,151.84,151.84,151.84,151.84,USD,151.84
2000-03-20,148.97,148.97,148.97,148.97,USD,148.97
2000-03-21,150.65,150.65,150.65,150.65,USD,150.65
2000-03-22,148.79,148.79,148.79,148.79,USD,148.79
2000-03-23,149.27,149.27,149.27,149.27,USD,149.27
2000-03-24,151.01,151.01,151.01,151.01,USD,151.01
2000-03-27,150.53,150.53,150.53,150.53,USD,150.53
2000-03-28,150.35,150.35,150.35,150.35,USD,150.35
2000-03-29,147.11,147.11,147.11,147.11,USD,147.11
2000-03-30,146.75,146.75,146.75,146.75,USD,146.75
2000-03-31,146.99,146.99,146.99,146.99,USD,146.99
2000-04-03,145.74,145.74,145.74,145.74,USD,145.74
2000-04-04,142.38,142.38,142.38,142.38,USD,142.38
2000-04-05,143.1,143.1,143.1,143.1,USD,143.1
2000-04-06,141.36,141.36,141.36,141.36,USD,141.36
2000-04-07,137.47,137.47,137.47,137.47,USD,137.47
2000-04-10,130.1,130.1,130.1,130.1,USD,130.1
2000-04-11,131.3,131.3,131.3,131.3,USD,131.3
2000-04-12,139.21,139.21,139.21,139.21,USD,139.21
2000-04-13,137.23,137.23,137.23,137.23,USD,137.23
2000-04-14,134.41,134.41,134.41,134.41,USD,134.41
2000-04-17,136.03,136.03,136.03,136.03,USD,136.03
2000-04-18,138.01,138.01,138.01,138.01,USD,138.01
2000-04-19,141.84,141.84,141.84,141.84,USD,141.84
2000-04-20,142.26,142.26,142.26,142.26,USD,142.26
2000-04-24,142.26,142.26,142.26,142.26,USD,142.26
2000-04-25,139.98,139.98,139.98,139.98,USD,139.98
