Date,Open,High,Low,Close,Currency,Average
2012-07-09,115.77,115.77,114.66,114.78,USD,115.215
2012-07-10,115.02,115.25,114.14,114.42,USD,114.695
2012-07-11,114.22,114.66,113.79,114.4,USD,114.225
2012-07-12,114.5,114.5,112.52,112.59,USD,113.51
2012-07-13,112.47,113.29,112.35,113.15,USD,112.82
2012-07-16,113.34,113.67,113.29,113.67,USD,113.48
2012-07-17,113.58,114.65,113.43,114.04,USD,114.04
2012-07-18,114.34,114.52,113.24,113.67,USD,113.88
2012-07-19,114.41,115.53,114.41,115.45,USD,114.97
2012-07-20,115.34,115.35,114.49,114.59,USD,114.92
2012-07-23,113.84,113.84,112.23,112.23,USD,113.035
2012-07-24,112.12,112.4,111.79,112.08,USD,112.095
2012-07-25,111.33,111.41,110.6,110.96,USD,111.005
2012-07-26,111.37,112.09,111.03,111.88,USD,111.56
2012-07-27,112.51,114.25,112.51,113.94,USD,113.38
2012-07-30,114.72,115.31,114.68,115.29,USD,114.995
2012-07-31,115.32,116.83,115.2,116.68,USD,116.015
2012-08-01,116.14,116.35,115.71,116.21,USD,116.03
2012-08-02,116.03,116.37,115.85,116.02,USD,116.11
2012-08-03,115.14,115.18,114.53,114.96,USD,114.855
2012-08-06,115.86,117.16,115.86,117.04,USD,116.51
2012-08-07,117.04,117.83,117.0,117.46,USD,117.415
2012-08-08,117.85,118.61,117.54,117.95,USD,118.075
2012-08-09,117.88,119.1,117.86,118.86,USD,118.48
2012-08-10,118.69,118.92,117.66,118.41,USD,118.29
2012-08-13,118.34,118.56,118.01,118.01,USD,118.285
2012-08-14,118.22,118.84,118.03,118.27,USD,118.435
2012-08-15,118.29,118.39,117.37,117.77,USD,117.88
2012-08-16,117.85,118.46,117.85,118.37,USD,118.155
2012-08-17,118.71,118.85,118.39,118.63,USD,118.62
2012-08-20,118.78,118.84,118.25,118.62,USD,118.545
2012-08-21,118.64,119.32,118.64,119.03,USD,118.98
2012-08-22,119.08,119.11,118.08,118.45,USD,118.595
2012-08-23,118.88,119.7,118.74,119.67,USD,119.22
