Date,Open,High,Low,Close,Currency,Average
2012-07-09,118.01,118.01,116.99,117.27,USD,117.5
2012-07-10,117.3,117.98,116.52,116.8,USD,117.25
2012-07-11,116.76,116.83,115.43,116.01,USD,116.13
2012-07-12,116.02,116.02,114.16,114.98,USD,115.09
2012-07-13,114.94,116.83,114.92,116.71,USD,115.875
2012-07-16,116.74,116.82,115.93,116.41,USD,116.375
2012-07-17,116.44,117.17,115.86,116.89,USD,116.515
2012-07-18,117.16,118.03,116.83,117.8,USD,117.43
2012-07-19,118.04,119.5,117.94,119.09,USD,118.72
2012-07-20,119.08,119.09,117.38,117.39,USD,118.235
2012-07-23,117.16,117.23,114.52,115.34,USD,115.875
2012-07-24,115.34,115.45,114.1,114.61,USD,114.775
2012-07-25,114.41,114.97,114.03,114.32,USD,114.5
2012-07-26,114.47,116.83,114.24,116.62,USD,115.535
2012-07-27,116.64,119.08,116.63,118.89,USD,117.855
2012-07-30,119.04,119.58,118.86,119.09,USD,119.22
2012-07-31,119.13,119.55,118.4,118.44,USD,118.975
2012-08-01,118.24,118.69,117.6,117.8,USD,118.145
2012-08-02,117.7,118.42,116.81,117.36,USD,117.615
2012-08-03,117.25,119.87,117.12,119.67,USD,118.495
2012-08-06,119.91,121.13,119.9,120.91,USD,120.515
2012-08-07,120.86,122.4,120.84,122.14,USD,121.62
2012-08-08,122.21,122.49,121.1,121.81,USD,121.795
2012-08-09,121.79,122.06,121.59,121.81,USD,121.825
2012-08-10,121.72,121.85,120.99,121.72,USD,121.42
2012-08-13,121.62,121.72,120.94,121.51,USD,121.33
2012-08-14,121.48,121.91,121.34,121.51,USD,121.625
2012-08-15,121.58,121.78,121.27,121.65,USD,121.525
2012-08-16,121.73,123.17,121.73,122.98,USD,122.45
2012-08-17,123.07,123.83,122.94,123.72,USD,123.385
2012-08-20,123.88,123.92,123.1,123.41,USD,123.51
2012-08-21,123.41,124.35,123.4,123.8,USD,123.875
2012-08-22,123.82,124.09,123.27,123.59,USD,123.68
2012-08-23,123.76,124.2,123.24,123.44,USD,123.72
2012-08-24,123.16,123.62,122.57,123.51,USD,123.095
2012-08-27,123.6,123.8,123.34,123.53,USD,123.57
2012-08-28,123.56,123.59,122.94,123.33,USD,123.265
2012-08-29,123.29,123.8,123.2,123.64,USD,123.5
2012-08-30,123.69,123.69,122.39,122.57,USD,123.04
2012-08-31,122.38,123.21,122.07,122.75,USD,122.64
2012-09-03,122.66,122.84,122.42,122.69,USD,122.63
2012-09-04,122.71,122.81,121.65,122.13,USD,122.23
2012-09-05,122.04,122.51,121.68,122.21,USD,122.095
2012-09-06,122.27,124.6,122.09,124.57,USD,123.345
2012-09-07,124.65,126.37,124.65,126.35,USD,125.51
2012-09-10,126.2,126.62,126.03,126.09,USD,126.325
2012-09-11,125.83,126.18,125.47,125.89,USD,125.825
2012-09-12,125.87,126.63,125.85,126.4,USD,126.24
2012-09-13,126.38,127.73,126.18,127.42,USD,126.955
2012-09-14,127.75,129.54,127.71,128.98,USD,128.625
2012-09-17,128.9,129.01,127.98,128.22,USD,128.495
2012-09-18,128.16,128.25,127.12,127.39,USD,127.685
2012-09-19,127.37,129.08,127.37,128.86,USD,128.225
2012-09-20,128.71,128.81,127.31,128.1,USD,128.06
2012-09-21,128.22,128.76,128.11,128.21,USD,128.435
2012-09-24,128.06,128.12,127.1,127.47,USD,127.61
2012-09-25,127.43,128.37,126.83,126.96,USD,127.6
2012-09-26,126.56,126.6,124.85,125.22,USD,125.725
2012-09-27,125.19,126.23,125.11,125.84,USD,125.67
2012-09-28,126.01,126.02,124.48,124.96,USD,125.25
2012-10-01,124.68,125.97,124.51,125.1,USD,125.24
2012-10-02,125.07,125.71,124.76,125.12,USD,125.235
2012-10-03,125.05,125.55,124.72,125.34,USD,125.135
2012-10-04,125.39,126.98,125.39,126.87,USD,126.185
2012-10-05,126.9,128.05,126.72,127.4,USD,127.385
2012-10-08,127.3,127.3,126.52,126.69,USD,126.91
2012-10-09,126.64,126.67,124.9,124.99,USD,125.785
2012-10-10,124.93,124.93,124.03,124.1,USD,124.48
2012-10-11,124.07,125.09,123.81,124.15,USD,124.45
2012-10-12,124.15,124.82,124.05,124.24,USD,124.435
2012-10-15,124.18,125.44,124.05,125.31,USD,124.745
2012-10-16,125.36,126.67,125.36,126.57,USD,126.015
2012-10-17,126.71,127.67,126.7,127.44,USD,127.185
2012-10-18,127.34,128.16,127.33,127.73,USD,127.745
2012-10-19,127.64,127.79,125.89,126.2,USD,126.84
2012-10-22,126.19,126.31,125.27,125.84,USD,125.79
2012-10-23,125.8,125.97,123.89,124.57,USD,124.93
2012-10-24,124.58,124.86,124.05,124.15,USD,124.455
2012-10-25,124.14,125.22,123.99,124.25,USD,124.605
2012-10-26,124.18,124.51,123.58,124.28,USD,124.045
2012-10-29,124.22,124.35,123.7,123.82,USD,124.025
2012-10-30,123.82,124.22,123.7,124.21,USD,123.96
2012-10-31,124.19,125.23,124.16,124.76,USD,124.695
2012-11-01,124.79,126.26,124.47,126.12,USD,125.365
2012-11-02,126.12,127.33,126.11,126.21,USD,126.72
2012-11-05,126.15,126.29,125.48,126.03,USD,125.885
2012-11-06,126.04,126.62,125.85,126.46,USD,126.235
2012-11-07,126.47,126.83,124.67,125.17,USD,125.75
2012-11-08,125.17,125.17,123.39,123.39,USD,124.28
2012-11-09,123.49,123.75,122.61,123.16,USD,123.18
2012-11-12,123.17,123.31,122.84,122.97,USD,123.075
2012-11-13,122.96,123.83,122.42,123.14,USD,123.125
2012-11-14,123.12,123.26,121.38,121.55,USD,122.32
2012-11-15,121.56,122.07,121.24,121.57,USD,121.655
2012-11-16,121.54,122.42,121.45,122.23,USD,121.935
2012-11-19,122.28,125.02,122.28,125.02,USD,123.65
2012-11-20,124.92,125.59,124.77,125.34,USD,125.18
2012-11-21,125.37,125.98,125.35,125.86,USD,125.665
2012-11-22,125.86,126.6,125.86,126.56,USD,126.23
2012-11-23,126.57,128.01,126.55,127.96,USD,127.28
2012-11-26,127.99,128.4,127.4,127.81,USD,127.9
2012-11-27,127.88,127.99,127.32,127.36,USD,127.655
2012-11-28,127.39,128.33,126.58,128.25,USD,127.455
2012-11-29,128.28,129.3,128.25,129.06,USD,128.775
2012-11-30,129.06,129.51,128.93,129.37,USD,129.22
2012-12-03,129.37,130.03,129.05,129.09,USD,129.54
2012-12-04,129.05,129.22,128.4,128.76,USD,128.81
2012-12-05,128.75,128.9,127.71,128.32,USD,128.305
2012-12-06,128.3,129.12,128.28,129.12,USD,128.7
2012-12-07,129.05,129.33,128.81,129.23,USD,129.07
2012-12-10,129.17,129.37,128.9,128.96,USD,129.135
2012-12-11,128.97,129.71,128.86,129.49,USD,129.285
2012-12-12,129.48,130.36,129.47,129.8,USD,129.915
2012-12-13,129.79,130.43,129.26,129.47,USD,129.845
2012-12-14,129.43,129.8,129.28,129.45,USD,129.54
2012-12-17,129.46,131.09,129.4,131.09,USD,130.245
2012-12-18,131.07,132.64,131.07,132.44,USD,131.855
2012-12-19,132.39,133.4,132.38,132.76,USD,132.89
2012-12-20,132.69,132.92,132.36,132.89,USD,132.64
2012-12-21,132.92,133.19,131.11,131.57,USD,132.15
2012-12-24,131.5,131.65,131.39,131.55,USD,131.52
2012-12-25,131.78,131.9,131.55,131.62,USD,131.725
2012-12-26,131.72,131.89,130.76,131.01,USD,131.325
2012-12-27,131.06,131.74,130.32,131.46,USD,131.03
2012-12-28,131.38,131.87,130.87,130.93,USD,131.37
2012-12-31,130.99,132.41,130.7,132.41,USD,131.555
2013-01-01,132.41,132.41,132.41,132.41,USD,132.41
2013-01-02,132.41,134.91,132.36,134.85,USD,133.635
2013-01-03,134.7,135.43,134.61,135.03,USD,135.02
2013-01-04,134.75,135.93,134.64,135.81,USD,135.285
2013-01-07,135.82,136.09,135.0,135.34,USD,135.545
2013-01-08,135.48,135.53,134.25,134.88,USD,134.89
2013-01-09,134.89,135.51,134.54,135.08,USD,135.025
2013-01-10,135.07,136.11,135.02,136.03,USD,135.565
2013-01-11,135.98,136.72,135.9,136.69,USD,136.31
2013-01-14,136.61,136.96,136.39,136.82,USD,136.675
2013-01-15,136.77,137.83,136.77,137.83,USD,137.3
