Date,Open,High,Low,Close,Currency,Average
2012-11-06,240.75,243.96,240.67,243.31,USD,242.315
2012-11-07,243.44,244.26,236.24,237.02,USD,240.25
2012-11-08,237.01,237.74,233.8,233.83,USD,235.77
2012-11-09,233.84,235.35,232.35,233.74,USD,233.85
2012-11-12,233.78,234.43,233.04,233.49,USD,233.735
2012-11-13,233.49,234.82,231.34,232.76,USD,233.08
2012-11-14,232.67,232.82,229.19,229.52,USD,231.005
2012-11-15,229.51,230.85,228.26,229.27,USD,229.555
2012-11-16,229.27,229.33,226.12,228.53,USD,227.725
2012-11-19,228.8,234.43,228.78,234.43,USD,231.605
2012-11-20,234.31,234.64,232.76,233.88,USD,233.7
2012-11-21,233.97,235.02,233.42,234.9,USD,234.22
2012-11-22,235.02,235.72,235.01,235.57,USD,235.365
2012-11-23,235.56,238.47,235.31,238.29,USD,236.89
2012-11-26,238.38,238.43,235.46,236.58,USD,236.945
2012-11-27,236.7,237.23,234.55,234.8,USD,235.89
2012-11-28,234.78,236.43,232.12,236.16,USD,234.275
2012-11-29,236.38,238.76,236.35,237.49,USD,237.555
2012-11-30,237.45,238.49,236.66,237.43,USD,237.575
2012-12-03,237.38,239.0,236.48,236.68,USD,237.74
2012-12-04,236.73,237.16,235.86,235.91,USD,236.51
2012-12-05,235.87,237.94,235.5,236.98,USD,236.72
2012-12-06,237.04,237.52,236.06,237.25,USD,236.79
2012-12-07,237.05,237.8,236.4,237.64,USD,237.1
2012-12-10,237.65,238.8,237.26,238.02,USD,238.03
2012-12-11,238.06,239.79,237.95,239.25,USD,238.87
2012-12-12,239.36,241.96,239.15,240.43,USD,240.555
2012-12-13,240.54,240.73,238.28,239.05,USD,239.505
2012-12-14,238.94,239.14,237.68,238.02,USD,238.41
2012-12-17,238.33,239.59,237.84,239.5,USD,238.715
2012-12-18,239.53,242.87,239.51,242.55,USD,241.19
2012-12-19,242.51,243.74,241.95,242.12,USD,242.845
2012-12-20,241.88,242.73,241.3,242.61,USD,242.015
2012-12-21,242.7,242.78,239.78,240.69,USD,241.28
2012-12-24,240.66,241.04,239.32,239.54,USD,240.18
2012-12-25,239.53,239.61,239.22,239.51,USD,239.415
2012-12-26,239.52,240.55,238.75,239.0,USD,239.65
2012-12-27,239.05,239.99,236.73,238.79,USD,238.36
2012-12-28,238.7,239.12,235.68,235.81,USD,237.4
2012-12-31,235.85,239.1,235.33,238.92,USD,237.215
2013-01-01,239.25,239.29,238.93,238.93,USD,239.11
2013-01-02,239.04,244.01,238.96,244.01,USD,241.485
2013-01-03,243.75,245.27,242.78,243.96,USD,244.025
2013-01-04,243.51,246.08,243.19,245.82,USD,244.635
2013-01-07,245.97,245.99,243.37,244.21,USD,244.68
2013-01-08,244.4,244.69,242.55,243.75,USD,243.62
2013-01-09,243.78,244.58,243.36,243.92,USD,243.97
2013-01-10,243.94,246.74,243.84,246.21,USD,245.29
2013-01-11,246.54,247.16,246.29,247.15,USD,246.725
2013-01-14,247.14,247.54,246.25,246.79,USD,246.895
2013-01-15,246.86,247.9,246.06,247.9,USD,246.98
2013-01-16,247.7,248.14,246.9,247.91,USD,247.52
2013-01-17,247.9,250.4,247.75,249.38,USD,249.075
2013-01-18,249.45,250.36,248.69,250.2,USD,249.525
2013-01-21,250.28,250.8,250.25,250.45,USD,250.525
2013-01-22,250.49,252.06,249.84,252.03,USD,250.95
2013-01-23,252.06,252.47,251.07,251.69,USD,251.77
2013-01-24,251.67,253.76,251.38,252.83,USD,252.57
2013-01-25,252.86,254.88,252.56,254.42,USD,253.72
2013-01-28,254.36,254.47,252.92,253.76,USD,253.695
2013-01-29,253.79,257.42,253.79,257.12,USD,255.605
2013-01-30,257.25,257.77,255.49,255.64,USD,256.63
2013-01-31,255.69,255.71,253.66,253.66,USD,254.685
2013-02-01,253.72,255.57,253.3,255.57,USD,254.435
2013-02-04,255.42,255.57,252.17,252.31,USD,253.87
2013-02-05,252.28,254.46,251.71,253.81,USD,253.085
2013-02-06,253.98,254.11,251.94,253.29,USD,253.025
2013-02-07,253.3,254.12,249.94,251.05,USD,252.03
2013-02-08,251.08,252.54,250.88,252.5,USD,251.71
2013-02-11,252.32,252.38,250.54,250.78,USD,251.46
2013-02-12,250.83,252.46,250.38,252.23,USD,251.42
2013-02-13,252.26,252.49,251.57,252.22,USD,252.03
2013-02-14,252.26,252.33,250.22,251.76,USD,251.275
