Date,Open,High,Low,Close,Currency,Average
2012-07-09,69.49,69.54,69.06,69.27,USD,69.3
2012-07-10,69.32,69.87,68.87,69.06,USD,69.37
2012-07-11,69.02,69.6,69.0,69.49,USD,69.3
2012-07-12,69.48,69.48,68.36,68.57,USD,68.92
2012-07-13,68.59,69.77,68.58,69.74,USD,69.175
2012-07-16,69.78,69.88,69.51,69.69,USD,69.695
2012-07-17,69.74,70.22,69.37,69.93,USD,69.795
2012-07-18,70.16,70.32,69.93,70.11,USD,70.125
2012-07-19,70.23,70.64,70.22,70.39,USD,70.43
2012-07-20,70.38,70.38,69.01,69.05,USD,69.695
2012-07-23,68.88,68.9,67.22,67.75,USD,68.06
2012-07-24,67.75,67.88,67.0,67.35,USD,67.44
2012-07-25,67.21,67.71,67.06,67.43,USD,67.385
2012-07-26,67.55,69.24,67.52,69.12,USD,68.38
2012-07-27,69.19,70.71,69.19,70.55,USD,69.95
2012-07-30,70.62,71.27,70.62,71.03,USD,70.945
2012-07-31,71.04,71.23,70.64,70.82,USD,70.935
2012-08-01,70.71,71.1,70.46,70.66,USD,70.78
2012-08-02,70.52,71.2,69.4,69.72,USD,70.3
2012-08-03,69.62,71.59,69.5,71.43,USD,70.545
2012-08-06,71.59,72.36,71.53,71.95,USD,71.945
2012-08-07,71.89,72.51,71.67,72.3,USD,72.09
2012-08-08,72.23,72.51,72.07,72.35,USD,72.29
2012-08-09,72.33,72.52,72.17,72.37,USD,72.345
2012-08-10,72.35,72.35,71.82,72.3,USD,72.085
2012-08-13,72.23,72.46,71.92,72.26,USD,72.19
2012-08-14,72.23,72.59,72.15,72.33,USD,72.37
2012-08-15,72.32,72.44,72.07,72.33,USD,72.255
2012-08-16,72.34,73.13,72.34,73.05,USD,72.735
2012-08-17,73.12,73.47,73.1,73.42,USD,73.285
2012-08-20,73.47,73.67,73.02,73.32,USD,73.345
2012-08-21,73.34,74.38,73.34,74.01,USD,73.86
2012-08-22,73.96,73.96,73.39,73.56,USD,73.675
2012-08-23,73.77,74.16,73.34,73.45,USD,73.75
2012-08-24,73.27,73.39,72.68,73.25,USD,73.035
2012-08-27,73.23,73.43,73.11,73.31,USD,73.27
2012-08-28,73.27,73.43,73.02,73.23,USD,73.225
2012-08-29,73.2,73.37,73.05,73.23,USD,73.21
2012-08-30,73.21,73.22,72.37,72.6,USD,72.795
2012-08-31,72.58,73.42,72.49,73.21,USD,72.955
2012-09-03,73.14,73.31,73.05,73.24,USD,73.18
2012-09-04,73.25,73.25,72.72,72.95,USD,72.985
2012-09-05,72.87,73.05,72.58,72.95,USD,72.815
2012-09-06,72.96,74.64,72.93,74.62,USD,73.785
2012-09-07,74.61,76.0,74.61,75.99,USD,75.305
2012-09-10,75.93,76.1,75.66,75.74,USD,75.88
2012-09-11,75.68,76.32,75.46,76.28,USD,75.89
2012-09-12,76.28,77.19,76.28,76.93,USD,76.735
2012-09-13,76.94,77.97,76.49,77.66,USD,77.23
2012-09-14,77.87,79.74,77.87,79.31,USD,78.805
2012-09-17,79.22,79.34,78.64,78.81,USD,78.99
2012-09-18,78.74,78.82,77.93,78.11,USD,78.375
2012-09-19,78.1,78.44,77.94,78.23,USD,78.19
2012-09-20,78.19,78.24,76.97,77.48,USD,77.605
2012-09-21,77.55,78.15,77.55,77.75,USD,77.85
2012-09-24,77.68,77.71,77.18,77.53,USD,77.445
2012-09-25,77.57,78.03,77.12,77.3,USD,77.575
2012-09-26,76.99,77.05,75.81,75.9,USD,76.43
2012-09-27,75.96,76.89,75.92,76.62,USD,76.405
2012-09-28,76.75,76.88,75.89,76.08,USD,76.385
2012-10-01,75.92,77.13,75.85,76.64,USD,76.49
2012-10-02,76.61,76.99,76.36,76.65,USD,76.675
2012-10-03,76.57,76.88,76.35,76.76,USD,76.615
2012-10-04,76.86,77.83,76.86,77.72,USD,77.345
2012-10-05,77.76,78.61,77.74,78.23,USD,78.175
2012-10-08,78.09,78.1,77.46,77.67,USD,77.78
2012-10-09,77.65,77.77,76.97,77.07,USD,77.37
2012-10-10,77.02,77.08,76.65,76.86,USD,76.865
2012-10-11,76.78,77.66,76.66,77.38,USD,77.16
2012-10-12,77.35,77.65,76.8,76.95,USD,77.225
2012-10-15,76.91,77.55,76.78,77.48,USD,77.165
2012-10-16,77.52,78.69,77.52,78.56,USD,78.105
2012-10-17,78.69,79.55,78.69,79.51,USD,79.12
2012-10-18,79.57,79.9,79.48,79.74,USD,79.69
2012-10-19,79.66,79.66,78.47,78.68,USD,79.065
2012-10-22,78.62,78.87,78.3,78.69,USD,78.585
2012-10-23,78.68,78.75,77.23,77.52,USD,77.99
2012-10-24,77.52,77.92,77.26,77.58,USD,77.59
2012-10-25,77.56,78.34,77.55,77.81,USD,77.945
