Date,Open,High,Low,Close,Currency,Average
2012-07-09,140.23,140.33,139.56,140.02,USD,139.945
2012-07-10,140.12,141.2,138.71,139.08,USD,139.955
2012-07-11,139.02,139.15,137.68,138.16,USD,138.415
2012-07-12,138.14,138.15,136.04,136.79,USD,137.095
2012-07-13,136.75,139.03,136.74,139.0,USD,137.885
2012-07-16,139.03,139.24,138.07,138.85,USD,138.655
2012-07-17,138.94,139.36,137.7,138.92,USD,138.53
2012-07-18,139.25,140.71,138.67,140.49,USD,139.69
2012-07-19,140.71,142.05,140.71,141.8,USD,141.38
2012-07-20,141.8,141.8,139.84,139.93,USD,140.82
2012-07-23,139.61,139.67,136.86,138.0,USD,138.265
2012-07-24,137.99,138.4,136.53,137.19,USD,137.465
2012-07-25,136.94,137.96,136.54,137.13,USD,137.25
2012-07-26,137.33,140.47,137.23,140.15,USD,138.85
2012-07-27,140.26,143.01,140.24,142.62,USD,141.625
2012-07-30,142.76,143.63,142.65,143.11,USD,143.14
2012-07-31,143.18,143.4,142.64,142.7,USD,143.02
2012-08-01,142.44,142.78,141.56,141.89,USD,142.17
2012-08-02,141.63,142.6,139.67,140.55,USD,141.135
2012-08-03,140.27,143.77,140.06,143.35,USD,141.915
2012-08-06,143.87,145.13,143.86,144.54,USD,144.495
2012-08-07,144.45,145.93,144.45,145.6,USD,145.19
2012-08-08,145.72,146.06,144.99,145.55,USD,145.525
2012-08-09,145.55,145.99,145.3,145.75,USD,145.645
2012-08-10,145.66,146.03,144.84,146.03,USD,145.435
2012-08-13,145.86,146.0,144.94,145.6,USD,145.47
2012-08-14,145.61,146.17,145.52,145.66,USD,145.845
2012-08-15,145.74,145.8,145.05,145.62,USD,145.425
2012-08-16,145.64,147.13,145.62,146.97,USD,146.375
2012-08-17,147.07,148.05,146.99,147.91,USD,147.52
2012-08-20,148.09,148.3,147.23,147.71,USD,147.765
2012-08-21,147.69,148.79,147.59,148.01,USD,148.19
2012-08-22,148.0,148.01,146.58,146.85,USD,147.295
2012-08-23,147.16,147.76,146.36,146.69,USD,147.06
2012-08-24,146.25,146.63,145.45,146.35,USD,146.04
2012-08-27,146.45,146.59,146.1,146.26,USD,146.345
2012-08-28,146.27,146.29,145.32,145.5,USD,145.805
2012-08-29,145.44,145.64,145.01,145.38,USD,145.325
2012-08-30,145.36,145.36,143.76,144.02,USD,144.56
2012-08-31,143.8,145.28,143.58,144.75,USD,144.43
2012-09-03,144.63,144.9,144.3,144.86,USD,144.6
2012-09-04,144.85,144.94,143.06,143.45,USD,144.0
2012-09-05,143.26,143.31,142.58,142.82,USD,142.945
2012-09-06,142.79,145.47,142.6,145.44,USD,144.035
2012-09-07,145.56,148.16,145.56,148.16,USD,146.86
2012-09-10,148.09,148.39,147.55,147.65,USD,147.97
2012-09-11,147.37,148.52,147.15,148.28,USD,147.835
2012-09-12,148.36,149.46,148.34,149.36,USD,148.9
2012-09-13,149.42,150.69,148.65,150.04,USD,149.67
2012-09-14,150.54,153.61,150.54,152.82,USD,152.075
2012-09-17,152.69,152.83,151.67,151.97,USD,152.25
2012-09-18,151.95,152.08,151.08,151.45,USD,151.58
2012-09-19,151.46,152.24,151.15,152.1,USD,151.695
2012-09-20,151.94,152.02,149.85,150.43,USD,150.935
2012-09-21,150.51,151.32,150.46,150.61,USD,150.89
2012-09-24,150.47,150.53,149.22,149.83,USD,149.875
2012-09-25,149.83,150.39,149.08,149.28,USD,149.735
2012-09-26,148.66,148.7,146.9,147.15,USD,147.8
2012-09-27,147.16,148.91,147.12,148.51,USD,148.015
2012-09-28,148.71,148.81,147.16,147.5,USD,147.985
2012-10-01,147.12,149.1,146.98,148.35,USD,148.04
2012-10-02,148.31,149.03,147.9,148.37,USD,148.465
2012-10-03,148.26,148.45,147.62,148.29,USD,148.035
2012-10-04,148.37,149.59,148.24,149.41,USD,148.915
2012-10-05,149.45,151.17,149.41,150.57,USD,150.29
2012-10-08,150.4,150.42,149.4,149.75,USD,149.91
2012-10-09,149.69,149.77,147.91,148.02,USD,148.84
2012-10-10,147.91,147.92,146.63,146.76,USD,147.275
2012-10-11,146.68,147.79,146.38,147.12,USD,147.085
2012-10-12,147.11,147.97,146.87,147.24,USD,147.42
2012-10-15,147.14,148.03,146.98,147.88,USD,147.505
2012-10-16,147.95,149.83,147.95,149.67,USD,148.89
2012-10-17,149.91,151.08,149.89,151.05,USD,150.485
2012-10-18,150.98,152.17,150.92,151.82,USD,151.545
2012-10-19,151.7,151.84,149.58,149.91,USD,150.71
2012-10-22,149.89,149.95,148.6,149.43,USD,149.275
2012-10-23,149.37,149.52,146.81,147.35,USD,148.165
2012-10-24,147.36,147.85,146.69,147.04,USD,147.27
2012-10-25,147.03,148.17,147.0,147.58,USD,147.585
2012-10-26,147.47,147.72,146.8,147.31,USD,147.26
2012-10-29,147.24,147.45,146.96,147.1,USD,147.205
2012-10-30,147.11,147.4,146.82,147.34,USD,147.11
2012-10-31,147.31,148.71,147.27,147.82,USD,147.99
2012-11-01,147.86,149.81,147.52,149.64,USD,148.665
2012-11-02,149.67,150.65,149.3,149.37,USD,149.975
2012-11-05,149.28,149.37,148.63,149.27,USD,149.0
2012-11-06,149.29,150.7,149.03,150.27,USD,149.865
2012-11-07,150.29,150.8,147.59,147.97,USD,149.195
2012-11-08,147.98,147.98,146.48,146.48,USD,147.23
2012-11-09,146.62,147.17,145.84,146.5,USD,146.505
2012-11-12,146.52,146.64,146.09,146.29,USD,146.365
2012-11-13,146.27,146.87,145.41,146.05,USD,146.14
2012-11-14,146.02,146.03,143.38,143.55,USD,144.705
2012-11-15,143.56,143.97,143.05,143.44,USD,143.51
2012-11-16,143.41,143.84,142.75,143.41,USD,143.295
2012-11-19,143.51,146.48,143.5,146.48,USD,144.99
2012-11-20,146.33,146.63,145.95,146.52,USD,146.29
2012-11-21,146.57,146.8,146.21,146.66,USD,146.505
2012-11-22,146.68,147.66,146.67,147.61,USD,147.165
2012-11-23,147.62,149.23,147.58,149.16,USD,148.405
2012-11-26,149.21,149.5,148.74,149.25,USD,149.12
2012-11-27,149.35,149.92,149.11,149.21,USD,149.515
2012-11-28,149.23,149.73,147.86,149.64,USD,148.795
2012-11-29,149.7,151.37,149.66,151.01,USD,150.515
2012-11-30,151.01,151.47,150.86,151.04,USD,151.165
2012-12-03,151.03,152.11,150.63,150.65,USD,151.37
2012-12-04,150.54,151.44,150.54,151.05,USD,150.99
2012-12-05,151.03,152.22,150.8,151.88,USD,151.51
2012-12-06,151.87,152.57,151.63,152.28,USD,152.1
2012-12-07,152.2,152.72,152.0,152.72,USD,152.36
2012-12-10,152.59,153.06,152.19,152.96,USD,152.625
2012-12-11,152.99,153.79,152.72,153.37,USD,153.255
2012-12-12,153.37,154.34,153.36,153.65,USD,153.85
2012-12-13,153.65,154.02,153.1,153.31,USD,153.56
2012-12-14,153.25,154.07,153.13,153.5,USD,153.6
2012-12-17,153.54,154.38,153.48,154.37,USD,153.93
2012-12-18,154.35,155.99,154.34,155.98,USD,155.165
2012-12-19,155.91,157.19,155.91,156.55,USD,156.55
2012-12-20,156.43,156.94,156.28,156.9,USD,156.61
2012-12-21,156.94,157.15,155.34,155.89,USD,156.245
2012-12-24,155.8,155.95,155.24,155.45,USD,155.595
2012-12-25,155.62,155.71,155.39,155.51,USD,155.55
2012-12-26,155.59,156.06,155.34,155.4,USD,155.7
2012-12-27,155.47,156.02,154.69,155.64,USD,155.355
2012-12-28,155.56,155.82,154.46,154.51,USD,155.14
2012-12-31,154.58,155.76,154.15,155.75,USD,154.955
2013-01-01,155.75,155.75,155.75,155.75,USD,155.75
2013-01-02,155.72,159.05,155.7,158.86,USD,157.375
2013-01-03,158.65,159.24,158.28,158.76,USD,158.76
2013-01-04,158.37,159.83,158.21,159.67,USD,159.02
2013-01-07,159.72,159.93,158.88,159.17,USD,159.405
2013-01-08,159.36,159.43,157.88,158.28,USD,158.655
2013-01-09,158.3,159.43,158.09,159.18,USD,158.76
2013-01-10,159.17,160.47,159.1,160.35,USD,159.785
2013-01-11,160.33,160.69,160.06,160.43,USD,160.375
2013-01-14,160.36,160.58,160.04,160.38,USD,160.31
2013-01-15,160.32,160.88,160.07,160.84,USD,160.475
2013-01-16,160.63,160.7,159.63,160.01,USD,160.165
2013-01-17,159.98,161.12,159.6,160.99,USD,160.36
2013-01-18,160.89,161.98,160.86,161.85,USD,161.42
2013-01-21,161.85,162.04,161.66,161.98,USD,161.85
2013-01-22,161.98,162.69,161.91,162.65,USD,162.3
2013-01-23,162.67,162.75,161.8,162.32,USD,162.275
2013-01-24,162.38,163.11,162.05,162.83,USD,162.58
2013-01-25,162.75,164.07,162.66,164.07,USD,163.365
2013-01-28,163.86,164.09,163.4,163.78,USD,163.745
2013-01-29,163.77,164.38,163.71,164.32,USD,164.045
2013-01-30,164.34,164.79,163.93,164.01,USD,164.36
2013-01-31,164.01,164.14,163.13,163.23,USD,163.635
2013-02-01,163.15,164.55,163.06,164.55,USD,163.805
2013-02-04,164.34,164.57,162.58,162.65,USD,163.575
2013-02-05,162.7,163.23,162.05,162.88,USD,162.64
2013-02-06,162.96,164.04,162.95,163.72,USD,163.495
2013-02-07,163.66,163.89,162.58,163.23,USD,163.235
2013-02-08,163.11,163.7,162.76,163.65,USD,163.23
