Date,Open,High,Low,Close,Currency,Average
2012-07-09,223.72,223.81,222.1,222.82,USD,222.955
2012-07-10,222.96,224.27,220.72,221.18,USD,222.495
2012-07-11,221.14,221.35,219.38,220.27,USD,220.365
2012-07-12,220.24,220.24,216.81,218.69,USD,218.525
2012-07-13,218.76,222.09,218.75,221.93,USD,220.42
2012-07-16,222.01,222.83,220.75,222.27,USD,221.79
2012-07-17,222.32,223.61,221.1,222.93,USD,222.355
2012-07-18,223.4,224.72,222.47,224.07,USD,223.595
2012-07-19,223.46,225.2,223.46,224.56,USD,224.33
2012-07-20,224.56,224.57,221.85,222.0,USD,223.21
2012-07-23,221.68,221.68,216.47,217.67,USD,219.075
2012-07-24,217.72,218.14,214.95,215.75,USD,216.545
2012-07-25,215.49,216.84,215.18,215.78,USD,216.01
2012-07-26,216.08,219.81,216.0,219.45,USD,217.905
2012-07-27,219.58,223.63,219.52,223.19,USD,221.575
2012-07-30,223.36,224.17,222.9,223.24,USD,223.535
2012-07-31,223.27,223.79,222.4,222.48,USD,223.095
2012-08-01,222.24,223.01,220.08,220.46,USD,221.545
2012-08-02,220.15,221.1,217.94,218.73,USD,219.52
2012-08-03,218.46,223.2,218.17,222.62,USD,220.685
2012-08-06,223.05,225.11,223.05,224.73,USD,224.08
2012-08-07,224.6,227.24,224.6,226.57,USD,225.92
2012-08-08,226.56,227.06,225.8,226.61,USD,226.43
2012-08-09,226.61,227.65,226.4,227.34,USD,227.025
2012-08-10,227.28,227.47,226.31,227.45,USD,226.89
2012-08-13,227.3,227.51,225.69,226.92,USD,226.6
2012-08-14,226.88,227.89,226.48,226.77,USD,227.185
2012-08-15,226.77,227.61,226.37,227.6,USD,226.99
2012-08-16,227.59,229.78,227.59,229.63,USD,228.685
2012-08-17,229.73,231.03,229.64,230.94,USD,230.335
2012-08-20,231.09,231.38,229.66,230.44,USD,230.52
2012-08-21,230.48,233.04,230.48,231.53,USD,231.76
