,country,name,full_name
0,argentina,Argentina 1Y,Argentina 1-Year
1,argentina,Argentina 3Y,Argentina 3-Year
2,argentina,Argentina 5Y,Argentina 5 Year
3,argentina,Argentina 9Y,Argentina 9-Year
4,australia,Australia 30Y,Australia 30-Year
5,australia,Australia 20Y,Australia 20-Year
6,australia,Australia 15Y,Australia 15-Year
7,australia,Australia 12Y,Australia 12-Year
8,australia,Australia 10Y,Australia 10-Year
9,australia,Australia 8Y,Australia 8-Year
10,australia,Australia 9Y,Australia 9-Year
11,australia,Australia 6Y,Australia 6-Year
12,australia,Australia 5Y,Australia 5-Year
13,australia,Australia 4Y,Australia 4-Year
14,australia,Australia 3Y,Australia 3-Year
15,australia,Australia 2Y,Australia 2-Year
16,australia,Australia 1Y,Australia 1-Year
17,australia,Australia 7Y,Australia 7-Year
18,austria,Austria 10Y,Austria 10-Year
19,austria,Austria 50Y,Austria 50-Year
20,austria,Austria 30Y,Austria 30-Year
21,austria,Austria 25Y,Austria 25-Year
22,austria,Austria 20Y,Austria 20-Year
23,austria,Austria 15Y,Austria 15-Year
24,austria,Austria 9Y,Austria 9-Year
25,austria,Austria 3Y,Austria 3-Year
26,austria,Austria 7Y,Austria 7-Year
27,austria,Austria 6Y,Austria 6-Year
28,austria,Austria 5Y,Austria 5-Year
29,austria,Austria 4Y,Austria 4-Year
30,austria,Austria 2Y,Austria 2-Year
31,austria,Austria 1Y,Austria 1-Year
32,austria,Austria 8Y,Austria 8-Year
33,bahrain,Bahrain 3M,Bahrain 3-Month
34,bahrain,Bahrain 6M,Bahrain 6-Month
35,bahrain,Bahrain 9M,Bahrain 9-Month
36,bahrain,Bahrain 1Y,Bahrain 1-Year
37,bahrain,Bahrain 2Y,Bahrain 2-Year
38,bahrain,Bahrain 5Y,Bahrain 5-Year
39,bangladesh,Bangladesh 15Y,Bangladesh 15-Year
40,bangladesh,Bangladesh 20Y,Bangladesh 20-Year
41,bangladesh,Bangladesh 5Y,Bangladesh 5-Year
42,bangladesh,Bangladesh 10Y,Bangladesh 10-Year
43,bangladesh,Bangladesh 1Y,Bangladesh 1-Year
44,bangladesh,Bangladesh 3M,Bangladesh 3-Month
45,bangladesh,Bangladesh 2Y,Bangladesh 2-Year
46,bangladesh,Bangladesh 6M,Bangladesh 6-Month
47,belgium,Belgium 5Y,Belgium 5-Year
48,belgium,Belgium 20Y,Belgium 20-Year
49,belgium,Belgium 15Y,Belgium 15-Year
50,belgium,Belgium 10Y,Belgium 10-Year
51,belgium,Belgium 9Y,Belgium 9-Year
52,belgium,Belgium 8Y,Belgium 8-Year
53,belgium,Belgium 7Y,Belgium 7-Year
54,belgium,Belgium 6Y,Belgium 6-Year
55,belgium,Belgium 3Y,Belgium 3-Year
56,belgium,Belgium 2Y,Belgium 2-Year
57,belgium,Belgium 1Y,Belgium 1-Year
58,belgium,Belgium 9M,Belgium 9-Month
59,belgium,Belgium 6M,Belgium 6-Month
60,belgium,Belgium 3M,Belgium 3-Month
61,belgium,Belgium 1M,Belgium 1-Month
62,belgium,Belgium 4Y,Belgium 4-Year
63,botswana,Botswana 7Y,Botswana 7-Year
64,botswana,Botswana 13Y,Botswana 13-Years
65,botswana,Botswana 5Y,Botswana 5-Year
66,botswana,Botswana 6M,Botswana 6-Month
67,botswana,Botswana 3Y,Botswana 3-Year
68,brazil,Brazil 3M,Brazil 3-Month
69,brazil,Brazil 6M,Brazil 6-Month
70,brazil,Brazil 9M,Brazil 9-Month
71,brazil,Brazil 1Y,Brazil 1-Year
