,name,full_name,base,base_name,second,second_name
0,USD/AED,USD/AED - US Dollar UAE Dirham,USD,US Dollar,AED,UAE Dirham
1,AED/JPY,AED/JPY - UAE Dirham Japanese Yen,AED,UAE Dirham,JPY,Japanese Yen
2,AED/PKR,AED/PKR - UAE Dirham Pakistani Rupee,AED,UAE Dirham,PKR,Pakistani Rupee
3,CAD/AED,CAD/AED - Canadian Dollar UAE Dirham,CAD,Canadian Dollar,AED,UAE Dirham
4,CHF/AED,CHF/AED - Swiss Franc UAE Dirham,CHF,Swiss Franc,AED,UAE Dirham
5,DKK/AED,DKK/AED - Danish Krone UAE Dirham,DKK,Danish Krone,AED,UAE Dirham
6,EUR/AED,EUR/AED - Euro UAE Dirham,EUR,Euro,AED,UAE Dirham
7,GBP/AED,GBP/AED - British Pound UAE Dirham,GBP,British Pound,AED,UAE Dirham
8,JPY/AED,JPY/AED - Japanese Yen UAE Dirham,JPY,Japanese Yen,AED,UAE Dirham
9,AED/ARS,AED/ARS - UAE Dirham Argentinian Peso,AED,UAE Dirham,ARS,Argentinian Peso
10,AED/AUD,AED/AUD - UAE Dirham Australian Dollar,AED,UAE Dirham,AUD,Australian Dollar
11,AED/BRL,AED/BRL - UAE Dirham Brazil Real,AED,UAE Dirham,BRL,Brazil Real
12,AED/CAD,AED/CAD - UAE Dirham Canadian Dollar,AED,UAE Dirham,CAD,Canadian Dollar
13,AED/CHF,AED/CHF - UAE Dirham Swiss Franc,AED,UAE Dirham,CHF,Swiss Franc
14,AED/CLP,AED/CLP - UAE Dirham Chilean Peso,AED,UAE Dirham,CLP,Chilean Peso
15,AED/CNY,AED/CNY - UAE Dirham Chinese Yuan,AED,UAE Dirham,CNY,Chinese Yuan
16,AED/CZK,AED/CZK - UAE Dirham Czech Koruna,AED,UAE Dirham,CZK,Czech Koruna
17,AED/DKK,AED/DKK - UAE Dirham Danish Krone,AED,UAE Dirham,DKK,Danish Krone
18,AED/EUR,AED/EUR - UAE Dirham Euro,AED,UAE Dirham,EUR,Euro
19,AED/GBP,AED/GBP - UAE Dirham British Pound,AED,UAE Dirham,GBP,British Pound
20,AED/HKD,AED/HKD - UAE Dirham Hong Kong Dollar,AED,UAE Dirham,HKD,Hong Kong Dollar
21,AED/HUF,AED/HUF - UAE Dirham Hungarian Forint,AED,UAE Dirham,HUF,Hungarian Forint
22,AED/ILS,AED/ILS - UAE Dirham Israeli Shekel,AED,UAE Dirham,ILS,Israeli Shekel
23,AED/INR,AED/INR - UAE Dirham Indian Rupee,AED,UAE Dirham,INR,Indian Rupee
24,AED/ISK,AED/ISK - UAE Dirham Icelandic Kr,AED,UAE Dirham,ISK,Icelandic Kr
25,AED/KRW,AED/KRW - UAE Dirham Korean Won,AED,UAE Dirham,KRW,Korean Won
26,AED/MAD,AED/MAD - UAE Dirham Moroccan Dirham,AED,UAE Dirham,MAD,Moroccan Dirham
27,AED/MXN,AED/MXN - UAE Dirham Mexican Peso,AED,UAE Dirham,MXN,Mexican Peso
28,AED/NOK,AED/NOK - UAE Dirham Norwegian Krone,AED,UAE Dirham,NOK,Norwegian Krone
29,AED/NZD,AED/NZD - UAE Dirham New Zealand Dollar,AED,UAE Dirham,NZD,New Zealand Dollar
30,AED/PHP,AED/PHP - UAE Dirham Philippine Peso,AED,UAE Dirham,PHP,Philippine Peso
31,AED/PLN,AED/PLN - UAE Dirham Polish Zloty,AED,UAE Dirham,PLN,Polish Zloty
32,AED/RUB,AED/RUB - UAE Dirham Russian Ruble,AED,UAE Dirham,RUB,Russian Ruble
33,AED/SAR,AED/SAR - UAE Dirham Saudi Riyal,AED,UAE Dirham,SAR,Saudi Riyal
34,AED/SEK,AED/SEK - UAE Dirham Swedish Krona,AED,UAE Dirham,SEK,Swedish Krona
35,AED/SGD,AED/SGD - UAE Dirham Singapore Dollar,AED,UAE Dirham,SGD,Singapore Dollar
36,AED/THB,AED/THB - UAE Dirham Thai Baht,AED,UAE Dirham,THB,Thai Baht
37,AED/TRY,AED/TRY - UAE Dirham Turkish Lira,AED,UAE Dirham,TRY,Turkish Lira
38,AED/USD,AED/USD - UAE Dirham US Dollar,AED,UAE Dirham,USD,US Dollar
39,AED/VES,AED/VES - UAE Dirham Venezuelan Bolivar,AED,UAE Dirham,VES,Venezuelan Bolivar
40,AED/XAF,AED/XAF - UAE Dirham Central African Franc,AED,UAE Dirham,XAF,Central African Franc
41,AED/XCD,AED/XCD - UAE Dirham East Caribbean Dollar,AED,UAE Dirham,XCD,East Caribbean Dollar
42,AED/ZAR,AED/ZAR - UAE Dirham South African Rand,AED,UAE Dirham,ZAR,South African Rand
43,AED/BBD,AED/BBD - UAE Dirham Barbadian Dollar,AED,UAE Dirham,BBD,Barbadian Dollar
44,AED/BHD,AED/BHD - UAE Dirham Baharain Dinar,AED,UAE Dirham,BHD,Baharain Dinar
45,AED/JOD,AED/JOD - UAE Dirham Jordan Dinar,AED,UAE Dirham,JOD,Jordan Dinar
46,AED/NAD,AED/NAD - UAE Dirham Namibian Dollar,AED,UAE Dirham,NAD,Namibian Dollar
47,AED/OMR,AED/OMR - UAE Dirham Omani Rial,AED,UAE Dirham,OMR,Omani Rial
48,AED/QAR,AED/QAR - UAE Dirham Qatari Riyal,AED,UAE Dirham,QAR,Qatari Riyal
49,AED/JMD,AED/JMD - UAE Dirham Jamaican Dollar,AED,UAE Dirham,JMD,Jamaican Dollar
50,AED/KES,AED/KES - UAE Dirham Kenyan Shilling,AED,UAE Dirham,KES,Kenyan Shilling
51,AED/LKR,AED/LKR - UAE Dirham Sri Lankan Rupee,AED,UAE Dirham,LKR,Sri Lankan Rupee
52,AED/RON,AED/RON - UAE Dirham Romanian Leu,AED,UAE Dirham,RON,Romanian Leu
53,AED/LBP,AED/LBP - UAE Dirham Lebanese Pound,AED,UAE Dirham,LBP,Lebanese Pound
54,AED/NPR,AED/NPR - UAE Dirham Nepalese Rupee,AED,UAE Dirham,NPR,Nepalese Rupee
55,AED/PAB,AED/PAB - UAE Dirham Panamanian Balboa,AED,UAE Dirham,PAB,Panamanian Balboa
56,AED/EGP,AED/EGP - UAE Dirham Egyptian Pound,AED,UAE Dirham,EGP,Egyptian Pound
57,AED/IDR,AED/IDR - UAE Dirham Indonesian Rupiah,AED,UAE Dirham,IDR,Indonesian Rupiah
58,AED/TWD,AED/TWD - UAE Dirham Taiwan Dollar,AED,UAE Dirham,TWD,Taiwan Dollar
59,AED/MYR,AED/MYR - UAE Dirham Malaysian Ringgit,AED,UAE Dirham,MYR,Malaysian Ringgit
60,AED/XOF,AED/XOF - UAE Dirham West African CFA franc,AED,UAE Dirham,XOF,West African CFA franc
61,ARS/AED,ARS/AED - Argentinian Peso UAE Dirham,ARS,Argentinian Peso,AED,UAE Dirham
62,AUD/AED,AUD/AED - Australian Dollar UAE Dirham,AUD,Australian Dollar,AED,UAE Dirham
63,BRL/AED,BRL/AED - Brazil Real UAE Dirham,BRL,Brazil Real,AED,UAE Dirham
64,CNY/AED,CNY/AED - Chinese Yuan UAE Dirham,CNY,Chinese Yuan,AED,UAE Dirham
65,HKD/AED,HKD/AED - Hong Kong Dollar UAE Dirham,HKD,Hong Kong Dollar,AED,UAE Dirham
66,ILS/AED,ILS/AED - Israeli Shekel UAE Dirham,ILS,Israeli Shekel,AED,UAE Dirham
67,MXN/AED,MXN/AED - Mexican Peso UAE Dirham,MXN,Mexican Peso,AED,UAE Dirham
68,NOK/AED,NOK/AED - Norwegian Krone UAE Dirham,NOK,Norwegian Krone,AED,UAE Dirham
69,NZD/AED,NZD/AED - New Zealand Dollar UAE Dirham,NZD,New Zealand Dollar,AED,UAE Dirham
70,PLN/AED,PLN/AED - Polish Zloty UAE Dirham,PLN,Polish Zloty,AED,UAE Dirham
71,RUB/AED,RUB/AED - Russian Ruble UAE Dirham,RUB,Russian Ruble,AED,UAE Dirham
72,SAR/AED,SAR/AED - Saudi Riyal UAE Dirham,SAR,Saudi Riyal,AED,UAE Dirham
73,SEK/AED,SEK/AED - Swedish Krona UAE Dirham,SEK,Swedish Krona,AED,UAE Dirham
74,SGD/AED,SGD/AED - Singapore Dollar UAE Dirham,SGD,Singapore Dollar,AED,UAE Dirham
75,THB/AED,THB/AED - Thai Baht UAE Dirham,THB,Thai Baht,AED,UAE Dirham
76,TRY/AED,TRY/AED - Turkish Lira UAE Dirham,TRY,Turkish Lira,AED,UAE Dirham
77,TWD/AED,TWD/AED - Taiwan Dollar UAE Dirham,TWD,Taiwan Dollar,AED,UAE Dirham
78,VES/AED,VES/AED - Venezuelan Bolivar UAE Dirham,VES,Venezuelan Bolivar,AED,UAE Dirham
79,ZAR/AED,ZAR/AED - South African Rand UAE Dirham,ZAR,South African Rand,AED,UAE Dirham
80,AED/KWD,AED/KWD - UAE Dirham Kuwaiti Dinar,AED,UAE Dirham,KWD,Kuwaiti Dinar
81,EGP/AED,EGP/AED - Egyptian Pound UAE Dirham,EGP,Egyptian Pound,AED,UAE Dirham
82,KWD/AED,KWD/AED - Kuwaiti Dinar UAE Dirham,KWD,Kuwaiti Dinar,AED,UAE Dirham
83,JOD/AED,JOD/AED - Jordan Dinar UAE Dirham,JOD,Jordan Dinar,AED,UAE Dirham
84,EUR/AFN,EUR/AFN - Euro Afghanistan Afghani,EUR,Euro,AFN,Afghanistan Afghani
85,USD/AFN,USD/AFN - US Dollar Afghanistan Afghani,USD,US Dollar,AFN,Afghanistan Afghani
86,AFN/USD,AFN/USD - Afghanistan Afghani US Dollar,AFN,Afghanistan Afghani,USD,US Dollar
87,EUR/ALL,EUR/ALL - Euro Albanian Lek,EUR,Euro,ALL,Albanian Lek
88,GBP/ALL,GBP/ALL - British Pound Albanian Lek,GBP,British Pound,ALL,Albanian Lek
89,USD/ALL,USD/ALL - US Dollar Albanian Lek,USD,US Dollar,ALL,Albanian Lek
90,USD/AMD,USD/AMD - US Dollar Armenian Dram,USD,US Dollar,AMD,Armenian Dram
91,EUR/AMD,EUR/AMD - Euro Armenian Dram,EUR,Euro,AMD,Armenian Dram
92,RUB/AMD,RUB/AMD - Russian Ruble Armenian Dram,RUB,Russian Ruble,AMD,Armenian Dram
93,AMD/RUB,AMD/RUB - Armenian Dram Russian Ruble,AMD,Armenian Dram,RUB,Russian Ruble
94,EUR/ANG,EUR/ANG - Euro Antilles Guilder,EUR,Euro,ANG,Antilles Guilder
95,USD/ANG,USD/ANG - US Dollar Antilles Guilder,USD,US Dollar,ANG,Antilles Guilder
96,USD/AOA,USD/AOA - US Dollar Angolan kwanza,USD,US Dollar,AOA,Angolan kwanza
97,EUR/AOA,EUR/AOA - Euro Angolan kwanza,EUR,Euro,AOA,Angolan kwanza
98,ARS/BRL,ARS/BRL - Argentinian Peso Brazil Real,ARS,Argentinian Peso,BRL,Brazil Real
99,ARS/HKD,ARS/HKD - Argentinian Peso Hong Kong Dollar,ARS,Argentinian Peso,HKD,Hong Kong Dollar
100,ARS/JPY,ARS/JPY - Argentinian Peso Japanese Yen,ARS,Argentinian Peso,JPY,Japanese Yen
101,ARS/MXN,ARS/MXN - Argentinian Peso Mexican Peso,ARS,Argentinian Peso,MXN,Mexican Peso
102,AUD/ARS,AUD/ARS - Australian Dollar Argentinian Peso,AUD,Australian Dollar,ARS,Argentinian Peso
103,BRL/ARS,BRL/ARS - Brazil Real Argentinian Peso,BRL,Brazil Real,ARS,Argentinian Peso
104,CAD/ARS,CAD/ARS - Canadian Dollar Argentinian Peso,CAD,Canadian Dollar,ARS,Argentinian Peso
