,name,full_name,base,base_name,second,second_name
0,USD/AED,USD/AED - US Dollar UAE Dirham,USD,US Dollar,AED,UAE Dirham
1,USD/AFN,USD/AFN - US Dollar Afghanistan Afghani,USD,US Dollar,AFN,Afghanistan Afghani
2,USD/ALL,USD/ALL - US Dollar Albanian Lek,USD,US Dollar,ALL,Albanian Lek
3,USD/AMD,USD/AMD - US Dollar Armenian Dram,USD,US Dollar,AMD,Armenian Dram
4,USD/ANG,USD/ANG - US Dollar Antilles Guilder,USD,US Dollar,ANG,Antilles Guilder
5,USD/AOA,USD/AOA - US Dollar Angolan kwanza,USD,US Dollar,AOA,Angolan kwanza
6,USD/ARS,USD/ARS - US Dollar Argentinian Peso,USD,US Dollar,ARS,Argentinian Peso
7,USD/AUD,USD/AUD - US Dollar Australian Dollar,USD,US Dollar,AUD,Australian Dollar
8,USD/AZN,USD/AZN - US Dollar Azerbaijani Manat,USD,US Dollar,AZN,Azerbaijani Manat
9,USD/BBD,USD/BBD - US Dollar Barbadian Dollar,USD,US Dollar,BBD,Barbadian Dollar
10,USD/BDT,USD/BDT - US Dollar Bangladeshi Taka,USD,US Dollar,BDT,Bangladeshi Taka
11,USD/BGN,USD/BGN - US Dollar Bulgarian Lev,USD,US Dollar,BGN,Bulgarian Lev
12,USD/BHD,USD/BHD - US Dollar Baharain Dinar,USD,US Dollar,BHD,Baharain Dinar
13,USD/BIF,USD/BIF - US Dollar Burundian Franc,USD,US Dollar,BIF,Burundian Franc
14,USD/BND,USD/BND - US Dollar Brunei Dollar,USD,US Dollar,BND,Brunei Dollar
15,USD/BOB,USD/BOB - US Dollar Bolivian Boliviano,USD,US Dollar,BOB,Bolivian Boliviano
16,USD/BRL,USD/BRL - US Dollar Brazil Real,USD,US Dollar,BRL,Brazil Real
17,USD/BRL,USD/BRL - US Dollar Brazil Real,USD,US Dollar,BRL,Brazil Real
18,USD/BRLT,USD/BRLT - US Dollar Brazilian Real Tourism,USD,US Dollar,BRLT,Brazilian Real Tourism
19,USD/BSD,USD/BSD - US Dollar Bahamas Dollar,USD,US Dollar,BSD,Bahamas Dollar
20,USD/BWP,USD/BWP - US Dollar Botswana Pula,USD,US Dollar,BWP,Botswana Pula
21,USD/BYN,USD/BYN - US Dollar Belarusian Ruble,USD,US Dollar,BYN,Belarusian Ruble
22,USD/BZD,USD/BZD - US Dollar Belize Dollar,USD,US Dollar,BZD,Belize Dollar
23,USD/CAD,USD/CAD - US Dollar Canadian Dollar,USD,US Dollar,CAD,Canadian Dollar
24,USD/CHF,USD/CHF - US Dollar Swiss Franc,USD,US Dollar,CHF,Swiss Franc
25,USD/CHF,USD/CHF - US Dollar Swiss Franc,USD,US Dollar,CHF,Swiss Franc
26,USD/CLP,USD/CLP - US Dollar Chilean Peso,USD,US Dollar,CLP,Chilean Peso
27,USD/CNH,USD/CNH - US Dollar Chinese Yuan Offshore,USD,US Dollar,CNH,Chinese Yuan Offshore
28,USD/CNY,USD/CNY - US Dollar Chinese Yuan,USD,US Dollar,CNY,Chinese Yuan
29,USD/COP,USD/COP - US Dollar Colombian Peso,USD,US Dollar,COP,Colombian Peso
30,USD/CRC,USD/CRC - US Dollar Costa Rican Colon,USD,US Dollar,CRC,Costa Rican Colon
31,USD/CUP,USD/CUP - US Dollar Cuban Peso,USD,US Dollar,CUP,Cuban Peso
32,USD/CZK,USD/CZK - US Dollar Czech Koruna,USD,US Dollar,CZK,Czech Koruna
33,USD/DJF,USD/DJF - US Dollar Djiboutian Franc,USD,US Dollar,DJF,Djiboutian Franc
34,USD/DKK,USD/DKK - US Dollar Danish Krone,USD,US Dollar,DKK,Danish Krone
35,USD/DOP,USD/DOP - US Dollar Dominican Peso,USD,US Dollar,DOP,Dominican Peso
36,USD/DZD,USD/DZD - US Dollar Algerian Dinar,USD,US Dollar,DZD,Algerian Dinar
37,USD/EGP,USD/EGP - US Dollar Egyptian Pound,USD,US Dollar,EGP,Egyptian Pound
38,USD/ETB,USD/ETB - US Dollar Ethiopian Birr,USD,US Dollar,ETB,Ethiopian Birr
39,USD/EUR,USD/EUR - US Dollar Euro,USD,US Dollar,EUR,Euro
40,USD/FJD,USD/FJD - US Dollar Fiji Dollar,USD,US Dollar,FJD,Fiji Dollar
41,USD/GBP,USD/GBP - US Dollar British Pound,USD,US Dollar,GBP,British Pound
42,USD/GEL,USD/GEL - US Dollar Georgian lari,USD,US Dollar,GEL,Georgian lari
43,USD/GHS,USD/GHS - US Dollar Ghanaian Cedi,USD,US Dollar,GHS,Ghanaian Cedi
44,USD/GMD,USD/GMD - US Dollar Gambian Dalasi,USD,US Dollar,GMD,Gambian Dalasi
45,USD/GNF,USD/GNF - US Dollar Guinean Franc,USD,US Dollar,GNF,Guinean Franc
46,USD/GTQ,USD/GTQ - US Dollar Guatemalan Quetzal,USD,US Dollar,GTQ,Guatemalan Quetzal
47,USD/HKD,USD/HKD - US Dollar Hong Kong Dollar,USD,US Dollar,HKD,Hong Kong Dollar
48,USD/HNL,USD/HNL - US Dollar Honduran Lempira,USD,US Dollar,HNL,Honduran Lempira
49,USD/HRK,USD/HRK - US Dollar Croatian Kuna,USD,US Dollar,HRK,Croatian Kuna
50,USD/HTG,USD/HTG - US Dollar Haitian Gourde,USD,US Dollar,HTG,Haitian Gourde
51,USD/HUF,USD/HUF - US Dollar Hungarian Forint,USD,US Dollar,HUF,Hungarian Forint
52,USD/IDR,USD/IDR - US Dollar Indonesian Rupiah,USD,US Dollar,IDR,Indonesian Rupiah
53,USD/ILS,USD/ILS - US Dollar Israeli Shekel,USD,US Dollar,ILS,Israeli Shekel
54,USD/INR,USD/INR - US Dollar Indian Rupee,USD,US Dollar,INR,Indian Rupee
55,USD/IQD,USD/IQD - US Dollar Iraqi Dinar,USD,US Dollar,IQD,Iraqi Dinar
56,USD/IRR,USD/IRR - US Dollar Iranian Rial,USD,US Dollar,IRR,Iranian Rial
57,USD/ISK,USD/ISK - US Dollar Icelandic Kr,USD,US Dollar,ISK,Icelandic Kr
58,USD/JMD,USD/JMD - US Dollar Jamaican Dollar,USD,US Dollar,JMD,Jamaican Dollar
59,USD/JOD,USD/JOD - US Dollar Jordan Dinar,USD,US Dollar,JOD,Jordan Dinar
60,USD/JPY,USD/JPY - US Dollar Japanese Yen,USD,US Dollar,JPY,Japanese Yen
61,USD/JPY,USD/JPY - US Dollar Japanese Yen,USD,US Dollar,JPY,Japanese Yen
62,USD/KES,USD/KES - US Dollar Kenyan Shilling,USD,US Dollar,KES,Kenyan Shilling
63,USD/KGS,USD/KGS - US Dollar Kyrgyzstan som,USD,US Dollar,KGS,Kyrgyzstan som
64,USD/KHR,USD/KHR - US Dollar Cambodian Riel,USD,US Dollar,KHR,Cambodian Riel
65,USD/KMF,USD/KMF - US Dollar Comorian Franc,USD,US Dollar,KMF,Comorian Franc
66,USD/KRW,USD/KRW - US Dollar Korean Won,USD,US Dollar,KRW,Korean Won
