,country,name,full_name,symbol,currency,class,market
0,world,FTSE Emerging Markets China A Inclusion,FTSE Emerging Markets China A Inclusion,FTFQE,USD,other_indices,global_indices
1,world,FTSE Developed Ex US,FTSE Developed Ex US,FTAWDXUSR,USD,other_indices,global_indices
2,world,FTSE High Dividend Yield Index,FTSE High Dividend Yield Index,FTGPVAN001,USD,other_indices,global_indices
3,world,BNY Mellon Small Cap Select ADR,BNY Mellon Small Cap Select ADR,BKSCP,USD,other_indices,global_indices
4,world,DJ Global ex-Europe Consumer Goods,Dow Jones Global ex-Europe Consumer Goods,W8NCY,USD,other_indices,global_indices
5,world,BNY Mellon Developed Markets 100 ADR,BNY Mellon Developed Markets 100 ADR,BKTDM,USD,other_indices,global_indices
6,world,BNY Mellon Developed Markets Classic ADR,BNY Mellon Developed Markets Classic ADR,BKCDM,USD,other_indices,global_indices
7,world,DJ Global ex-Europe Mid-Cap,Dow Jones Global ex-Europe Mid-Cap,W8MID,USD,other_indices,global_indices
8,world,BNY Mellon Emerging Markets ADR TR,BNY Mellon Emerging Markets ADR Total Return,BKEMT,USD,other_indices,global_indices
9,world,BNY Mellon Emerging Markets Classic ADR,BNY Mellon Emerging Markets Classic ADR,BKCEM,USD,other_indices,global_indices
10,world,BNY Mellon Emerging Markets 50 ADR,BNY Mellon Emerging Markets 50 ADR,BKTEM,USD,other_indices,global_indices
11,world,BNY Mellon Classic ADR,BNY Mellon Classic ADR,BKCAX,USD,other_indices,global_indices
12,world,BNY Mellon Latin America ADR TR,BNY Mellon Latin America ADR Total Return,BKLAT,USD,other_indices,global_indices
13,world,DJ Global ex-Europe Large-Cap,Dow Jones Global ex-Europe Large-Cap,W8LRG,USD,other_indices,global_indices
14,world,BNY Mellon ADR,BNY Mellon ADR,BKADR,USD,other_indices,global_indices
15,world,BNY Mellon Asia GDR TR,BNY Mellon Asia GDR Total Return,BKGAST,USD,other_indices,global_indices
16,world,DJ Global ex-Asia/Pacific LargeCap,Dow Jones Global ex-Asia/Pacific Large-Cap,W9LRG,USD,other_indices,global_indices
17,world,DJ Global ex-Europe Small-Cap,Dow Jones Global ex-Europe Small-Cap,W8SML,USD,other_indices,global_indices
18,world,DJ Global exAsia/Pacific Cons Goods,Dow Jones Global ex-Asia/Pacific Consumer Goods,W9NCY,USD,other_indices,global_indices
19,world,DJ Global exAsia/Pacif Basic Mater,Dow Jones Global ex-Asia/Pacific Basic Materials,W9BSC,USD,other_indices,global_indices
20,world,DJ Global ex-Asia/Pacific Mid-Cap,Dow Jones Global ex-Asia/Pacific Mid-Cap,W9MID,USD,other_indices,global_indices
21,world,Alerian MLP Ind,Alerian MLP,AMZ,USD,other_indices,global_indices
22,world,BNY Mellon Developed Markets ADR TR,BNY Mellon Developed Markets ADR Total Return,BKDMT,USD,other_indices,global_indices
23,world,BNY Mellon BRIC Select ADRSM,BNY Mellon BRIC Select ADRSM,BKBRIC,USD,other_indices,global_indices
24,world,BNY Mellon New Frontier DR TR,BNY Mellon New Frontier DR Total Return,BKNFRR,USD,other_indices,global_indices
25,world,DJ Global exAsia/Pacific Consum Srv,Dow Jones Global ex-Asia/Pacific Consumer Services,W9CYC,USD,other_indices,global_indices
26,world,DJ Global ex-Asia/Pacific,Dow Jones Global ex-Asia/Pacific,W9DOW,USD,other_indices,global_indices
27,world,DJ Global ex-Asia/Pacific Industs,Dow Jones Global ex-Asia/Pacific Industrials,W9IDU,USD,other_indices,global_indices
28,world,BNY Mellon ADR TR,BNY Mellon ADR Total Return,BKADRT,USD,other_indices,global_indices
29,world,BNY Mellon Emerging Markets 50 ADR TR,BNY Mellon Emerging Markets 50 ADR Total Return,BKTEMT,USD,other_indices,global_indices
30,world,DJ Global ex-Asia/Pacific SmallCap,Dow Jones Global ex-Asia/Pacific Small-Cap,W9SML,USD,other_indices,global_indices
31,world,BNY Mellon Latin America Classic ADR,BNY Mellon Latin America Classic ADR,BKCLA,USD,other_indices,global_indices
32,world,MSCI ACWI ex Australia Price USD,MSCI ACWI ex Australia Price USD,MIWDO0000PUS,USD,other_indices,global_indices
33,world,BNY Mellon Classic ADR TR,BNY Mellon Classic ADR Total Return,BKCAXT,USD,other_indices,global_indices
34,world,Dorsey Wright Technical Leaders Consumer Staples,Dorsey Wright Technical Leaders Consumer Staples,DWCS,USD,other_indices,global_indices
35,world,Dorsey Wright Technical Leaders Consumer Cyclicals,Dorsey Wright Technical Leaders Consumer Cyclicals,DWCC,USD,other_indices,global_indices
36,world,Dorsey Wright Technical Leaders Basic Materials,Dorsey Wright Technical Leaders Basic Materials,DWBM,USD,other_indices,global_indices
37,world,Dorsey Wright SmallCap Technical Leaders,Dorsey Wright SmallCap Technical Leaders,DWATLSC,USD,other_indices,global_indices
38,world,The Dorsey Wright NQ Technical Leaders,The Dorsey Wright NASDAQ Technical Leaders,DWANQTL,USD,other_indices,global_indices
39,world,Dorsey Wright International Focus Five,Dorsey Wright International Focus Five,DWANQIFF,USD,other_indices,global_indices
40,world,Dorsey Wright Technical Leaders Energy,Dorsey Wright Technical Leaders Energy,DWEN,USD,other_indices,global_indices
41,world,Dorsey Wright First Trust Focus Five,Dorsey Wright First Trust Focus Five,DWANQFF,USD,other_indices,global_indices
42,world,Dorsey Wright Emerging Markets Technical Leaders,Dorsey Wright Emerging Markets Technical Leaders,DWAEM,USD,other_indices,global_indices
43,world,Dorsey Wright Developed Markets Technical Leaders,Dorsey Wright Developed Markets Technical Leaders,DWADM,USD,other_indices,global_indices
44,world,NQ International BuyBack Achievers,NASDAQ International BuyBack Achievers,DRBXUS,USD,other_indices,global_indices
45,world,NQ Global Buyback Achievers,NASDAQ Global Buyback Achievers,DRBG,USD,other_indices,global_indices
46,world,NQ International Dividend Achievers,NASDAQ International Dividend Achievers,DAT,USD,other_indices,global_indices
47,world,NQ Asia Pacific ex Japan Dividend Achievers,NASDAQ Asia Pacific ex Japan Dividend Achievers,DAAXJP,USD,other_indices,global_indices
48,world,DWA MLP Select,DWA MLP Select,DWAMLP,USD,other_indices,global_indices
49,world,Dorsey Wright Technical Leaders Financials,Dorsey Wright Technical Leaders Financials,DWFN,USD,other_indices,global_indices
50,world,Dorsey Wright Technical Leaders Healthcare,Dorsey Wright Technical Leaders Healthcare,DWHC,USD,other_indices,global_indices
51,world,Dorsey Wright Technical Leaders Industrials,Dorsey Wright Technical Leaders Industrials,DWIDX,USD,other_indices,global_indices
52,world,N  Travel & Leisure EUR PI,N  Travel & Leisure EUR PI,N5700EURPI,SEK,other_indices,global_indices
53,world,N  Media EUR PI,N  Media EUR PI,N5500EURPI,SEK,other_indices,global_indices
54,world,Settle KBW NQ Capital Markets,Settle KBW Nasdaq Capital Markets,KSZ,USD,other_indices,global_indices
55,world,Settle KBW NQ Regional Banking,Settle KBW Nasdaq Regional Banking,KRZ,USD,other_indices,global_indices
56,world,Settle KBW NQ Insurance,Settle KBW Nasdaq Insurance,KIZ,USD,other_indices,global_indices
57,world,Settle Japanese Yen WCO,Settle Japanese Yen WCO,JYW,USD,other_indices,global_indices
58,world,Settle New Zealand WCO,Settle New Zealand WCO,JQL,USD,other_indices,global_indices
59,world,NQ OMX Clean Energy Focused ex US (USD),NASDAQ OMX Clean Energy Focused ex US (USD),GRNFCEXUS,USD,other_indices,global_indices
60,world,KBW NQ Global Bank,KBW Nasdaq Global Bank,GBKX,USD,other_indices,global_indices
61,world,First North All Share ISK,First North All Share ISK,FIRSTNORTHISK,ISK,other_indices,global_indices
62,world,Settle Euros WCO,Settle Euros WCO,EPW,USD,other_indices,global_indices
63,world,Endowment,Endowment,ENDOW,USD,other_indices,global_indices
64,world,Dorsey Wright Technical Leaders Utilities,Dorsey Wright Technical Leaders Utilities,DWUT,USD,other_indices,global_indices
65,world,S&P Global Dividend Aristocrats NTR,S&P Global Dividend Aristocrats NTR,SPGDAUN,USD,other_indices,global_indices
66,world,Dorsey Wright Technical Leaders Technology,Dorsey Wright Technical Leaders Technology,DWTY,USD,other_indices,global_indices
67,world,PHLX Canadian Dollar Settlement,PHLX Canadian Dollar Settlement,CBW,CAD,other_indices,global_indices
68,world,Alerian Energy Infrastructure,Alerian Energy Infrastructure,AMEI,USD,other_indices,global_indices
69,world,NQ US CapEx Achievers,Nasdaq US CapEx Achievers,CAPEXA,USD,other_indices,global_indices
70,world,S&P GSCI Crude Oil TR,S&P GSCI Crude Oil Total Return,SPGSCLTR,USD,commodities,global_indices
71,world,BNY Mellon BRIC Select ADRSM CAD,BNY Mellon BRIC Select ADRSM CAD,BKBRICC,CAD,other_indices,global_indices
72,world,BNY Mellon Africa DR TR,BNY Mellon Africa DR Total Return,BKDAFT,USD,other_indices,global_indices
73,world,BNY Mellon Asia Classic ADR TR,BNY Mellon Asia Classic ADR Total Return,BKCAST,USD,other_indices,global_indices
74,world,ESTX ex Financials 50 EUR Price,ESTX ex Financials 50 EUR Price,SX5NFE,EUR,other_indices,global_indices
75,world,BNY Mellon Emerging Markets GDR TR,BNY Mellon Emerging Markets GDR Total Return,BKGEMT,USD,other_indices,global_indices
76,world,BNY Mellon Developed Markets 100 ADR TR,BNY Mellon Developed Markets 100 ADR Total Return,BKTDMT,USD,other_indices,global_indices
77,world,BNY Mellon Emerging Markets DR TR,BNY Mellon Emerging Markets DR Total Return,BKDEMT,USD,other_indices,global_indices
78,world,BNY Mellon Africa GDR TR,BNY Mellon Africa GDR Total Return,BKGAFT,USD,other_indices,global_indices
79,world,BNY Mellon Middle East GDR TR,BNY Mellon Middle East GDR Total Return,BKGMET,USD,other_indices,global_indices
80,world,BNY Mellon Asia 50 ADR TR,BNY Mellon Asia 50 ADR Total Return,BKTAST,USD,other_indices,global_indices
81,world,ESTX ex Financials 50 EUR Net Retur,ESTX ex Financials 50 EUR Net Return,SX5NFT,EUR,other_indices,global_indices
82,world,BNY Mellon MENA GDR TR,BNY Mellon MENA GDR Total Return,BKGMAT,USD,other_indices,global_indices
83,world,BNY Mellon Emerging Markets Classic ADR TR,BNY Mellon Emerging Markets Classic ADR Total Return,BKCEMT,USD,other_indices,global_indices
84,world,Ardour Global Extra Liquid,Ardour Global Extra Liquid,AGIXL,USD,other_indices,global_indices
85,world,BNY Mellon Small Cap Select ADR TR,BNY Mellon Small Cap Select ADR Total Return,BKSCPT,USD,other_indices,global_indices
86,world,BNY Mellon Latin America Classic ADR TR,BNY Mellon Latin America Classic ADR Total Return,BKCLAT,USD,other_indices,global_indices
87,world,BNY Mellon Composite GDR TR,BNY Mellon Composite GDR Total Return,BKGDRT,USD,other_indices,global_indices
88,world,BNY Mellon Developed Markets Classic ADR TR,BNY Mellon Developed Markets Classic ADR Total Return,BKCDMT,USD,other_indices,global_indices
89,world,CS Commodities Brent Crude Oil Price,CS Commodities Benchmark Brent Crude Oil Price Return,CSIXBRPR,USD,commodities,global_indices
90,world,S&P Global Infrastructure TR,S&P Global Infrastructure TR,SPGTINTR,USD,other_indices,global_indices
91,world,Settle KBW NQ Bank,Settle KBW Nasdaq Bank,BKO,USD,other_indices,global_indices
92,world,Settle British Pounds WCO,Settle British Pounds WCO,BFW,USD,other_indices,global_indices
93,world,OMX Baltic Travel & Leisure PI,OMX Baltic Travel & Leisure PI,B5700PI,EUR,other_indices,global_indices
94,world,Settle Australian WCO,Settle Australian WCO,AJW,AUD,other_indices,global_indices
95,world,MSCI ACWI Net Return EUR,MSCI ACWI Net Return EUR,MIWD00000NEU,EUR,other_indices,global_indices
96,world,NQ OMX ABA Community Bank,NASDAQ OMX ABA Community Bank,ABQI,USD,other_indices,global_indices
97,world,DJ Global ex-Europe Industrials,Dow Jones Global ex-Europe Industrials,W8IDU,USD,other_indices,global_indices
98,world,ABA Community Bank NQ,ABA Community Bank NASDAQ,ABAQ,USD,other_indices,global_indices
99,world,BNY Mellon New Frontier DR,BNY Mellon New Frontier DR,BKNFR,USD,other_indices,global_indices
100,world,BNY Mellon BRIC Select ADR TRSM CAD,BNY Mellon BRIC Select ADR Total ReturnSM CAD,BKBRICCT,CAD,other_indices,global_indices
